ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002278.SZ,20240924,3.0,23.0,4.0,4.2,4.2,4.6,4.6,4.32,58.65,4.28,4.42,4.28,4.39,4.28,0.11,2.5701,99828.72,43517.219,2.99
002278.SZ,20240925,3.0,23.0,4.0,4.2,4.2,4.6,4.6,4.32,82.59,4.42,4.54,4.41,4.44,4.39,0.05,1.139,125049.13,55993.185,3.74
002278.SZ,20240926,3.0,23.0,4.0,4.2,4.2,4.6,4.6,4.33,82.87,4.43,4.52,4.37,4.52,4.44,0.08,1.8018,93890.1,42117.852,2.81
002278.SZ,20240927,3.0,23.0,4.0,4.2,4.4,4.6,4.6,4.35,95.56,4.55,4.7,4.5,4.66,4.52,0.14,3.0973,187296.2,86224.287,5.6
002278.SZ,20240930,3.0,23.0,4.0,4.2,4.4,4.8,4.8,4.43,99.76,4.8,5.08,4.68,5.03,4.66,0.37,7.9399,308410.33,151009.045,9.23
002278.SZ,20241008,3.0,23.0,4.2,4.2,4.8,5.4,5.4,4.79,71.08,5.52,5.52,5.06,5.32,5.03,0.29,5.7654,349952.43,184240.771,10.47
002278.SZ,20241009,3.0,23.0,4.2,4.2,4.8,5.4,5.4,4.8,59.1,5.24,5.24,4.81,4.88,5.32,-0.44,-8.2707,229346.88,114748.108,6.86
002278.SZ,20241010,3.0,23.0,4.2,4.2,4.8,5.4,5.4,4.8,62.09,4.88,5.06,4.82,4.94,4.88,0.06,1.2295,175078.54,86278.951,5.24
002278.SZ,20241011,3.0,23.0,4.2,4.2,4.8,5.4,5.4,4.8,38.98,4.94,4.98,4.8,4.82,4.94,-0.12,-2.4291,128667.46,62717.603,3.85
002278.SZ,20241014,3.0,23.0,4.2,4.2,4.8,5.4,5.4,4.8,67.25,4.87,4.96,4.81,4.93,4.82,0.11,2.2822,106903.0,52359.949,3.2
002278.SZ,20241015,3.0,23.0,4.2,4.4,4.8,5.4,5.4,4.8,69.05,4.9,4.98,4.85,4.89,4.93,-0.04,-0.8114,91685.0,45066.591,2.74
002278.SZ,20241016,3.0,23.0,4.2,4.4,4.8,5.4,5.4,4.79,70.73,4.85,4.92,4.82,4.86,4.89,-0.03,-0.6135,91032.0,44359.401,2.72
002278.SZ,20241017,3.0,23.0,4.2,4.4,4.8,5.4,5.4,4.79,34.78,4.87,4.94,4.8,4.82,4.86,-0.04,-0.823,98918.0,48079.221,2.96
002278.SZ,20241018,3.0,23.0,4.2,4.4,4.8,5.2,5.4,4.8,81.43,4.83,5.13,4.83,5.03,4.82,0.21,4.3568,232209.03,116376.421,6.95
002278.SZ,20241021,3.0,23.0,4.2,4.4,4.8,5.2,5.4,4.8,73.04,5.03,5.08,4.95,4.99,5.03,-0.04,-0.7952,167650.9,83985.29,5.02
002278.SZ,20241022,3.0,23.0,4.2,4.4,4.8,5.2,5.4,4.81,84.45,4.99,5.07,4.98,5.05,4.99,0.06,1.2024,116525.13,58644.576,3.49
002278.SZ,20241023,3.0,23.0,4.2,4.6,4.8,5.0,5.4,4.82,85.5,5.05,5.14,5.02,5.05,5.05,0.0,0.0,112089.33,56943.167,3.35
002278.SZ,20241024,3.0,23.0,4.2,4.6,4.8,5.2,5.4,4.83,84.94,5.07,5.13,5.04,5.11,5.05,0.06,1.1881,89034.15,45286.029,2.66
002278.SZ,20241025,3.0,23.0,4.2,4.6,4.8,5.2,5.4,4.87,89.45,5.13,5.34,5.11,5.28,5.11,0.17,3.3268,177725.84,93348.801,5.32
002278.SZ,20241028,3.0,23.0,4.2,4.6,5.0,5.4,5.6,5.0,90.13,5.3,5.69,5.24,5.61,5.28,0.33,6.25,260596.53,144518.093,7.8
002278.SZ,20241029,3.0,23.0,4.2,4.8,5.0,5.6,5.8,5.1,76.98,5.66,5.86,5.53,5.55,5.61,-0.06,-1.0695,283071.17,160637.312,8.47
