ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600629.SH,20240924,0.2,23.4,4.0,4.2,4.2,4.6,5.0,4.43,81.08,4.43,4.51,4.41,4.5,4.4,0.1,2.2727,150041.38,67017.602,1.59
600629.SH,20240925,0.2,23.4,4.0,4.2,4.2,4.6,5.0,4.44,79.05,4.56,4.7,4.53,4.56,4.5,0.06,1.3333,249261.05,114831.521,2.64
600629.SH,20240926,0.2,23.4,4.0,4.2,4.4,4.6,5.0,4.46,88.57,4.56,4.75,4.53,4.75,4.56,0.19,4.1667,256917.0,119952.272,2.72
600629.SH,20240927,0.2,23.4,4.0,4.2,4.4,4.6,5.0,4.47,92.59,4.84,4.92,4.76,4.92,4.75,0.17,3.5789,233681.26,113256.616,2.47
600629.SH,20240930,0.2,23.4,4.0,4.2,4.4,5.0,5.0,4.54,98.7,5.17,5.35,4.96,5.28,4.92,0.36,7.3171,510859.8,264876.332,5.41
600629.SH,20241008,0.2,23.4,4.0,4.2,4.4,5.2,5.4,4.66,95.38,5.7,5.8,5.17,5.49,5.28,0.21,3.9773,599833.41,329818.429,6.35
600629.SH,20241009,0.2,23.4,4.0,4.2,4.4,5.2,5.4,4.7,67.89,5.38,5.38,4.98,5.01,5.49,-0.48,-8.7432,404143.99,207915.19,4.28
600629.SH,20241010,0.2,23.4,4.0,4.2,4.6,5.2,5.4,4.74,84.27,5.01,5.42,4.91,5.19,5.01,0.18,3.5928,504622.55,262204.218,5.34
600629.SH,20241011,0.2,23.4,4.0,4.2,4.6,5.0,5.4,4.75,60.06,5.2,5.26,5.0,5.06,5.19,-0.13,-2.5048,232419.85,119116.607,2.46
600629.SH,20241014,0.2,23.4,4.0,4.2,4.6,5.0,5.4,4.77,85.72,5.17,5.21,5.05,5.21,5.06,0.15,2.9644,237752.01,122201.41,2.52
600629.SH,20241015,0.2,23.4,4.0,4.2,4.8,5.0,5.4,4.78,56.22,5.15,5.17,5.01,5.01,5.21,-0.2,-3.8388,286562.18,145598.67,3.03
600629.SH,20241016,0.2,23.4,4.0,4.2,4.8,5.0,5.4,4.79,87.32,4.96,5.12,4.92,5.1,5.01,0.09,1.7964,294240.02,148647.21,3.11
600629.SH,20241017,0.2,23.4,4.0,4.2,4.8,5.0,5.4,4.8,58.32,5.12,5.13,4.89,4.91,5.1,-0.19,-3.7255,265033.4,132173.687,2.81
600629.SH,20241018,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.8,60.33,4.91,5.04,4.84,4.96,4.91,0.05,1.0183,231440.73,114177.108,2.45
600629.SH,20241021,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.81,62.01,4.97,4.99,4.91,4.94,4.96,-0.02,-0.4032,204041.11,100909.686,2.16
600629.SH,20241022,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.81,63.34,4.93,5.02,4.92,5.01,4.94,0.07,1.417,167506.4,83305.356,1.77
600629.SH,20241023,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.81,64.56,5.01,5.07,4.97,4.99,5.01,-0.02,-0.3992,157921.09,79166.775,1.67
600629.SH,20241024,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.81,65.3,4.99,5.0,4.94,4.97,4.99,-0.02,-0.4008,100676.29,49974.404,1.07
600629.SH,20241025,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.82,90.25,4.98,5.1,4.96,5.1,4.97,0.13,2.6157,199918.74,101335.53,2.12
600629.SH,20241028,0.2,23.4,4.2,4.2,4.8,5.0,5.4,4.84,94.82,5.1,5.34,5.07,5.29,5.1,0.19,3.7255,356647.28,187668.427,3.78
600629.SH,20241029,0.2,23.4,4.2,4.4,4.8,5.2,5.4,4.92,97.0,5.29,5.62,5.16,5.54,5.29,0.25,4.7259,748413.56,405612.143,7.92
600629.SH,20241030,0.2,23.4,4.2,4.4,5.0,5.4,5.8,4.99,99.05,5.85,6.09,5.81,6.09,5.54,0.55,9.9278,354456.98,213567.663,3.75
