ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603696.SH,20240924,5.6,28.0,6.2,6.4,6.6,8.0,8.8,7.05,54.96,6.7,6.86,6.67,6.8,6.7,0.1,1.4925,28084.98,19034.507,1.19
603696.SH,20240925,5.6,28.0,6.2,6.4,6.6,7.8,8.8,7.04,53.94,6.88,6.96,6.8,6.82,6.8,0.02,0.2941,39349.11,27063.032,1.67
603696.SH,20240926,5.6,28.0,6.2,6.4,6.6,7.8,8.8,7.03,74.4,6.84,7.15,6.8,7.1,6.82,0.28,4.1056,58657.74,41026.796,2.49
603696.SH,20240927,5.6,28.0,6.2,6.4,6.8,7.8,8.8,7.05,77.92,7.5,7.55,7.16,7.37,7.1,0.27,3.8028,51763.16,38006.572,2.2
603696.SH,20240930,5.6,28.0,6.2,6.4,6.8,7.8,8.8,7.1,86.27,7.54,8.08,7.41,8.0,7.37,0.63,8.5482,96775.24,75079.196,4.11
603696.SH,20241008,5.6,28.0,6.4,6.4,6.8,8.2,8.8,7.25,86.2,8.68,8.8,7.98,8.27,8.0,0.27,3.375,145532.7,122153.34,6.19
603696.SH,20241009,5.6,28.0,6.4,6.4,7.0,8.2,8.6,7.28,58.91,8.19,8.19,7.44,7.44,8.27,-0.83,-10.0363,74053.8,56762.928,3.15
603696.SH,20241010,5.6,28.0,6.4,6.4,7.0,8.2,8.6,7.29,57.0,7.44,7.6,7.27,7.44,7.44,0.0,0.0,47575.6,35528.945,2.02
603696.SH,20241011,5.6,28.0,6.4,6.4,7.2,8.2,8.6,7.29,56.31,7.5,7.64,7.25,7.35,7.44,-0.09,-1.2097,39686.12,29612.943,1.69
603696.SH,20241014,5.6,28.0,6.4,6.4,7.2,8.2,8.6,7.3,55.87,7.36,7.46,7.26,7.42,7.35,0.07,0.9524,37214.07,27489.11,1.58
603696.SH,20241015,5.6,28.0,6.4,6.6,7.2,8.2,8.6,7.3,56.26,7.43,7.44,7.3,7.32,7.42,-0.1,-1.3477,24292.92,17897.41,1.03
603696.SH,20241016,5.6,28.0,6.4,6.6,7.2,8.2,8.6,7.3,56.9,7.21,7.35,7.15,7.28,7.32,-0.04,-0.5464,25621.27,18633.968,1.09
603696.SH,20241017,5.6,28.0,6.4,6.6,7.2,8.2,8.6,7.3,45.75,7.33,7.38,7.21,7.24,7.28,-0.04,-0.5495,24680.77,18031.091,1.05
603696.SH,20241018,5.6,28.0,6.4,6.6,7.2,8.2,8.6,7.3,58.42,7.22,7.4,7.18,7.33,7.24,0.09,1.2431,36035.93,26343.017,1.53
603696.SH,20241021,5.6,28.0,6.4,6.6,7.2,8.0,8.6,7.3,58.94,7.33,7.42,7.31,7.36,7.33,0.03,0.4093,38180.96,28128.943,1.62
603696.SH,20241022,5.6,28.0,6.4,6.6,7.2,8.0,8.6,7.3,71.91,7.33,7.55,7.33,7.55,7.36,0.19,2.5815,45448.6,33878.768,1.93
603696.SH,20241023,5.6,28.0,6.4,6.6,7.2,8.0,8.6,7.31,72.38,7.51,7.57,7.42,7.5,7.55,-0.05,-0.6623,39487.15,29622.906,1.68
603696.SH,20241024,5.6,28.0,6.4,6.6,7.2,8.0,8.6,7.31,72.82,7.45,7.5,7.41,7.48,7.5,-0.02,-0.2667,25477.96,18982.433,1.08
603696.SH,20241025,5.6,28.0,6.4,6.6,7.2,8.0,8.6,7.32,72.85,7.47,7.59,7.47,7.57,7.48,0.09,1.2032,38250.48,28882.068,1.63
603696.SH,20241028,5.6,28.0,6.4,6.6,7.2,8.0,8.6,7.34,83.81,7.58,7.89,7.58,7.88,7.57,0.31,4.0951,57798.31,45130.656,2.46
603696.SH,20241029,5.6,28.0,6.4,6.6,7.4,8.0,8.6,7.36,76.91,7.92,8.0,7.69,7.71,7.88,-0.17,-2.1574,59457.88,46237.717,2.53
603696.SH,20241030,5.6,28.0,6.4,6.6,7.4,8.0,8.6,7.37,77.21,7.72,7.83,7.57,7.69,7.71,-0.02,-0.2594,37179.76,28609.362,1.58
603696.SH,20241031,5.6,28.0,6.4,6.6,7.4,7.8,8.6,7.38,77.58,7.64,7.82,7.64,7.8,7.69,0.11,1.4304,48343.04,37422.322,2.06
603696.SH,20241101,5.6,28.0,6.4,6.6,7.4,7.8,8.6,7.4,76.7,7.77,7.98,7.6,7.68,7.8,-0.12,-1.5385,66068.0,51166.973,2.81
603696.SH,20241104,5.6,28.0,6.4,6.6,7.4,7.8,8.4,7.42,86.31,7.68,7.94,7.61,7.94,7.68,0.26,3.3854,61580.96,48256.564,2.62
603696.SH,20241105,5.6,28.0,6.4,6.6,7.4,8.0,8.4,7.45,84.04,7.94,8.1,7.9,8.05,7.94,0.11,1.3854,61055.56,49059.868,2.6
603696.SH,20241106,5.6,28.0,6.4,6.6,7.4,8.0,8.4,7.48,89.81,8.05,8.19,7.95,8.12,8.05,0.07,0.8696,59328.17,48116.92,2.52
603696.SH,20241107,5.6,28.0,6.4,6.8,7.6,8.2,8.6,7.63,93.11,8.1,8.8,8.07,8.47,8.12,0.35,4.3103,190740.26,161022.57,8.11
