ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000530.SZ,20240924,0.2,10.6,3.4,3.5,3.6,3.8,4.1,3.67,81.04,3.66,3.79,3.66,3.79,3.66,0.13,3.5519,119857.21,44762.707,2.0
000530.SZ,20240925,0.2,10.6,3.4,3.5,3.6,3.8,4.1,3.68,89.85,3.8,3.9,3.8,3.83,3.79,0.04,1.0554,146496.91,56442.984,2.44
000530.SZ,20240926,0.2,10.6,3.4,3.5,3.7,3.8,4.1,3.69,89.74,3.82,3.92,3.79,3.92,3.83,0.09,2.3499,122551.0,47428.394,2.04
000530.SZ,20240927,0.2,10.6,3.4,3.5,3.7,3.9,4.1,3.71,93.97,3.96,4.1,3.95,4.05,3.92,0.13,3.3163,212365.01,85204.077,3.54
000530.SZ,20240930,0.2,10.6,3.4,3.6,3.7,4.1,4.3,3.77,98.61,4.2,4.42,4.12,4.4,4.05,0.35,8.642,395060.21,168948.556,6.58
000530.SZ,20241008,0.2,10.6,3.5,3.6,3.7,4.4,4.7,3.91,93.96,4.84,4.84,4.4,4.69,4.4,0.29,6.5909,483251.35,224549.445,8.05
000530.SZ,20241009,0.2,10.6,3.5,3.6,3.8,4.4,4.7,3.95,73.67,4.6,4.6,4.23,4.24,4.69,-0.45,-9.5949,297338.0,130290.718,4.96
000530.SZ,20241010,0.2,10.6,3.5,3.6,3.9,4.5,4.6,3.99,77.14,4.4,4.6,4.3,4.36,4.24,0.12,2.8302,300027.16,132448.157,5.0
000530.SZ,20241011,0.2,10.6,3.5,3.6,4.0,4.4,4.6,4.01,57.21,4.38,4.44,4.13,4.17,4.36,-0.19,-4.3578,197792.3,83983.617,3.3
000530.SZ,20241014,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.02,67.9,4.19,4.27,4.11,4.24,4.17,0.07,1.6787,160946.75,67797.575,2.68
000530.SZ,20241015,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.02,47.58,4.24,4.24,4.12,4.13,4.24,-0.11,-2.5943,160644.07,67064.209,2.68
000530.SZ,20241016,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.03,58.82,4.08,4.19,4.05,4.15,4.13,0.02,0.4843,107227.92,44343.6,1.79
000530.SZ,20241017,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.03,46.24,4.17,4.19,4.07,4.08,4.15,-0.07,-1.6867,111553.8,46060.115,1.86
000530.SZ,20241018,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.03,61.63,4.08,4.21,4.06,4.16,4.08,0.08,1.9608,167689.18,69579.309,2.79
000530.SZ,20241021,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.04,62.42,4.18,4.23,4.14,4.17,4.16,0.01,0.2404,178301.28,74480.151,2.97
000530.SZ,20241022,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.05,76.04,4.18,4.32,4.14,4.3,4.17,0.13,3.1175,210170.43,88796.425,3.5
000530.SZ,20241023,0.2,10.6,3.5,3.6,4.1,4.4,4.6,4.07,84.75,4.28,4.4,4.24,4.4,4.3,0.1,2.3256,233213.2,101145.198,3.89
000530.SZ,20241024,0.2,10.6,3.5,3.7,4.2,4.4,4.6,4.1,63.83,4.35,4.51,4.27,4.33,4.4,-0.07,-1.5909,345637.77,150690.93,5.76
000530.SZ,20241025,0.2,10.6,3.6,3.7,4.2,4.4,4.5,4.13,89.12,4.33,4.57,4.33,4.51,4.33,0.18,4.157,338322.68,150968.401,5.64
000530.SZ,20241028,0.2,10.6,3.6,3.7,4.3,4.6,4.7,4.21,90.41,4.76,4.86,4.63,4.68,4.51,0.17,3.7694,428016.05,201188.192,7.13
000530.SZ,20241029,0.2,10.6,3.6,3.8,4.3,4.6,4.7,4.24,70.13,4.67,4.7,4.5,4.51,4.68,-0.17,-3.6325,273486.7,124893.547,4.56
000530.SZ,20241030,0.2,10.6,3.6,3.8,4.3,4.6,4.7,4.26,80.97,4.46,4.6,4.46,4.57,4.51,0.06,1.3304,181144.19,82231.798,3.02
000530.SZ,20241031,0.2,10.6,3.6,3.8,4.3,4.6,4.7,4.27,80.56,4.61,4.62,4.55,4.61,4.57,0.04,0.8753,190825.56,87741.813,3.18
000530.SZ,20241101,0.2,10.6,3.6,3.9,4.4,4.6,4.7,4.3,79.63,4.59,4.72,4.42,4.61,4.61,0.0,0.0,310383.04,142302.698,5.17
000530.SZ,20241104,0.2,10.6,3.6,4.0,4.4,4.6,4.7,4.33,89.36,4.66,4.8,4.63,4.72,4.61,0.11,2.3861,303136.45,143162.413,5.05
000530.SZ,20241105,0.2,10.6,3.6,4.1,4.5,4.7,4.7,4.36,96.75,4.69,4.77,4.68,4.75,4.72,0.03,0.6356,292654.73,138337.822,4.88
000530.SZ,20241106,0.2,10.6,3.6,4.1,4.5,4.9,5.0,4.47,99.3,4.8,5.23,4.78,5.23,4.75,0.48,10.1053,547214.66,281117.607,9.12
000530.SZ,20241107,0.2,10.6,3.7,4.1,4.6,5.5,5.7,4.65,99.25,5.72,5.75,5.57,5.75,5.23,0.52,9.9426,465182.5,266249.394,7.75
000530.SZ,20241108,0.2,10.6,4.1,4.5,5.9,6.1,6.2,5.49,59.59,6.33,6.33,5.76,5.96,5.75,0.21,3.6522,1856808.95,1137557.964,30.95
000530.SZ,20241111,0.2,10.6,4.3,4.9,6.0,6.3,6.4,5.79,41.4,5.94,6.55,5.8,6.0,5.96,0.04,0.6711,1269660.56,773179.414,21.16
000530.SZ,20241112,0.2,10.6,4.5,5.5,5.9,6.2,6.4,5.75,19.05,5.8,5.88,5.5,5.57,6.0,-0.43,-7.1667,855527.21,486358.793,14.26
000530.SZ,20241113,0.2,10.6,4.5,5.4,5.8,6.2,6.4,5.7,20.98,5.55,5.63,5.34,5.49,5.57,-0.08,-1.4363,474208.5,258578.887,7.9
000530.SZ,20241114,0.2,10.6,4.6,5.4,5.7,6.1,6.4,5.66,11.38,5.51,5.62,5.36,5.38,5.49,-0.11,-2.0036,369043.59,202620.131,6.15
000530.SZ,20241115,0.2,10.6,4.6,5.2,5.6,6.1,6.4,5.62,9.05,5.36,5.43,5.17,5.19,5.38,-0.19,-3.5316,331454.76,176064.24,5.52
000530.SZ,20241118,0.2,10.6,4.6,5.1,5.5,6.1,6.3,5.56,12.05,5.18,5.28,5.02,5.06,5.19,-0.13,-2.5048,315565.03,161257.899,5.26
000530.SZ,20241119,0.2,10.6,4.7,5.0,5.5,6.1,6.3,5.5,24.7,5.07,5.19,5.0,5.19,5.06,0.13,2.5692,305349.55,155406.687,5.09
000530.SZ,20241120,0.2,10.6,4.8,5.0,5.4,6.0,6.3,5.47,37.2,5.18,5.32,5.14,5.31,5.19,0.12,2.3121,302395.18,158623.303,5.04
000530.SZ,20241121,0.2,10.6,4.9,5.1,5.4,6.0,6.2,5.45,47.59,5.27,5.4,5.24,5.35,5.31,0.04,0.7533,287148.63,152990.493,4.79
000530.SZ,20241122,0.2,10.6,4.9,5.1,5.3,6.0,6.2,5.43,12.91,5.35,5.41,5.11,5.12,5.35,-0.23,-4.2991,300178.78,158473.284,5.0
000530.SZ,20241125,0.2,10.6,5.0,5.1,5.4,5.9,6.2,5.41,75.29,5.16,5.63,5.14,5.58,5.12,0.46,8.9844,726676.69,396088.833,12.11
000530.SZ,20241126,0.2,10.6,5.0,5.2,5.3,5.8,6.1,5.4,51.77,5.45,5.46,5.28,5.42,5.58,-0.16,-2.8674,442985.93,238078.41,7.38
000530.SZ,20241127,0.2,10.6,5.0,5.2,5.4,5.6,6.1,5.4,70.1,5.37,5.6,5.32,5.54,5.42,0.12,2.214,477744.62,263196.207,7.96
000530.SZ,20241128,0.2,10.6,5.0,5.2,5.4,5.6,6.1,5.4,69.19,5.51,5.58,5.44,5.49,5.54,-0.05,-0.9025,361363.75,199510.778,6.02
000530.SZ,20241129,0.2,10.6,5.0,5.2,5.4,5.5,6.0,5.4,43.3,5.49,5.49,5.36,5.44,5.49,-0.05,-0.9107,340053.63,184449.532,5.67
000530.SZ,20241202,0.2,10.6,5.1,5.2,5.4,5.6,6.0,5.42,81.14,5.4,5.75,5.39,5.59,5.44,0.15,2.7574,468761.94,260025.067,7.81
000530.SZ,20241203,0.2,10.6,5.1,5.2,5.4,5.6,6.0,5.43,79.12,5.54,5.67,5.49,5.56,5.59,-0.03,-0.5367,326198.65,181857.201,5.44
000530.SZ,20241204,0.2,10.6,5.1,5.3,5.4,5.6,5.9,5.43,30.66,5.58,5.62,5.38,5.41,5.56,-0.15,-2.6978,279150.85,153326.687,4.65
000530.SZ,20241205,0.2,10.6,5.1,5.3,5.4,5.6,5.9,5.43,81.17,5.35,5.65,5.33,5.57,5.41,0.16,2.9575,345009.31,189976.795,5.75
000530.SZ,20241206,0.2,10.6,5.2,5.3,5.5,5.8,6.0,5.53,78.7,5.83,6.09,5.67,5.75,5.57,0.18,3.2316,824900.5,479893.748,13.75
000530.SZ,20241209,0.2,10.6,5.2,5.3,5.5,5.8,6.0,5.55,66.63,5.7,5.82,5.58,5.67,5.75,-0.08,-1.3913,428020.2,244254.217,7.13
