ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600262.SH,20240924,1.6,52.8,15.2,15.6,16.0,18.0,20.0,16.78,59.68,16.26,16.67,16.0,16.63,16.34,0.29,1.7748,59474.0,97667.493,3.5
600262.SH,20240925,1.6,52.8,15.2,15.6,16.0,18.0,20.0,16.77,56.21,16.78,17.02,16.53,16.6,16.63,-0.03,-0.1804,62036.0,104137.324,3.65
600262.SH,20240926,1.6,52.8,15.2,15.6,16.0,18.0,20.0,16.76,68.49,16.58,17.01,16.47,17.0,16.6,0.4,2.4096,51790.33,86848.49,3.05
600262.SH,20240927,1.6,52.8,15.2,15.6,16.4,18.0,20.0,16.79,75.99,17.3,17.7,17.06,17.57,17.0,0.57,3.3529,57922.32,100755.824,3.41
600262.SH,20240930,1.6,52.8,15.2,15.6,16.4,18.4,19.6,17.02,90.89,18.3,19.1,17.62,18.87,17.57,1.3,7.399,132250.03,243677.541,7.78
600262.SH,20241008,1.6,52.8,15.2,15.6,17.2,19.2,20.0,17.46,87.76,20.75,20.76,18.6,19.67,18.87,0.8,4.2395,153875.0,302345.66,9.05
600262.SH,20241009,1.6,52.8,15.6,15.6,17.6,19.2,20.0,17.58,52.03,19.46,19.46,18.01,18.21,19.67,-1.46,-7.4225,104110.31,193414.977,6.12
600262.SH,20241010,1.6,52.8,15.6,15.6,18.0,18.8,20.0,17.73,74.71,18.49,19.45,18.36,18.95,18.21,0.74,4.0637,119210.03,227199.534,7.01
600262.SH,20241011,1.6,52.8,15.6,15.6,18.0,18.8,20.0,17.78,41.69,18.6,18.73,17.87,18.13,18.95,-0.82,-4.3272,69921.83,127727.552,4.11
600262.SH,20241014,1.6,52.8,15.6,16.0,18.0,18.8,20.0,17.8,59.63,18.16,18.59,18.0,18.48,18.13,0.35,1.9305,45861.23,84211.523,2.7
600262.SH,20241015,1.6,52.8,15.6,16.0,18.0,18.8,20.0,17.82,59.76,18.31,18.68,18.19,18.3,18.48,-0.18,-0.974,45145.02,83039.99,2.66
600262.SH,20241016,1.6,52.8,15.6,16.0,18.0,18.8,19.6,17.83,39.56,18.01,18.29,17.85,18.05,18.3,-0.25,-1.3661,40878.0,73768.401,2.4
600262.SH,20241017,1.6,52.8,15.6,16.0,18.0,18.8,19.6,17.84,39.74,18.15,18.58,18.0,18.0,18.05,-0.05,-0.277,34412.2,62735.009,2.02
600262.SH,20241018,1.6,52.8,15.6,16.0,18.0,18.8,19.6,17.85,64.9,17.86,18.57,17.86,18.46,18.0,0.46,2.5556,59571.7,108345.759,3.5
600262.SH,20241021,1.6,52.8,15.6,16.0,18.0,18.8,19.6,17.91,80.2,18.4,19.12,18.37,18.91,18.46,0.45,2.4377,64069.04,120294.594,3.77
