ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002171.SZ,20240924,1.0,17.7,5.4,5.5,6.2,7.6,8.0,6.53,33.73,5.63,5.83,5.63,5.83,5.6,0.23,4.1071,146434.0,84059.5,1.13
002171.SZ,20240925,1.0,17.7,5.4,5.5,6.2,7.6,8.0,6.52,33.02,5.88,6.0,5.78,5.79,5.83,-0.04,-0.6861,178835.76,105475.131,1.38
002171.SZ,20240926,1.0,17.7,5.4,5.5,6.1,7.6,8.0,6.51,43.96,5.81,6.02,5.78,6.02,5.79,0.23,3.9724,140058.62,82613.908,1.08
002171.SZ,20240927,1.0,17.7,5.4,5.5,6.1,7.5,8.0,6.5,54.95,6.1,6.34,6.06,6.27,6.02,0.25,4.1528,222143.76,137388.141,1.71
002171.SZ,20240930,1.0,17.7,5.4,5.5,6.2,7.5,8.0,6.51,71.32,6.47,6.9,6.42,6.9,6.27,0.63,10.0478,427045.03,285794.825,3.3
002171.SZ,20241008,1.0,17.7,5.4,5.5,6.4,7.5,8.0,6.58,78.42,7.59,7.59,6.89,7.31,6.9,0.41,5.942,488498.06,355606.111,3.77
002171.SZ,20241009,1.0,17.7,5.4,5.5,6.5,7.5,8.0,6.6,53.49,7.2,7.2,6.6,6.62,7.31,-0.69,-9.4391,374585.16,257167.173,2.89
002171.SZ,20241010,1.0,17.7,5.4,5.5,6.5,7.4,8.0,6.61,52.54,6.65,6.82,6.52,6.62,6.62,0.0,0.0,234072.14,156820.604,1.81
002171.SZ,20241011,1.0,17.7,5.4,5.5,6.5,7.4,8.0,6.6,45.26,6.67,6.67,6.3,6.39,6.62,-0.23,-3.4743,206633.47,132871.588,1.59
002171.SZ,20241014,1.0,17.7,5.4,5.5,6.4,7.4,8.0,6.6,50.23,6.43,6.56,6.31,6.52,6.39,0.13,2.0344,158174.1,102024.506,1.22
002171.SZ,20241015,1.0,17.7,5.4,5.5,6.4,7.4,7.9,6.6,39.84,6.5,6.57,6.35,6.35,6.52,-0.17,-2.6074,179835.21,116124.02,1.39
002171.SZ,20241016,1.0,17.7,5.4,5.6,6.4,7.4,7.9,6.6,40.34,6.28,6.44,6.26,6.37,6.35,0.02,0.315,148720.89,94512.08,1.15
002171.SZ,20241017,1.0,17.7,5.4,5.6,6.4,7.4,7.9,6.59,35.3,6.41,6.44,6.24,6.25,6.37,-0.12,-1.8838,135812.0,86059.657,1.05
002171.SZ,20241018,1.0,17.7,5.4,5.6,6.4,7.4,7.9,6.59,48.95,6.25,6.57,6.22,6.45,6.25,0.2,3.2,234512.49,150411.592,1.81
002171.SZ,20241021,1.0,17.7,5.4,5.6,6.4,7.3,7.9,6.59,56.07,6.5,6.57,6.41,6.48,6.45,0.03,0.4651,232088.54,150708.915,1.79
002171.SZ,20241022,1.0,17.7,5.4,5.6,6.4,7.3,7.9,6.59,56.93,6.49,6.56,6.43,6.54,6.48,0.06,0.9259,188053.72,122218.266,1.45
002171.SZ,20241023,1.0,17.7,5.4,5.6,6.4,7.3,7.9,6.59,61.78,6.56,6.7,6.5,6.62,6.54,0.08,1.2232,224181.95,148202.124,1.73
002171.SZ,20241024,1.0,17.7,5.4,5.6,6.4,7.3,7.9,6.59,55.3,6.63,6.63,6.46,6.55,6.62,-0.07,-1.0574,157801.85,102931.411,1.22
002171.SZ,20241025,1.0,17.7,5.4,5.6,6.4,7.3,7.9,6.6,68.38,6.54,6.69,6.53,6.69,6.55,0.14,2.1374,210648.16,139493.396,1.63
002171.SZ,20241028,1.0,17.7,5.4,5.7,6.4,7.2,7.9,6.57,46.23,6.23,6.52,6.15,6.45,6.69,-0.24,-3.5874,581833.86,368440.035,4.49
002171.SZ,20241029,1.0,17.7,5.4,5.7,6.4,7.2,7.9,6.57,34.77,6.49,6.55,6.29,6.32,6.45,-0.13,-2.0155,345958.19,221114.501,2.67
002171.SZ,20241030,1.0,17.7,5.4,5.8,6.4,7.1,7.9,6.56,35.63,6.29,6.43,6.26,6.31,6.32,-0.01,-0.1582,208088.53,131743.382,1.61
002171.SZ,20241031,1.0,17.7,5.4,5.8,6.3,7.1,7.9,6.56,35.88,6.32,6.39,6.27,6.36,6.31,0.05,0.7924,249078.97,157476.469,1.92
002171.SZ,20241101,1.0,17.7,5.4,5.8,6.3,7.1,7.8,6.55,37.14,6.3,6.39,6.18,6.21,6.29,-0.08,-1.2719,314988.76,198095.804,2.43
002171.SZ,20241104,1.0,17.7,5.4,5.8,6.3,7.1,7.8,6.55,53.54,6.21,6.31,6.16,6.31,6.21,0.1,1.6103,187881.18,117384.717,1.45
