ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000158.SZ,20240924,0.8,31.0,10.2,11.0,11.8,12.4,12.6,11.63,11.11,11.83,12.98,10.65,10.98,11.83,-0.85,-7.1851,6263589.32,7421595.328,39.45
000158.SZ,20240925,0.8,31.0,10.4,10.8,11.4,12.0,12.4,11.37,89.11,10.15,12.08,10.15,12.08,10.98,1.1,10.0182,4758005.95,5429133.372,29.97
000158.SZ,20240926,0.8,31.0,11.0,11.6,12.4,12.8,13.2,12.24,46.32,12.6,13.29,11.53,12.35,12.08,0.27,2.2351,6195558.54,7815586.689,39.02
000158.SZ,20240927,0.8,31.0,11.6,11.8,12.2,12.6,12.8,12.21,18.9,12.16,12.82,11.63,11.99,12.35,-0.36,-2.915,5642708.28,6853227.395,35.54
000158.SZ,20240930,0.8,31.0,11.8,12.0,12.6,12.8,13.0,12.46,97.96,12.25,13.19,12.24,13.19,11.99,1.2,10.0083,3787489.48,4893294.961,23.85
000158.SZ,20241008,0.8,31.0,12.0,12.2,14.4,14.4,14.6,13.47,87.46,14.51,14.51,14.51,14.51,13.19,1.32,10.0076,146736.18,212914.197,0.92
000158.SZ,20241009,0.8,31.0,12.0,12.6,15.8,15.8,16.0,14.68,87.42,15.96,15.96,15.96,15.96,14.51,1.45,9.9931,192170.31,306703.815,1.21
000158.SZ,20241010,0.8,31.0,14.6,15.2,16.2,17.0,17.2,16.14,88.66,17.56,17.56,14.36,17.1,15.96,1.14,7.1429,7194840.35,12325960.961,45.31
000158.SZ,20241011,0.8,31.0,15.4,15.8,16.6,17.4,18.0,16.61,89.48,15.39,18.48,15.39,17.69,17.1,0.59,3.4503,5738652.06,9518371.842,36.14
000158.SZ,20241014,0.8,31.0,15.8,16.2,17.4,18.4,19.0,17.35,99.89,16.84,19.46,15.99,19.46,17.69,1.77,10.0057,4587076.23,8224785.98,28.89
000158.SZ,20241015,0.8,31.0,16.6,18.0,20.2,20.8,21.2,19.73,85.63,19.46,21.41,19.0,20.99,19.46,1.53,7.8623,5877615.57,12156712.063,37.02
000158.SZ,20241016,0.8,31.0,17.8,20.0,21.8,22.6,22.8,21.27,99.66,20.97,23.09,20.75,23.09,20.99,2.1,10.0048,3929761.28,8851213.535,24.75
000158.SZ,20241017,0.8,31.0,20.4,21.8,23.4,24.6,25.0,23.12,88.78,24.0,25.4,21.0,24.7,23.09,1.61,6.9727,5593473.46,13804620.87,35.23
000158.SZ,20241018,0.8,31.0,21.8,23.0,24.4,25.2,25.6,24.09,75.77,25.0,25.96,23.0,24.92,24.7,0.22,0.8907,5187556.75,12964380.139,32.67
000158.SZ,20241021,0.8,31.0,22.8,23.8,24.8,25.8,26.4,24.79,93.49,24.1,27.0,23.56,26.36,24.92,1.44,5.7785,4810914.5,12106935.077,30.3
000158.SZ,20241022,0.8,31.0,23.6,24.2,25.0,25.8,26.2,25.0,41.23,26.36,26.5,24.0,24.82,26.36,-1.54,-5.8422,3295124.16,8376755.621,20.75
000158.SZ,20241023,0.8,31.0,23.4,23.8,24.8,25.6,26.2,24.71,2.98,23.96,26.01,22.9,23.04,24.82,-1.78,-7.1716,3337093.0,8016996.766,21.02
000158.SZ,20241024,0.8,31.0,22.0,22.6,24.0,25.2,25.8,23.92,87.69,22.01,25.34,21.34,25.34,23.04,2.3,9.9826,4360528.7,10176885.084,27.46
000158.SZ,20241025,0.8,31.0,22.6,23.6,25.4,26.4,27.0,25.13,60.55,25.5,27.5,24.07,25.63,25.34,0.29,1.1444,4772228.14,12472897.83,30.06
000158.SZ,20241028,0.8,31.0,23.2,24.8,26.6,27.6,27.8,26.25,99.6,27.8,28.19,25.98,28.19,25.63,2.56,9.9883,4290084.18,11704929.751,27.02
000158.SZ,20241029,0.8,31.2,25.0,26.6,29.0,30.2,30.6,28.54,96.32,28.19,31.01,27.15,30.61,28.19,2.42,8.5846,4804820.69,14456204.959,30.26
000158.SZ,20241030,0.8,33.6,26.2,28.0,31.2,32.6,33.0,30.46,100.04,30.6,33.67,30.01,33.67,30.61,3.06,9.9967,2076360.27,6704748.867,13.08
000158.SZ,20241031,0.8,37.0,27.4,30.0,34.8,36.2,36.6,33.51,100.01,37.04,37.04,33.7,37.04,33.67,3.37,10.0089,2335100.36,8539010.771,14.71
000158.SZ,20241101,0.8,39.8,29.4,32.4,36.0,37.8,38.6,35.31,17.77,38.78,39.88,33.34,33.34,37.04,-3.7,-9.9892,3979835.85,14399457.081,25.06
000158.SZ,20241104,0.8,39.8,30.8,31.8,33.6,36.2,37.8,33.87,89.47,30.01,36.67,30.01,36.67,33.34,3.33,9.988,5214985.32,17109720.883,32.84
000158.SZ,20241105,0.8,39.8,31.8,33.4,35.8,37.2,37.8,35.44,41.55,37.0,38.5,33.76,35.55,36.67,-1.12,-3.0543,5381972.09,19700266.815,33.9
000158.SZ,20241106,0.8,39.8,32.4,33.0,34.0,36.6,37.4,34.48,19.86,33.78,34.99,32.11,33.03,35.55,-2.52,-7.0886,3922711.56,13232198.837,24.71
000158.SZ,20241107,0.8,39.8,30.0,30.2,31.6,35.4,37.0,32.49,31.27,31.66,32.0,29.73,30.66,33.03,-2.37,-7.1753,4035080.06,12260661.281,25.41
000158.SZ,20241108,0.8,39.8,30.0,30.2,31.2,33.8,36.4,31.85,58.93,30.0,33.0,29.29,31.53,30.66,0.87,2.8376,3679033.35,11481924.314,23.17
000158.SZ,20241111,0.8,39.8,29.8,30.2,31.0,32.8,35.6,31.51,44.15,30.0,32.48,29.45,30.88,31.53,-0.65,-2.0615,2744764.21,8427925.744,17.29
000158.SZ,20241112,0.8,39.8,30.0,30.4,31.2,32.0,34.4,31.42,60.49,30.87,32.0,30.5,31.29,30.88,0.41,1.3277,2349684.87,7331493.662,14.8
000158.SZ,20241113,0.8,39.8,30.0,30.2,31.0,31.8,34.0,31.23,9.07,31.29,31.29,30.0,30.12,31.29,-1.17,-3.7392,1612466.96,4895439.914,10.16
000158.SZ,20241114,0.8,39.8,29.6,30.0,30.8,31.6,33.6,30.95,19.07,29.8,31.17,29.0,30.09,30.12,-0.03,-0.0996,1922140.25,5818788.613,12.11
000158.SZ,20241115,0.8,39.8,27.6,28.0,30.0,31.2,32.2,29.79,0.23,29.4,29.97,27.08,27.08,30.09,-3.01,-10.0033,2352755.03,6650145.025,14.82
000158.SZ,20241118,0.8,39.8,25.2,25.6,26.4,30.4,31.4,27.53,12.88,26.74,27.0,25.0,25.51,27.08,-1.57,-5.7976,2137548.7,5550827.307,13.46
000158.SZ,20241119,0.8,39.8,25.4,25.6,26.2,30.0,31.2,27.2,68.07,25.88,26.99,25.49,26.88,25.51,1.37,5.3704,1992534.43,5252897.186,12.55
000158.SZ,20241120,0.8,39.8,25.4,25.8,26.6,28.4,31.0,27.22,80.34,26.6,28.48,26.0,28.03,26.88,1.15,4.2783,2512584.19,6860942.991,15.82
000158.SZ,20241121,0.8,39.8,25.6,26.0,27.8,29.6,30.4,27.88,67.41,27.69,30.5,27.3,28.8,28.03,0.77,2.7471,2980589.29,8686848.245,18.77
000158.SZ,20241122,0.8,39.8,25.6,26.2,27.4,29.2,30.2,27.63,8.78,27.5,28.18,25.98,25.99,28.8,-2.81,-9.7569,2274751.27,6152694.709,14.33
000158.SZ,20241125,0.8,39.8,25.4,26.0,27.0,28.8,29.8,27.32,77.91,25.49,28.47,24.8,28.06,25.99,2.07,7.9646,2843263.36,7694409.261,17.91
000158.SZ,20241126,0.8,39.8,25.6,26.0,26.8,28.2,29.6,27.15,9.54,26.58,27.38,25.96,25.96,28.06,-2.1,-7.484,1769863.49,4699342.27,11.15
