ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000950.SZ,20240924,0.6,14.2,4.5,4.6,4.8,5.6,5.8,5.04,51.54,4.68,4.97,4.68,4.9,4.67,0.23,4.9251,248637.23,119849.01,1.44
000950.SZ,20240925,0.6,14.2,4.5,4.6,4.9,5.5,5.8,5.04,61.58,5.1,5.29,5.07,5.13,4.9,0.23,4.6939,463169.6,240142.417,2.68
000950.SZ,20240926,0.6,14.2,4.5,4.6,4.9,5.5,5.8,5.05,76.96,5.13,5.27,5.06,5.27,5.13,0.14,2.729,277532.88,143085.449,1.61
000950.SZ,20240927,0.6,14.2,4.5,4.6,4.9,5.5,5.8,5.06,76.14,5.3,5.43,5.23,5.34,5.27,0.07,1.3283,450428.73,239443.837,2.61
000950.SZ,20240930,0.6,14.2,4.5,4.6,5.0,5.5,5.8,5.09,90.01,5.49,5.81,5.36,5.76,5.34,0.42,7.8652,622735.66,349128.227,3.6
000950.SZ,20241008,0.6,14.2,4.5,4.6,5.1,5.7,6.0,5.17,87.46,6.32,6.32,5.6,5.84,5.76,0.08,1.3889,813102.84,481848.836,4.7
000950.SZ,20241009,0.6,14.2,4.5,4.6,5.1,5.7,5.9,5.19,60.23,5.75,5.75,5.32,5.32,5.84,-0.52,-8.9041,533197.32,294206.323,3.09
000950.SZ,20241010,0.6,14.2,4.5,4.7,5.1,5.7,5.9,5.2,59.06,5.35,5.53,5.23,5.34,5.32,0.02,0.3759,304047.84,163348.309,1.76
000950.SZ,20241011,0.6,14.2,4.5,4.7,5.2,5.7,5.9,5.2,49.74,5.34,5.39,5.15,5.22,5.34,-0.12,-2.2472,283470.62,149676.615,1.64
000950.SZ,20241014,0.6,14.2,4.5,4.7,5.1,5.7,5.9,5.2,60.38,5.25,5.29,5.13,5.29,5.22,0.07,1.341,238479.91,124649.245,1.38
