ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603516.SH,20240924,9.0,43.2,24.3,24.6,25.8,27.6,29.1,26.25,74.69,24.84,27.19,24.36,27.19,24.72,2.47,9.9919,130247.2,340842.667,6.45
603516.SH,20240925,9.0,43.2,24.3,24.6,26.1,27.9,29.1,26.44,69.9,28.43,28.76,27.12,27.36,27.19,0.17,0.6252,140965.93,394883.711,6.98
603516.SH,20240926,9.0,43.2,24.3,24.6,26.4,27.9,28.8,26.48,78.73,27.3,27.73,26.53,27.73,27.36,0.37,1.3523,111249.53,301319.447,5.51
603516.SH,20240927,9.0,43.2,24.3,24.9,26.4,28.2,29.1,26.65,96.25,27.85,29.84,27.85,29.4,27.73,1.67,6.0224,91325.37,261639.5,4.52
603516.SH,20240930,9.0,43.2,24.3,24.9,27.0,30.3,30.9,27.34,98.22,30.2,31.9,29.38,31.61,29.4,2.21,7.517,192128.98,593804.108,9.52
603516.SH,20241008,9.0,43.2,24.3,25.5,27.9,32.1,33.3,28.59,93.59,34.76,34.76,30.35,33.35,31.61,1.74,5.5046,253266.13,829445.504,12.55
603516.SH,20241009,9.0,43.2,24.6,25.8,29.7,31.8,33.3,28.93,50.37,31.4,31.69,30.02,30.02,33.35,-3.33,-9.985,195593.4,596467.865,9.69
603516.SH,20241010,9.0,43.2,24.6,26.1,28.5,31.2,33.0,28.77,36.46,30.12,30.2,27.04,28.03,30.02,-1.99,-6.6289,185243.85,524389.727,9.18
603516.SH,20241011,9.0,43.2,24.6,26.1,28.2,30.9,33.0,28.59,29.27,27.96,28.38,26.7,27.4,28.03,-0.63,-2.2476,113396.58,312167.18,5.62
603516.SH,20241014,9.0,43.2,24.9,26.4,27.9,30.9,32.7,28.48,65.24,27.4,29.4,26.8,29.3,27.4,1.9,6.9343,144307.29,405770.708,7.15
603516.SH,20241015,9.0,43.2,24.9,26.7,28.5,30.6,32.4,28.66,56.29,29.0,30.95,28.55,29.23,29.3,-0.07,-0.2389,182475.62,545965.072,9.04
603516.SH,20241016,9.0,43.2,25.2,26.7,28.2,30.6,32.4,28.57,45.12,28.0,28.75,27.65,28.2,29.23,-1.03,-3.5238,106413.81,299640.51,5.27
603516.SH,20241017,9.0,43.2,25.5,27.0,28.5,30.3,32.4,28.56,49.83,28.35,29.36,28.28,28.67,28.2,0.47,1.6667,112873.27,326406.225,5.59
603516.SH,20241018,9.0,43.2,25.8,27.3,29.1,30.9,31.8,29.03,94.28,30.5,31.54,29.88,31.54,28.67,2.87,10.0105,246152.57,766936.154,12.2
603516.SH,20241021,9.0,43.2,26.4,27.6,30.3,33.3,33.9,30.36,73.13,32.8,34.69,32.53,33.13,31.54,1.59,5.0412,316695.1,1067292.729,15.69
603516.SH,20241022,9.0,43.2,26.7,27.9,32.7,34.2,34.8,31.45,85.68,34.02,35.68,33.7,34.5,33.13,1.37,4.1352,276233.94,954766.669,13.69
603516.SH,20241023,9.0,43.2,27.0,28.5,33.3,34.8,35.4,32.14,88.56,33.56,36.52,33.5,35.18,34.5,0.68,1.971,216487.16,762154.131,10.73
603516.SH,20241024,9.0,43.2,27.3,28.5,33.6,34.8,35.4,32.43,82.47,34.4,35.3,33.74,34.85,35.18,-0.33,-0.938,141128.02,486593.353,6.99
603516.SH,20241025,9.0,43.2,27.3,29.4,33.6,34.8,35.1,32.65,63.47,34.56,35.28,33.02,34.29,34.85,-0.56,-1.6069,187831.86,630767.2,9.31
603516.SH,20241028,9.0,43.2,27.6,30.3,33.0,34.5,35.1,32.38,34.05,32.11,33.2,30.98,31.75,34.29,-2.54,-7.4074,247321.86,782904.614,12.25
