ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600693.SH,20240924,0.2,13.6,2.7,2.8,2.8,3.1,3.5,2.97,74.45,2.93,3.01,2.93,3.0,2.93,0.07,2.3891,124242.0,36994.325,1.43
600693.SH,20240925,0.2,13.6,2.7,2.8,2.8,3.0,3.5,2.97,74.44,3.01,3.1,3.01,3.03,3.0,0.03,1.0,151750.0,46413.295,1.75
600693.SH,20240926,0.2,13.6,2.7,2.8,2.8,3.0,3.4,2.98,85.63,3.04,3.16,3.04,3.16,3.03,0.13,4.2904,141982.58,44045.697,1.63
600693.SH,20240927,0.2,13.6,2.7,2.8,2.8,3.1,3.4,2.98,87.37,3.2,3.24,3.15,3.23,3.16,0.07,2.2152,101123.02,32295.504,1.16
600693.SH,20240930,0.2,13.6,2.7,2.8,2.9,3.2,3.4,3.0,95.37,3.38,3.51,3.23,3.5,3.23,0.27,8.3591,257083.96,86703.69,2.96
600693.SH,20241008,0.2,13.6,2.7,2.8,2.9,3.3,3.6,3.04,91.08,3.83,3.84,3.43,3.56,3.5,0.06,1.7143,271781.0,98086.74,3.13
600693.SH,20241009,0.2,13.6,2.7,2.8,2.9,3.3,3.6,3.04,74.82,3.48,3.52,3.22,3.23,3.56,-0.33,-9.2697,159934.0,53454.486,1.84
600693.SH,20241010,0.2,13.6,2.7,2.8,2.9,3.3,3.6,3.05,72.69,3.26,3.4,3.21,3.29,3.23,0.06,1.8576,134986.0,44595.567,1.55
600693.SH,20241011,0.2,13.6,2.7,2.8,2.9,3.3,3.6,3.06,71.05,3.29,3.37,3.22,3.24,3.29,-0.05,-1.5198,115487.0,38042.579,1.33
600693.SH,20241014,0.2,13.6,2.7,2.8,2.9,3.3,3.6,3.06,81.99,3.24,3.3,3.21,3.3,3.24,0.06,1.8519,97155.0,31636.966,1.12
600693.SH,20241015,0.2,13.6,2.7,2.8,2.9,3.3,3.5,3.06,69.98,3.28,3.31,3.23,3.23,3.3,-0.07,-2.1212,72361.0,23654.536,0.83
600693.SH,20241016,0.2,13.6,2.7,2.8,2.9,3.3,3.5,3.07,70.3,3.2,3.27,3.15,3.24,3.23,0.01,0.3096,81958.0,26460.567,0.94
600693.SH,20241017,0.2,13.6,2.7,2.8,2.9,3.3,3.5,3.07,70.61,3.26,3.28,3.15,3.19,3.24,-0.05,-1.5432,82847.0,26635.016,0.95
600693.SH,20241018,0.2,13.6,2.7,2.8,2.9,3.3,3.5,3.07,70.95,3.18,3.29,3.16,3.26,3.19,0.07,2.1944,99549.0,32058.95,1.15
600693.SH,20241021,0.2,13.6,2.7,2.8,3.0,3.3,3.5,3.07,70.21,3.27,3.32,3.25,3.29,3.26,0.03,0.9202,115744.8,37993.244,1.33
600693.SH,20241022,0.2,13.6,2.7,2.8,3.0,3.3,3.5,3.08,83.51,3.29,3.32,3.25,3.32,3.29,0.03,0.9119,88261.6,29117.802,1.02
600693.SH,20241023,0.2,13.6,2.7,2.8,3.0,3.3,3.5,3.08,83.3,3.31,3.35,3.3,3.32,3.32,0.0,0.0,95994.04,31929.101,1.1
600693.SH,20241024,0.2,13.6,2.7,2.8,3.0,3.3,3.5,3.09,83.37,3.32,3.39,3.29,3.36,3.32,0.04,1.2048,93653.0,31387.7,1.08
600693.SH,20241025,0.2,13.6,2.7,2.8,3.0,3.3,3.5,3.09,90.49,3.35,3.44,3.35,3.43,3.36,0.07,2.0833,92247.0,31331.85,1.06
600693.SH,20241028,0.2,13.6,2.7,2.8,3.0,3.3,3.5,3.1,93.36,3.43,3.55,3.43,3.55,3.43,0.12,3.4985,130223.0,45685.812,1.5
