ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002512.SZ,20240924,2.2,24.2,3.0,3.2,3.4,3.4,3.4,3.31,96.05,3.5,3.55,3.38,3.54,3.48,0.06,1.7241,725990.0,252492.807,6.92
002512.SZ,20240925,2.2,24.2,3.0,3.2,3.4,3.4,3.6,3.33,93.2,3.54,3.68,3.53,3.57,3.54,0.03,0.8475,701684.75,252401.436,6.69
002512.SZ,20240926,2.2,24.2,3.0,3.2,3.4,3.4,3.6,3.35,99.35,3.55,3.62,3.52,3.61,3.57,0.04,1.1204,603315.42,215220.795,5.75
002512.SZ,20240927,2.2,24.2,3.2,3.2,3.4,3.6,3.8,3.41,98.49,3.64,3.86,3.63,3.82,3.61,0.21,5.8172,853197.11,319272.93,8.14
002512.SZ,20240930,2.2,24.2,3.2,3.2,3.4,4.0,4.0,3.55,96.77,4.0,4.2,3.87,4.2,3.82,0.38,9.9476,1220027.06,498523.656,11.64
002512.SZ,20241008,2.2,24.2,3.2,3.4,3.6,4.4,4.6,3.79,98.77,4.62,4.62,4.35,4.62,4.2,0.42,10.0,1385137.15,630265.243,13.21
002512.SZ,20241009,2.2,24.2,3.2,3.4,4.2,4.6,4.8,4.08,87.0,4.69,5.04,4.42,4.68,4.62,0.06,1.2987,1698470.47,805865.91,16.2
002512.SZ,20241010,2.2,24.2,3.2,3.4,4.4,4.6,4.8,4.15,63.31,4.8,4.83,4.33,4.45,4.68,-0.23,-4.9145,983391.49,442662.562,9.38
002512.SZ,20241011,2.2,24.2,3.2,3.4,4.4,4.6,4.8,4.16,35.48,4.4,4.4,4.1,4.16,4.45,-0.29,-6.5169,616337.4,260255.491,5.88
002512.SZ,20241014,2.2,24.2,3.2,3.4,4.4,4.6,4.8,4.2,72.14,4.16,4.58,4.11,4.58,4.16,0.42,10.0962,1071001.02,479989.622,10.22
002512.SZ,20241015,2.2,24.2,3.4,4.0,4.6,4.6,4.8,4.35,86.37,4.76,4.91,4.63,4.73,4.58,0.15,3.2751,1727739.4,827787.551,16.48
002512.SZ,20241016,2.2,24.2,3.4,4.2,4.6,4.8,4.8,4.44,97.45,4.64,5.04,4.59,4.95,4.73,0.22,4.6512,1308370.03,640788.878,12.48
002512.SZ,20241017,2.2,24.2,3.4,4.2,4.6,4.8,4.8,4.48,74.31,4.94,4.94,4.73,4.8,4.95,-0.15,-3.0303,1003243.0,480841.952,9.57
002512.SZ,20241018,2.2,24.2,3.4,4.4,4.6,4.8,4.8,4.51,98.31,4.75,4.9,4.6,4.83,4.8,0.03,0.625,1015462.98,481394.82,9.69
002512.SZ,20241021,2.2,24.2,3.8,4.4,4.6,5.0,5.0,4.63,96.79,4.85,5.25,4.85,5.1,4.83,0.27,5.5901,1313361.96,662026.058,12.53
002512.SZ,20241022,2.2,24.2,4.0,4.4,4.8,5.0,5.0,4.67,76.48,5.11,5.13,4.82,4.89,5.1,-0.21,-4.1176,899930.1,443920.323,8.58
002512.SZ,20241023,2.2,24.2,4.0,4.6,4.8,5.0,5.0,4.68,79.47,4.89,4.97,4.8,4.81,4.89,-0.08,-1.636,670828.48,327645.248,6.4
002512.SZ,20241024,2.2,24.2,4.2,4.6,4.8,5.0,5.0,4.68,47.52,4.81,4.89,4.72,4.75,4.81,-0.06,-1.2474,476135.44,228384.047,4.54
002512.SZ,20241025,2.2,24.2,4.2,4.6,4.6,5.0,5.0,4.67,50.23,4.75,4.8,4.68,4.74,4.75,-0.01,-0.2105,517677.0,245861.925,4.94
002512.SZ,20241028,2.2,24.2,4.2,4.6,4.8,4.8,5.0,4.68,85.24,4.74,4.89,4.69,4.89,4.74,0.15,3.1646,648133.19,313263.194,6.18
002512.SZ,20241029,2.2,24.2,4.4,4.6,4.8,5.0,5.0,4.71,83.69,4.89,5.04,4.81,4.83,4.89,-0.06,-1.227,786238.16,385811.8,7.5
002512.SZ,20241030,2.2,24.2,4.4,4.6,4.8,4.8,5.0,4.71,85.77,4.79,4.95,4.71,4.91,4.83,0.08,1.6563,671071.32,325637.509,6.4
002512.SZ,20241031,2.2,24.2,4.4,4.6,4.8,5.2,5.2,4.82,97.77,4.91,5.4,4.91,5.4,4.91,0.49,9.9796,1352835.12,709643.928,12.9
