ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002632.SZ,20240924,1.6,14.3,6.3,6.5,6.9,7.4,7.5,6.94,46.47,6.77,7.07,6.77,7.07,6.77,0.3,4.4313,225606.96,156316.276,3.88
002632.SZ,20240925,1.6,14.3,6.4,6.5,6.9,7.3,7.5,6.94,44.86,7.1,7.23,6.99,7.02,7.07,-0.05,-0.7072,256700.59,182514.656,4.42
002632.SZ,20240926,1.6,14.3,6.4,6.6,6.9,7.3,7.5,6.93,55.12,7.0,7.18,6.95,7.18,7.02,0.16,2.2792,175845.0,124536.911,3.03
002632.SZ,20240927,1.6,14.3,6.4,6.6,7.0,7.3,7.5,6.97,86.51,7.24,7.71,7.21,7.53,7.18,0.35,4.8747,331192.9,245483.106,5.7
002632.SZ,20240930,1.6,14.3,6.4,6.6,7.1,7.6,7.8,7.1,98.05,7.76,8.26,7.59,8.22,7.53,0.69,9.1633,512355.59,407554.952,8.82
002632.SZ,20241008,1.6,14.3,6.4,6.7,7.2,8.2,8.5,7.35,97.05,9.03,9.04,8.02,8.76,8.22,0.54,6.5693,607312.39,522702.933,10.46
002632.SZ,20241009,1.6,14.3,6.5,6.7,7.4,8.1,8.4,7.43,59.87,8.42,8.46,7.89,7.9,8.76,-0.86,-9.8174,395049.66,323687.225,6.8
002632.SZ,20241010,1.6,14.3,6.5,6.7,7.5,8.1,8.4,7.45,63.87,7.99,8.16,7.73,7.92,7.9,0.02,0.2532,245884.02,196297.287,4.23
002632.SZ,20241011,1.6,14.3,6.5,6.7,7.5,8.1,8.4,7.46,42.99,7.85,7.89,7.41,7.51,7.92,-0.41,-5.1768,212488.0,161973.215,3.66
002632.SZ,20241014,1.6,14.3,6.5,6.8,7.5,8.0,8.4,7.46,62.52,7.53,7.87,7.53,7.87,7.51,0.36,4.7936,218833.0,169466.713,3.77
002632.SZ,20241015,1.6,14.3,6.5,6.8,7.5,8.0,8.4,7.47,62.51,7.91,8.01,7.77,7.82,7.87,-0.05,-0.6353,202602.0,159963.671,3.49
002632.SZ,20241016,1.6,14.3,6.5,6.8,7.5,8.0,8.4,7.48,53.01,7.71,7.88,7.66,7.8,7.82,-0.02,-0.2558,127100.0,98978.581,2.19
002632.SZ,20241017,1.6,14.3,6.6,6.8,7.5,8.0,8.3,7.49,50.57,7.79,7.94,7.73,7.77,7.8,-0.03,-0.3846,157897.54,123833.858,2.72
002632.SZ,20241018,1.6,14.3,6.6,6.9,7.6,7.9,8.3,7.51,73.23,7.72,8.1,7.72,7.95,7.77,0.18,2.3166,263655.4,208896.644,4.54
002632.SZ,20241021,1.6,14.3,6.6,6.9,7.6,8.0,8.3,7.54,89.5,7.97,8.27,7.97,8.26,7.95,0.31,3.8994,282627.04,230276.451,4.87
002632.SZ,20241022,1.6,14.3,6.6,7.0,7.6,8.0,8.3,7.58,81.31,8.34,8.36,8.11,8.19,8.26,-0.07,-0.8475,223947.02,183592.825,3.86
002632.SZ,20241023,1.6,14.3,6.6,7.0,7.7,8.0,8.3,7.61,77.62,8.15,8.35,8.09,8.19,8.19,0.0,0.0,200097.0,164710.094,3.45
