ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002213.SZ,20240924,2.2,29.0,8.8,9.0,9.4,10.0,10.6,9.56,70.84,9.74,9.86,9.51,9.8,9.76,0.04,0.4098,72982.0,70870.602,3.09
002213.SZ,20240925,2.2,29.0,8.8,9.0,9.4,10.0,10.6,9.58,82.66,9.81,10.05,9.75,9.83,9.8,0.03,0.3061,61117.0,60625.349,2.59
002213.SZ,20240926,2.2,29.0,8.8,9.0,9.6,10.0,10.6,9.6,89.58,9.88,10.02,9.79,10.02,9.83,0.19,1.9329,67661.0,67160.7,2.86
002213.SZ,20240927,2.2,29.0,8.8,9.0,9.6,10.2,10.6,9.66,92.95,10.15,10.68,10.02,10.47,10.02,0.45,4.491,93077.9,95976.166,3.94
002213.SZ,20240930,2.2,29.0,9.0,9.2,9.6,10.6,11.0,9.84,98.54,10.7,11.4,10.5,11.37,10.47,0.9,8.596,162630.0,179936.38,6.88
002213.SZ,20241008,2.2,29.0,9.0,9.2,9.8,12.0,12.2,10.28,98.96,12.51,12.51,11.7,12.51,11.37,1.14,10.0264,227829.55,280876.901,9.64
002213.SZ,20241009,2.2,29.0,9.0,9.2,10.4,12.2,12.4,10.63,66.77,12.68,12.8,11.56,11.62,12.51,-0.89,-7.1143,229109.01,279897.609,9.7
002213.SZ,20241010,2.2,29.0,9.0,9.4,10.8,12.2,12.4,10.79,61.2,11.98,12.25,11.5,11.68,11.62,0.06,0.5164,148647.0,175778.727,6.29
002213.SZ,20241011,2.2,29.0,9.0,9.4,11.0,12.2,12.4,10.81,49.93,11.45,11.45,10.66,10.83,11.68,-0.85,-7.2774,112191.0,123213.356,4.75
002213.SZ,20241014,2.2,29.0,9.0,9.4,10.8,12.0,12.4,10.81,58.56,10.83,11.09,10.51,11.07,10.83,0.24,2.2161,83761.58,90942.189,3.54
002213.SZ,20241015,2.2,29.0,9.0,9.4,11.0,12.0,12.4,10.83,48.4,11.08,11.31,10.95,11.0,11.07,-0.07,-0.6323,84276.69,93793.895,3.57
002213.SZ,20241016,2.2,29.0,9.0,9.4,11.0,12.0,12.4,10.83,60.5,10.8,11.07,10.71,11.04,11.0,0.04,0.3636,53384.0,58480.051,2.26
002213.SZ,20241017,2.2,29.0,9.0,9.4,11.0,12.0,12.4,10.84,60.57,11.06,11.36,10.99,11.04,11.04,0.0,0.0,53139.0,59182.549,2.25
002213.SZ,20241018,2.2,29.0,9.2,9.6,11.0,12.0,12.4,10.9,73.77,11.04,11.85,10.93,11.73,11.04,0.69,6.25,117730.4,135368.309,4.98
002213.SZ,20241021,2.2,29.0,9.2,9.6,11.2,12.0,12.2,11.07,95.23,11.78,12.39,11.78,12.35,11.73,0.62,5.2856,181287.32,220005.397,7.67
002213.SZ,20241022,2.2,29.0,9.2,9.8,11.4,12.2,12.4,11.18,82.07,12.35,12.48,11.94,12.1,12.35,-0.25,-2.0243,118142.0,142889.594,5.0
002213.SZ,20241023,2.2,29.0,9.2,9.8,11.6,12.2,12.4,11.26,80.32,12.03,12.28,11.87,12.09,12.1,-0.01,-0.0826,103925.0,124920.07,4.4
002213.SZ,20241024,2.2,29.0,9.2,9.8,11.8,12.2,12.4,11.31,80.86,12.09,12.21,11.86,12.12,12.09,0.03,0.2481,91780.0,110542.137,3.88
002213.SZ,20241025,2.2,29.0,9.2,10.0,11.8,12.2,12.4,11.39,94.09,12.33,12.37,11.88,12.22,12.12,0.1,0.8251,113253.0,138505.072,4.79
002213.SZ,20241028,2.2,29.0,9.4,10.4,12.0,12.2,12.4,11.46,94.22,12.22,12.34,11.88,12.28,12.22,0.06,0.491,111978.11,136077.752,4.74
002213.SZ,20241029,2.2,29.0,9.4,10.6,12.0,12.2,12.4,11.51,72.96,12.33,12.36,12.02,12.15,12.28,-0.13,-1.0586,87483.0,106614.004,3.7
002213.SZ,20241030,2.2,29.0,9.4,10.8,12.0,12.2,12.4,11.56,72.1,12.15,12.35,11.94,12.14,12.15,-0.01,-0.0823,95894.0,115656.302,4.06
002213.SZ,20241031,2.2,29.0,9.4,10.8,12.0,12.2,12.4,11.6,71.25,12.15,12.23,11.85,12.14,12.14,0.0,0.0,102223.33,123149.188,4.33
002213.SZ,20241101,2.2,29.0,9.4,10.8,12.0,12.2,12.4,11.63,29.61,12.17,12.26,11.6,11.69,12.14,-0.45,-3.7068,114062.0,135960.06,4.83
002213.SZ,20241104,2.2,29.0,9.4,11.0,12.0,12.2,12.4,11.63,31.38,11.78,11.98,11.58,11.81,11.69,0.12,1.0265,62841.3,74195.442,2.66
002213.SZ,20241105,2.2,29.0,9.6,11.0,12.0,12.2,12.2,11.63,47.34,11.91,11.99,11.6,11.91,11.81,0.1,0.8467,85710.3,101178.457,3.63
