ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603686.SH,20240924,5.4,38.6,7.2,7.4,8.4,9.2,9.6,8.37,23.91,7.35,7.61,7.35,7.61,7.33,0.28,3.8199,72245.8,54187.95,1.74
603686.SH,20240925,5.4,38.6,7.2,7.4,8.2,9.2,9.6,8.34,23.39,7.68,7.85,7.66,7.68,7.61,0.07,0.9198,93220.65,72263.152,2.24
603686.SH,20240926,5.4,38.6,7.2,7.4,8.0,9.2,9.6,8.31,48.64,7.71,8.0,7.66,7.95,7.68,0.27,3.5156,115543.0,90541.102,2.78
603686.SH,20240927,5.4,38.6,7.2,7.4,8.0,9.2,9.6,8.29,53.17,7.98,8.24,7.94,8.24,7.95,0.29,3.6478,96399.8,77836.135,2.32
603686.SH,20240930,5.4,38.6,7.2,7.4,8.4,9.0,9.6,8.33,79.0,8.6,8.98,8.32,8.91,8.24,0.67,8.1311,272768.23,236169.688,6.57
603686.SH,20241008,5.4,38.6,7.2,7.4,8.6,9.2,9.6,8.46,81.57,9.8,9.8,8.87,9.22,8.91,0.31,3.4792,282203.61,261308.281,6.79
603686.SH,20241009,5.4,38.6,7.4,7.6,8.6,9.2,9.6,8.52,68.16,9.11,9.36,8.76,9.02,9.22,-0.2,-2.1692,230126.83,208378.866,5.54
603686.SH,20241010,5.4,38.6,7.4,7.6,8.8,9.2,9.6,8.54,67.76,9.03,9.2,8.81,9.0,9.02,-0.02,-0.2217,132193.2,119183.059,3.18
603686.SH,20241011,5.4,38.6,7.4,7.6,8.6,9.2,9.6,8.56,39.75,8.9,8.93,8.51,8.57,9.0,-0.43,-4.7778,105614.15,91864.513,2.54
603686.SH,20241014,5.4,38.6,7.4,7.6,8.6,9.2,9.6,8.56,50.99,8.8,8.91,8.65,8.75,8.57,0.18,2.1004,101391.6,88926.456,2.44
603686.SH,20241015,5.4,38.6,7.4,7.6,8.6,9.2,9.4,8.56,31.02,8.79,8.79,8.45,8.45,8.75,-0.3,-3.4286,92555.0,79565.267,2.23
603686.SH,20241016,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.56,31.41,8.36,8.56,8.33,8.47,8.45,0.02,0.2367,64257.0,54346.743,1.55
603686.SH,20241017,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.56,30.75,8.48,8.62,8.43,8.43,8.47,-0.04,-0.4723,72299.0,61645.645,1.74
603686.SH,20241018,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.55,44.37,8.42,8.69,8.38,8.6,8.43,0.17,2.0166,83773.6,71670.465,2.02
603686.SH,20241021,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.55,45.54,8.65,8.67,8.53,8.6,8.6,0.0,0.0,80332.53,69107.427,1.93
603686.SH,20241022,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.55,46.62,8.6,8.66,8.57,8.65,8.6,0.05,0.5814,77315.53,66601.197,1.86
603686.SH,20241023,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.56,46.52,8.61,8.74,8.59,8.63,8.65,-0.02,-0.2312,79009.0,68449.615,1.9
603686.SH,20241024,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.55,47.47,8.61,8.67,8.56,8.63,8.63,0.0,0.0,69999.4,60375.876,1.68
603686.SH,20241025,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.56,64.33,8.64,8.81,8.63,8.81,8.63,0.18,2.0857,85649.53,74763.941,2.06
603686.SH,20241028,5.4,38.6,7.4,7.6,8.6,9.0,9.4,8.57,79.51,8.79,8.94,8.78,8.93,8.81,0.12,1.3621,90614.53,80396.427,2.18
603686.SH,20241029,5.4,38.6,7.4,7.8,8.6,9.0,9.4,8.58,62.65,8.99,8.99,8.71,8.72,8.93,-0.21,-2.3516,76131.4,67181.989,1.83
603686.SH,20241030,5.4,38.6,7.4,7.8,8.6,9.0,9.4,8.58,62.62,8.71,8.93,8.68,8.83,8.72,0.11,1.2615,80908.4,71182.827,1.95
603686.SH,20241031,5.4,38.6,7.4,7.8,8.6,9.0,9.4,8.6,79.99,8.68,9.11,8.68,8.98,8.83,0.15,1.6988,128883.2,114995.466,3.1
603686.SH,20241101,5.4,38.6,7.4,8.0,8.6,9.0,9.4,8.62,59.38,8.91,9.02,8.75,8.76,8.98,-0.22,-2.4499,131662.32,116627.283,3.17
603686.SH,20241104,5.4,38.6,7.4,8.0,8.6,9.0,9.2,8.62,81.41,8.75,9.0,8.69,8.94,8.76,0.18,2.0548,87110.99,77352.229,2.1
603686.SH,20241105,5.4,38.6,7.4,8.2,8.6,9.0,9.2,8.65,90.68,8.99,9.23,8.94,9.18,8.94,0.24,2.6846,143840.15,130977.17,3.46
603686.SH,20241106,5.4,38.6,7.4,8.2,8.6,9.0,9.2,8.69,88.62,9.2,9.37,9.04,9.11,9.18,-0.07,-0.7625,148843.99,136677.972,3.58
603686.SH,20241107,5.4,38.6,7.4,8.4,8.8,9.0,9.2,8.72,88.48,9.08,9.28,9.0,9.27,9.11,0.16,1.7563,143262.59,131441.717,3.45
603686.SH,20241108,5.4,38.6,7.6,8.4,8.8,9.0,9.2,8.74,86.94,9.34,9.37,9.08,9.14,9.27,-0.13,-1.4024,119924.33,110084.134,2.89
603686.SH,20241111,5.4,38.6,7.6,8.4,8.8,9.0,9.2,8.77,95.49,9.11,9.36,9.07,9.31,9.14,0.17,1.86,126628.63,117325.885,3.05
603686.SH,20241112,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.81,79.53,9.27,9.61,9.21,9.27,9.31,-0.04,-0.4296,156814.78,146928.354,3.77
603686.SH,20241113,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.82,79.81,9.28,9.29,9.03,9.18,9.27,-0.09,-0.9709,86326.0,79049.901,2.08
603686.SH,20241114,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.83,36.09,9.14,9.19,8.88,8.88,9.18,-0.3,-3.268,96095.8,86551.967,2.31
603686.SH,20241115,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.83,35.2,8.87,9.07,8.8,8.81,8.88,-0.07,-0.7883,77784.82,69535.814,1.87
603686.SH,20241118,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.83,35.54,8.86,9.0,8.75,8.82,8.81,0.01,0.1135,84573.2,75035.874,2.04
603686.SH,20241119,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.83,58.41,8.82,9.08,8.79,9.01,8.82,0.19,2.1542,74168.59,66373.266,1.79
603686.SH,20241120,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.84,57.8,9.01,9.11,8.96,9.1,9.01,0.09,0.9989,83929.4,75909.47,2.02
603686.SH,20241121,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.84,83.12,9.1,9.19,9.03,9.14,9.1,0.04,0.4396,65599.4,59788.841,1.58
603686.SH,20241122,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.85,31.08,9.12,9.18,8.75,8.76,9.14,-0.38,-4.1575,99592.21,89319.005,2.4
603686.SH,20241125,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.85,57.88,8.84,8.94,8.71,8.93,8.76,0.17,1.9406,71224.22,62986.998,1.71
603686.SH,20241126,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.85,31.76,8.88,8.94,8.78,8.82,8.93,-0.11,-1.2318,43169.78,38230.097,1.04
603686.SH,20241127,5.4,38.6,7.6,8.4,8.8,9.2,9.4,8.84,33.24,8.8,8.89,8.58,8.89,8.82,0.07,0.7937,54968.0,47933.397,1.32
603686.SH,20241128,5.4,38.6,7.8,8.6,8.8,9.2,9.2,8.86,57.71,8.86,9.36,8.85,9.08,8.89,0.19,2.1372,128508.0,117033.761,3.09
603686.SH,20241129,5.4,38.6,7.8,8.6,8.8,9.2,9.2,8.87,84.17,9.07,9.23,9.04,9.15,9.08,0.07,0.7709,95359.0,87161.77,2.3
603686.SH,20241202,5.4,38.6,8.0,8.6,9.0,9.4,9.6,8.96,93.21,9.36,9.75,9.33,9.61,9.15,0.46,5.0273,276092.64,264419.615,6.65
