ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
605188.SH,20240924,4.5,17.4,6.0,6.1,6.8,8.1,8.6,6.99,37.04,6.21,6.41,6.2,6.41,6.16,0.25,4.0584,51364.0,32418.453,1.04
605188.SH,20240925,4.5,17.4,6.0,6.1,6.7,8.0,8.6,6.97,33.46,6.43,6.61,6.34,6.38,6.41,-0.03,-0.468,64540.0,41765.655,1.3
605188.SH,20240926,4.5,17.4,6.0,6.1,6.7,8.0,8.6,6.96,48.36,6.35,6.7,6.35,6.7,6.38,0.32,5.0157,74999.0,48926.327,1.51
605188.SH,20240927,4.5,17.4,6.0,6.1,6.7,8.0,8.6,6.96,60.04,6.8,6.98,6.72,6.95,6.7,0.25,3.7313,60778.0,41707.668,1.23
605188.SH,20240930,4.5,17.4,6.0,6.1,6.8,8.0,8.5,6.98,73.67,7.2,7.54,6.87,7.46,6.95,0.51,7.3381,153402.05,111227.15,3.1
605188.SH,20241008,4.5,17.4,6.0,6.1,6.9,8.0,8.5,7.02,73.09,8.15,8.2,7.16,7.51,7.46,0.05,0.6702,163902.0,125478.711,3.31
605188.SH,20241009,4.5,17.4,6.0,6.2,6.9,8.0,8.5,7.02,42.95,7.37,7.37,6.76,6.76,7.51,-0.75,-9.9867,98526.0,68502.155,1.99
605188.SH,20241010,4.5,17.4,6.0,6.2,6.9,7.9,8.5,7.02,53.11,6.76,7.14,6.67,6.94,6.76,0.18,2.6627,77221.07,53235.693,1.56
605188.SH,20241011,4.5,17.4,6.0,6.2,6.9,7.9,8.5,7.02,53.23,6.98,7.14,6.8,6.93,6.94,-0.01,-0.1441,59314.49,41278.022,1.2
605188.SH,20241014,4.5,17.4,6.0,6.2,6.9,7.9,8.5,7.01,54.23,6.9,6.92,6.7,6.91,6.93,-0.02,-0.2886,54299.37,37074.268,1.1
605188.SH,20241015,4.5,17.4,6.0,6.2,6.9,7.9,8.5,7.01,40.33,6.81,7.01,6.76,6.8,6.91,-0.11,-1.5919,46944.0,32281.598,0.95
605188.SH,20241016,4.5,17.4,6.0,6.2,6.9,7.9,8.5,7.01,48.68,6.7,6.84,6.65,6.82,6.8,0.02,0.2941,40883.0,27639.587,0.82
605188.SH,20241017,4.5,17.4,6.0,6.2,6.9,7.9,8.5,7.0,35.37,6.82,6.93,6.6,6.63,6.82,-0.19,-2.7859,52697.0,35501.108,1.06
605188.SH,20241018,4.5,13.2,6.0,6.2,6.8,7.9,8.5,6.99,41.81,6.65,6.87,6.59,6.77,6.63,0.14,2.1116,58170.25,39234.021,1.17
605188.SH,20241021,4.5,13.2,6.0,6.2,6.8,7.9,8.4,6.99,42.2,6.77,6.82,6.68,6.73,6.77,-0.04,-0.5908,46389.0,31296.227,0.94
605188.SH,20241022,4.5,13.2,6.0,6.2,6.8,7.9,8.4,6.98,59.15,6.75,6.92,6.7,6.91,6.73,0.18,2.6746,61281.37,42002.434,1.24
605188.SH,20241023,4.5,17.4,6.0,6.2,6.8,7.8,8.4,6.98,58.28,6.92,7.16,6.9,6.98,6.91,0.07,1.013,67981.37,47734.594,1.37
605188.SH,20241024,4.5,17.4,6.0,6.2,6.9,7.8,8.4,6.98,58.32,6.95,7.05,6.88,6.91,6.98,-0.07,-1.0029,39928.47,27731.835,0.81
605188.SH,20241025,4.5,17.4,6.0,6.2,6.9,7.8,8.4,6.98,58.39,6.9,7.06,6.9,6.99,6.91,0.08,1.1577,42772.0,29894.254,0.86
605188.SH,20241028,4.5,17.4,6.0,6.2,6.9,7.8,8.4,6.98,72.99,6.99,7.23,6.99,7.23,6.99,0.24,3.4335,57309.0,41027.96,1.16
605188.SH,20241029,4.5,17.4,6.0,6.2,6.9,7.8,8.4,6.99,55.75,7.19,7.29,6.96,7.0,7.23,-0.23,-3.1812,66936.0,47224.816,1.35
605188.SH,20241030,4.5,17.4,6.0,6.2,6.9,7.8,8.4,6.99,55.21,6.99,7.11,6.89,6.97,7.0,-0.03,-0.4286,47288.0,33149.57,0.95
605188.SH,20241031,4.5,17.4,6.0,6.2,6.9,7.8,8.4,6.98,46.28,6.91,6.97,6.8,6.85,6.97,-0.12,-1.7217,49216.0,33768.195,0.99
605188.SH,20241101,4.5,17.4,6.0,6.2,6.9,7.7,8.4,6.98,29.36,6.82,6.82,6.6,6.69,6.85,-0.16,-2.3358,69582.0,46727.572,1.4
605188.SH,20241104,4.5,17.4,6.0,6.2,6.9,7.7,8.4,6.97,48.58,6.69,6.85,6.64,6.85,6.69,0.16,2.3916,44127.0,29865.236,0.89
605188.SH,20241105,4.5,17.4,6.0,6.2,6.9,7.7,8.4,6.97,58.86,6.85,6.97,6.81,6.97,6.85,0.12,1.7518,58618.0,40390.988,1.18
605188.SH,20241106,4.5,17.4,6.0,6.3,6.9,7.7,8.4,6.97,58.93,6.97,7.03,6.88,6.98,6.97,0.01,0.1435,50513.0,35167.091,1.02
605188.SH,20241107,4.5,17.4,6.0,6.3,6.9,7.6,8.3,6.98,79.62,6.96,7.45,6.93,7.4,6.98,0.42,6.0172,115118.15,84053.128,2.32
605188.SH,20241108,4.5,17.4,6.0,6.3,6.9,7.6,8.3,6.99,75.21,7.4,7.43,7.16,7.22,7.4,-0.18,-2.4324,84054.0,60988.487,1.7
605188.SH,20241111,4.5,17.4,6.1,6.3,6.9,7.6,8.3,6.99,69.15,7.14,7.21,7.04,7.18,7.22,-0.04,-0.554,51474.0,36559.11,1.04
605188.SH,20241112,4.5,17.4,6.1,6.3,6.9,7.5,8.3,7.0,75.56,7.18,7.34,7.1,7.21,7.18,0.03,0.4178,68148.0,49380.049,1.38
605188.SH,20241113,4.5,17.4,6.1,6.3,6.9,7.5,8.3,7.0,67.89,7.19,7.28,7.01,7.14,7.21,-0.07,-0.9709,52513.0,37390.015,1.06
605188.SH,20241114,4.5,17.4,6.1,6.4,6.9,7.5,8.3,7.0,40.26,7.19,7.19,6.85,6.87,7.14,-0.27,-3.7815,49268.0,34413.37,0.99
605188.SH,20241115,4.5,17.4,6.1,6.4,6.9,7.5,8.3,7.0,30.05,6.89,7.03,6.78,6.79,6.87,-0.08,-1.1645,46321.07,31978.561,0.93
605188.SH,20241118,4.5,17.4,6.1,6.4,6.9,7.5,8.3,6.99,23.12,6.8,6.91,6.6,6.64,6.79,-0.15,-2.2091,58808.0,39513.883,1.19
605188.SH,20241119,4.5,17.4,6.1,6.4,6.9,7.5,8.3,6.99,31.93,6.65,6.77,6.59,6.77,6.64,0.13,1.9578,44206.0,29454.927,0.89
