ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603011.SH,20240924,2.9,17.8,5.2,5.4,5.6,6.0,6.2,5.7,66.31,5.54,5.85,5.51,5.76,5.51,0.25,4.5372,126007.0,71715.971,2.55
603011.SH,20240925,2.9,17.8,5.2,5.4,5.6,6.0,6.2,5.7,63.26,5.8,5.89,5.74,5.75,5.76,-0.01,-0.1736,140225.0,81482.677,2.84
603011.SH,20240926,2.9,17.8,5.2,5.4,5.6,5.9,6.2,5.71,77.52,5.75,5.87,5.7,5.87,5.75,0.12,2.087,91304.0,53071.989,1.85
603011.SH,20240927,2.9,17.8,5.2,5.4,5.7,6.0,6.2,5.72,94.41,5.91,6.14,5.9,6.12,5.87,0.25,4.2589,120774.0,72916.892,2.44
603011.SH,20240930,2.9,17.8,5.3,5.4,5.7,6.2,6.5,5.81,97.68,6.38,6.7,6.18,6.66,6.12,0.54,8.8235,315842.31,204532.637,6.39
603011.SH,20241008,2.9,17.8,5.3,5.4,5.8,6.8,7.1,6.0,92.71,7.33,7.33,6.66,7.07,6.66,0.41,6.1562,381356.55,267217.843,7.71
603011.SH,20241009,2.9,17.8,5.3,5.5,5.9,6.8,7.1,6.06,68.08,6.9,6.9,6.37,6.38,7.07,-0.69,-9.7595,237724.11,157452.307,4.81
603011.SH,20241010,2.9,17.8,5.3,5.5,6.0,6.8,7.1,6.11,73.67,6.44,6.9,6.27,6.58,6.38,0.2,3.1348,228978.0,151199.052,4.63
603011.SH,20241011,2.9,17.8,5.3,5.5,6.1,6.7,7.1,6.12,53.97,6.55,6.57,6.1,6.19,6.58,-0.39,-5.9271,175903.0,110940.421,3.56
603011.SH,20241014,2.9,17.8,5.3,5.5,6.1,6.7,7.1,6.13,64.26,6.25,6.4,6.18,6.38,6.19,0.19,3.0695,139806.0,88258.568,2.83
603011.SH,20241015,2.9,17.8,5.3,5.5,6.2,6.7,7.1,6.14,54.07,6.36,6.45,6.28,6.29,6.38,-0.09,-1.4107,119688.0,76079.277,2.42
603011.SH,20241016,2.9,17.8,5.3,5.5,6.2,6.7,7.0,6.15,54.34,6.19,6.35,6.17,6.25,6.29,-0.04,-0.6359,79858.0,50052.727,1.62
603011.SH,20241017,2.9,17.8,5.4,5.5,6.2,6.7,7.0,6.16,63.29,6.31,6.52,6.3,6.34,6.25,0.09,1.44,122880.0,78869.112,2.49
603011.SH,20241018,2.9,17.8,5.4,5.6,6.3,6.8,7.0,6.23,93.54,6.33,6.97,6.31,6.97,6.34,0.63,9.9369,302151.2,207457.789,6.11
603011.SH,20241021,2.9,17.8,5.4,5.7,6.6,7.2,7.3,6.53,76.01,7.31,7.4,7.07,7.18,6.97,0.21,3.0129,762883.02,550044.999,15.43
603011.SH,20241022,2.9,17.8,5.5,5.8,7.0,7.3,7.5,6.72,75.52,7.1,7.77,7.1,7.25,7.18,0.07,0.9749,566745.86,417430.843,11.46
