ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603122.SH,20240924,4.6,25.4,5.2,5.4,5.4,5.8,5.8,5.51,83.02,5.56,5.76,5.52,5.76,5.56,0.2,3.5971,135849.0,76811.121,7.58
603122.SH,20240925,4.6,25.4,5.2,5.4,5.6,5.8,5.8,5.54,81.51,5.76,5.92,5.75,5.76,5.76,0.0,0.0,166864.0,97087.268,9.32
603122.SH,20240926,4.6,25.4,5.2,5.4,5.6,5.8,5.8,5.56,97.78,5.8,5.93,5.72,5.93,5.76,0.17,2.9514,134813.0,78849.543,7.53
603122.SH,20240927,4.6,25.4,5.2,5.4,5.6,5.8,6.0,5.6,99.82,6.0,6.22,5.96,6.18,5.93,0.25,4.2159,143636.0,87450.823,8.02
603122.SH,20240930,4.6,25.4,5.4,5.4,5.8,6.4,6.6,5.9,98.52,6.55,6.8,6.32,6.8,6.18,0.62,10.0324,309525.0,204470.073,17.28
603122.SH,20241008,4.6,25.4,5.4,5.6,6.4,6.8,7.0,6.26,98.46,7.48,7.48,6.73,7.17,6.8,0.37,5.4412,328691.48,233813.813,18.35
603122.SH,20241009,4.6,25.4,5.4,5.6,6.4,6.8,7.0,6.3,35.24,7.02,7.03,6.45,6.45,7.17,-0.72,-10.0418,204921.0,137045.507,11.44
603122.SH,20241010,4.6,25.4,5.4,5.6,6.4,6.8,7.0,6.32,31.73,6.45,6.67,6.37,6.5,6.45,0.05,0.7752,138501.0,90790.224,7.73
603122.SH,20241011,4.6,25.4,5.4,5.8,6.4,6.8,7.0,6.35,26.51,6.5,6.83,6.37,6.52,6.5,0.02,0.3077,200294.0,130998.453,11.18
603122.SH,20241014,4.6,25.4,5.4,5.8,6.4,6.8,7.0,6.34,67.3,6.54,6.58,6.28,6.58,6.52,0.06,0.9202,145741.48,93897.196,8.14
603122.SH,20241015,4.6,25.4,5.6,6.0,6.4,6.6,6.8,6.36,66.36,6.53,6.76,6.42,6.65,6.58,0.07,1.0638,173978.0,115111.394,9.71
