ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002465.SZ,20240924,2.8,22.6,8.2,8.6,9.4,10.4,11.0,9.48,35.84,8.72,8.93,8.6,8.93,8.68,0.25,2.8802,342660.1,301874.284,1.41
002465.SZ,20240925,2.8,22.6,8.2,8.6,9.4,10.4,10.8,9.46,36.11,9.0,9.09,8.85,8.88,8.93,-0.05,-0.5599,438958.99,395084.418,1.81
002465.SZ,20240926,2.8,22.6,8.2,8.6,9.2,10.4,10.8,9.45,44.35,8.87,9.17,8.82,9.16,8.88,0.28,3.1532,369152.47,332188.077,1.52
002465.SZ,20240927,2.8,22.6,8.2,8.6,9.4,10.4,10.8,9.45,66.43,9.27,9.85,9.25,9.7,9.16,0.54,5.8952,518654.37,496483.125,2.13
002465.SZ,20240930,2.8,22.6,8.2,8.6,9.4,10.4,10.8,9.51,87.65,10.12,10.63,10.06,10.62,9.7,0.92,9.4845,842723.35,876097.376,3.47
002465.SZ,20241008,2.8,22.6,8.4,8.6,9.6,10.8,11.4,9.69,94.17,11.67,11.68,10.81,11.4,10.62,0.78,7.3446,1266438.75,1439553.391,5.21
002465.SZ,20241009,2.8,22.6,8.4,8.6,9.8,11.0,11.4,9.85,91.52,11.21,11.72,10.65,11.39,11.4,-0.01,-0.0877,1335162.07,1507743.89,5.49
002465.SZ,20241010,2.8,22.6,8.4,8.6,10.0,11.2,11.4,9.95,90.07,11.4,11.65,10.9,11.27,11.39,-0.12,-1.0536,887832.39,1002272.369,3.65
002465.SZ,20241011,2.8,22.6,8.4,8.6,10.2,11.2,11.4,10.0,49.64,11.25,11.27,10.14,10.21,11.27,-1.06,-9.4055,910442.68,960677.338,3.74
002465.SZ,20241014,2.8,22.6,8.4,8.6,10.2,11.2,11.4,10.02,65.15,10.33,10.56,10.23,10.45,10.21,0.24,2.3506,770883.58,801514.146,3.17
002465.SZ,20241015,2.8,22.6,8.4,8.8,10.2,11.2,11.4,10.04,44.92,10.45,10.73,10.21,10.23,10.45,-0.22,-2.1053,575392.76,601997.494,2.37
002465.SZ,20241016,2.8,22.6,8.4,8.8,10.2,11.2,11.4,10.04,45.44,10.02,10.33,10.0,10.21,10.23,-0.02,-0.1955,357226.48,364089.889,1.47
002465.SZ,20241017,2.8,22.6,8.4,8.8,10.2,11.0,11.4,10.05,43.58,10.33,10.66,10.17,10.19,10.21,-0.02,-0.1959,571071.74,591959.99,2.35
002465.SZ,20241018,2.8,22.6,8.4,8.8,10.2,11.0,11.4,10.09,79.79,10.13,11.15,10.08,10.86,10.19,0.67,6.5751,813214.05,864824.954,3.34
002465.SZ,20241021,2.8,22.6,8.4,8.8,10.4,11.2,11.4,10.22,95.67,10.95,11.8,10.93,11.5,10.86,0.64,5.8932,1264474.83,1441629.847,5.2
002465.SZ,20241022,2.8,22.6,8.4,9.0,10.4,11.2,11.4,10.28,87.43,11.54,11.55,11.09,11.33,11.5,-0.17,-1.4783,724289.99,817078.414,2.98
002465.SZ,20241023,2.8,22.6,8.4,9.0,10.4,11.2,11.4,10.35,70.8,11.24,11.65,11.15,11.25,11.33,-0.08,-0.7061,773985.97,884504.726,3.18
002465.SZ,20241024,2.8,22.6,8.4,9.0,10.4,11.2,11.4,10.37,62.38,11.2,11.24,10.9,10.99,11.25,-0.26,-2.3111,454153.8,500967.679,1.87
002465.SZ,20241025,2.8,22.6,8.6,9.0,10.6,11.2,11.4,10.4,71.25,10.99,11.36,10.97,11.2,10.99,0.21,1.9108,461549.96,514991.131,1.9
002465.SZ,20241028,2.8,22.6,8.6,9.2,10.6,11.2,11.4,10.42,70.2,11.3,11.35,11.07,11.23,11.2,0.03,0.2679,457133.9,511021.643,1.88
002465.SZ,20241029,2.8,22.6,8.6,9.2,10.8,11.2,11.4,10.46,55.23,11.1,11.36,10.9,10.96,11.23,-0.27,-2.4043,682456.7,755436.099,2.81
002465.SZ,20241030,2.8,22.6,8.6,9.2,10.8,11.2,11.4,10.49,69.36,10.95,11.37,10.88,11.2,10.96,0.24,2.1898,620902.97,693694.552,2.55
002465.SZ,20241031,2.8,22.6,8.6,9.4,10.8,11.2,11.4,10.53,87.66,11.25,11.4,11.07,11.31,11.2,0.11,0.9821,640823.22,721837.466,2.64
002465.SZ,20241101,2.8,22.6,8.6,9.4,11.0,11.2,11.4,10.56,47.67,11.25,11.34,10.88,10.98,11.31,-0.33,-2.9178,691054.67,764291.638,2.84
002465.SZ,20241104,2.8,22.6,8.6,9.6,11.0,11.2,11.4,10.62,96.26,10.96,11.64,10.93,11.57,10.98,0.59,5.3734,888024.22,1018940.697,3.65
002465.SZ,20241105,2.8,22.6,8.6,9.6,11.0,11.4,11.8,10.73,97.77,11.6,12.38,11.56,12.13,11.57,0.56,4.8401,1073784.77,1291798.459,4.42
002465.SZ,20241106,2.8,22.6,8.6,9.8,11.0,11.6,12.0,10.82,95.46,12.2,12.3,11.88,12.07,12.13,-0.06,-0.4946,774661.88,936442.765,3.19
002465.SZ,20241107,2.8,22.6,8.6,10.0,11.2,12.0,12.2,10.91,92.54,11.99,12.54,11.84,12.08,12.07,0.01,0.0829,932914.3,1134145.158,3.84
002465.SZ,20241108,2.8,22.6,8.8,10.0,11.2,12.2,12.6,11.11,95.27,12.16,13.14,12.16,12.68,12.08,0.6,4.9669,1388762.98,1771060.752,5.71
002465.SZ,20241111,2.8,22.6,8.8,10.2,11.2,12.8,13.4,11.39,97.83,13.15,13.68,12.78,13.58,12.68,0.9,7.0978,1574613.39,2095746.285,6.48
002465.SZ,20241112,2.8,22.6,8.8,10.2,11.4,13.2,13.4,11.56,84.52,13.8,13.88,13.04,13.16,13.58,-0.42,-3.0928,1052068.12,1397937.625,4.33
002465.SZ,20241113,2.8,22.6,8.8,10.4,11.4,13.2,13.4,11.63,77.8,12.95,13.35,12.84,13.03,13.16,-0.13,-0.9878,618823.31,807364.4,2.54
002465.SZ,20241114,2.8,22.6,9.0,10.4,11.8,13.0,13.4,11.69,57.33,13.0,13.02,12.18,12.25,13.03,-0.78,-5.9862,933049.68,1171064.536,3.84
