ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600172.SH,20240924,0.7,16.9,1.8,1.9,2.0,2.2,3.0,2.21,77.23,2.06,2.11,2.05,2.11,2.04,0.07,3.4314,274016.99,56998.022,2.15
600172.SH,20240925,0.7,16.9,1.8,1.9,2.0,2.2,3.0,2.22,77.01,2.11,2.18,2.11,2.13,2.11,0.02,0.9479,341022.82,73291.567,2.67
600172.SH,20240926,0.7,16.9,1.8,1.9,2.0,2.2,3.0,2.22,86.29,2.12,2.21,2.11,2.21,2.13,0.08,3.7559,311016.8,67663.078,2.44
600172.SH,20240927,0.7,16.9,1.8,1.9,2.0,2.3,3.0,2.23,84.15,2.25,2.31,2.21,2.3,2.21,0.09,4.0724,304372.2,68817.082,2.38
600172.SH,20240930,0.7,16.9,1.9,1.9,2.1,2.4,2.9,2.26,92.07,2.35,2.53,2.33,2.53,2.3,0.23,10.0,833897.07,204677.118,6.53
600172.SH,20241008,0.7,16.9,1.9,1.9,2.1,2.6,2.8,2.33,94.06,2.78,2.78,2.56,2.73,2.53,0.2,7.9051,866684.5,233802.806,6.79
600172.SH,20241009,0.7,16.9,1.9,1.9,2.2,2.6,2.8,2.36,70.59,2.71,2.71,2.46,2.48,2.73,-0.25,-9.1575,645638.52,165666.365,5.06
600172.SH,20241010,0.7,16.9,1.9,1.9,2.2,2.6,2.8,2.37,70.76,2.49,2.59,2.41,2.49,2.48,0.01,0.4032,410062.48,102461.506,3.21
600172.SH,20241011,0.7,16.9,1.9,1.9,2.2,2.6,2.8,2.38,55.06,2.49,2.52,2.35,2.39,2.49,-0.1,-4.0161,323673.0,79015.89,2.54
600172.SH,20241014,0.7,16.9,1.9,2.0,2.3,2.6,2.7,2.38,72.54,2.41,2.44,2.36,2.42,2.39,0.03,1.2552,235697.96,56582.187,1.85
600172.SH,20241015,0.7,16.9,1.9,2.0,2.3,2.6,2.7,2.39,54.6,2.42,2.43,2.36,2.36,2.42,-0.06,-2.4793,223648.73,53548.089,1.75
600172.SH,20241016,0.7,16.9,1.9,2.0,2.3,2.6,2.7,2.39,55.18,2.34,2.38,2.32,2.37,2.36,0.01,0.4237,193802.36,45565.909,1.52
600172.SH,20241017,0.7,16.9,1.9,2.0,2.3,2.6,2.7,2.39,55.8,2.36,2.41,2.34,2.34,2.37,-0.03,-1.2658,214159.58,50862.854,1.68
600172.SH,20241018,0.7,16.9,1.9,2.0,2.3,2.6,2.7,2.39,56.73,2.33,2.43,2.32,2.39,2.34,0.05,2.1368,326815.77,77193.526,2.56
600172.SH,20241021,0.7,16.9,1.9,2.0,2.3,2.6,2.7,2.4,76.77,2.39,2.51,2.38,2.46,2.39,0.07,2.9289,365722.62,90015.104,2.87
600172.SH,20241022,0.7,16.9,1.9,2.0,2.3,2.5,2.7,2.41,76.64,2.47,2.52,2.44,2.5,2.46,0.04,1.626,261758.88,64909.423,2.05
600172.SH,20241023,0.7,16.9,1.9,2.0,2.4,2.5,2.7,2.42,86.01,2.51,2.6,2.47,2.58,2.5,0.08,3.2,373580.86,95694.229,2.93
600172.SH,20241024,0.7,16.9,1.9,2.0,2.4,2.6,2.7,2.45,88.98,2.6,2.77,2.52,2.69,2.58,0.11,4.2636,715482.67,188740.182,5.61
600172.SH,20241025,0.7,16.9,1.9,2.0,2.4,2.8,2.9,2.52,97.34,2.84,2.96,2.84,2.96,2.69,0.27,10.0372,871403.4,255497.72,6.83
600172.SH,20241028,0.7,16.9,1.9,2.1,2.5,3.2,3.2,2.65,96.07,3.26,3.26,3.15,3.26,2.96,0.3,10.1351,1006455.16,325887.024,7.89
600172.SH,20241029,0.7,16.9,2.0,2.3,3.2,3.5,3.5,3.03,79.7,3.59,3.59,3.4,3.49,3.26,0.23,7.0552,2755400.31,975181.842,21.59
600172.SH,20241030,0.7,16.9,2.0,2.4,3.4,3.6,3.7,3.21,98.69,3.49,3.84,3.3,3.84,3.49,0.35,10.0287,1913432.5,702266.996,14.99
600172.SH,20241031,0.7,16.9,2.1,2.5,3.5,4.1,4.2,3.48,98.03,4.18,4.22,3.88,4.22,3.84,0.38,9.8958,1836086.34,766663.637,14.39
600172.SH,20241101,0.7,16.9,2.3,2.9,3.8,4.1,4.2,3.65,49.61,4.24,4.25,3.8,3.8,4.22,-0.42,-9.9526,1874487.82,739327.895,14.69
600172.SH,20241104,0.7,16.9,2.3,3.2,3.5,4.1,4.2,3.62,39.89,3.42,3.51,3.42,3.42,3.8,-0.38,-10.0,1216485.36,417234.547,9.53
600172.SH,20241105,0.7,16.9,2.4,3.3,3.4,4.0,4.2,3.59,52.51,3.37,3.5,3.36,3.42,3.42,0.0,0.0,1351063.5,462628.793,10.59
600172.SH,20241106,0.7,16.9,2.5,3.3,3.4,4.0,4.2,3.55,31.09,3.42,3.46,3.28,3.39,3.42,-0.03,-0.8772,1117912.31,379744.998,8.76
600172.SH,20241107,0.7,16.9,2.6,3.3,3.4,3.9,4.1,3.55,73.07,3.39,3.63,3.34,3.52,3.39,0.13,3.8348,1158276.84,408116.175,9.08
600172.SH,20241108,0.7,16.9,2.7,3.3,3.4,3.9,4.1,3.55,51.79,3.55,3.6,3.45,3.46,3.52,-0.06,-1.7045,914626.78,320991.789,7.17
600172.SH,20241111,0.7,16.9,3.0,3.3,3.5,3.8,4.1,3.57,81.62,3.46,3.75,3.43,3.63,3.46,0.17,4.9133,1109901.7,399887.059,8.7
600172.SH,20241112,0.7,16.9,3.2,3.3,3.5,3.7,4.1,3.59,62.39,3.65,3.77,3.53,3.59,3.63,-0.04,-1.1019,761548.37,277078.452,5.97
600172.SH,20241113,0.7,16.9,3.2,3.4,3.5,3.7,4.1,3.58,65.44,3.56,3.59,3.43,3.52,3.59,-0.07,-1.9499,528042.44,184700.938,4.14
600172.SH,20241114,0.7,16.9,3.2,3.3,3.5,3.7,4.1,3.58,15.58,3.48,3.5,3.35,3.36,3.52,-0.16,-4.5455,432131.6,147701.86,3.39
600172.SH,20241115,0.7,16.9,3.2,3.3,3.5,3.7,4.1,3.56,5.89,3.35,3.39,3.24,3.25,3.36,-0.11,-3.2738,455883.54,151208.949,3.57
600172.SH,20241118,0.7,16.9,3.2,3.3,3.4,3.7,4.1,3.55,3.95,3.3,3.34,3.11,3.15,3.25,-0.1,-3.0769,444590.36,142624.568,3.48
600172.SH,20241119,0.7,16.9,3.1,3.2,3.4,3.6,4.0,3.52,15.53,3.14,3.21,3.03,3.21,3.15,0.06,1.9048,421231.82,132208.121,3.3
600172.SH,20241120,0.7,16.9,3.1,3.2,3.4,3.6,4.0,3.51,18.87,3.23,3.3,3.21,3.29,3.21,0.08,2.4922,360395.2,117382.823,2.82
600172.SH,20241121,0.7,16.9,3.1,3.2,3.4,3.6,4.0,3.5,21.75,3.29,3.29,3.21,3.25,3.29,-0.04,-1.2158,326756.44,105817.344,2.56
600172.SH,20241122,0.7,16.9,3.1,3.2,3.4,3.6,4.0,3.49,9.65,3.23,3.25,3.09,3.11,3.25,-0.14,-4.3077,299896.02,95417.192,2.35
600172.SH,20241125,0.7,16.9,3.1,3.2,3.4,3.6,4.0,3.47,12.8,3.09,3.27,3.03,3.16,3.11,0.05,1.6077,382317.89,119457.899,3.0
600172.SH,20241126,0.7,16.9,3.1,3.1,3.4,3.6,4.0,3.46,15.73,3.16,3.18,3.1,3.11,3.16,-0.05,-1.5823,251117.27,78435.786,1.97
600172.SH,20241127,0.7,16.9,3.1,3.1,3.3,3.6,4.0,3.45,69.8,3.1,3.42,3.02,3.42,3.11,0.31,9.9678,795486.94,264005.568,6.23
600172.SH,20241128,0.7,16.9,3.1,3.2,3.4,3.6,3.9,3.48,77.47,3.48,3.72,3.44,3.54,3.42,0.12,3.5088,1399974.97,500444.457,10.97
600172.SH,20241129,0.7,16.9,3.1,3.2,3.4,3.6,3.8,3.5,78.6,3.52,3.64,3.5,3.58,3.54,0.04,1.1299,804857.22,286518.817,6.31
600172.SH,20241202,0.7,16.9,3.1,3.2,3.5,3.7,3.8,3.55,90.31,3.54,3.89,3.53,3.79,3.58,0.21,5.8659,1118835.78,418264.179,8.77
600172.SH,20241203,0.7,16.9,3.1,3.3,3.5,4.0,4.1,3.67,97.21,3.84,4.17,3.79,4.17,3.79,0.38,10.0264,1464939.16,603312.925,11.48
600172.SH,20241204,0.7,16.9,3.1,3.3,3.7,4.4,4.5,3.86,97.37,4.59,4.59,4.21,4.59,4.17,0.42,10.0719,1443913.6,651587.177,11.31
600172.SH,20241205,0.7,16.9,3.2,3.3,3.8,4.5,5.0,3.96,96.93,5.05,5.05,5.05,5.05,4.59,0.46,10.0218,478305.3,241544.177,3.75
600172.SH,20241206,0.7,16.9,3.2,3.3,3.8,4.5,5.1,4.0,98.27,5.56,5.56,5.56,5.56,5.05,0.51,10.099,156417.44,86968.097,1.23
600172.SH,20241209,0.7,16.9,3.2,3.5,4.6,6.0,6.1,4.85,98.16,6.12,6.12,5.56,6.12,5.56,0.56,10.0719,2767884.52,1667744.855,21.69
600172.SH,20241210,0.7,16.9,3.5,4.4,5.8,6.1,6.2,5.51,20.25,6.03,6.39,5.51,5.51,6.12,-0.61,-9.9673,4128956.33,2400578.519,32.35
600172.SH,20241211,0.7,16.9,4.0,5.2,5.6,5.9,6.1,5.48,16.69,5.65,5.97,5.08,5.28,5.51,-0.23,-4.1742,3266036.42,1800526.135,25.59
600172.SH,20241212,0.7,16.9,4.9,5.1,5.3,5.8,6.0,5.34,14.82,5.0,5.38,4.93,5.06,5.28,-0.22,-4.1667,2412305.77,1231873.925,18.9
600172.SH,20241213,0.7,16.9,4.8,4.8,5.1,5.6,5.9,5.15,4.75,4.97,5.15,4.73,4.74,5.06,-0.32,-6.3241,2213622.51,1085925.289,17.34
600172.SH,20241216,0.7,16.9,4.5,4.5,4.9,5.5,5.9,4.99,3.87,4.64,4.69,4.45,4.5,4.74,-0.24,-5.0633,1654259.39,754569.204,12.96
600172.SH,20241217,0.7,16.9,4.4,4.5,4.8,5.4,5.8,4.89,2.42,4.5,4.62,4.32,4.38,4.5,-0.12,-2.6667,1147222.72,510436.281,8.99
600172.SH,20241218,0.7,16.9,4.3,4.4,4.7,5.3,5.8,4.81,11.66,4.36,4.43,4.26,4.34,4.38,-0.04,-0.9132,982197.8,426101.817,7.7
600172.SH,20241219,0.7,16.9,4.2,4.3,4.6,5.2,5.7,4.74,9.99,4.29,4.36,4.18,4.29,4.34,-0.05,-1.1521,813293.5,345818.682,6.37
600172.SH,20241220,0.7,16.9,4.2,4.3,4.5,5.2,5.7,4.68,31.25,4.28,4.37,4.25,4.31,4.29,0.02,0.4662,868672.2,375983.171,6.81
600172.SH,20241223,0.7,16.9,4.2,4.3,4.5,5.0,5.5,4.64,74.66,4.42,4.74,4.35,4.74,4.31,0.43,9.9768,2139761.25,986020.566,16.77
600172.SH,20241224,0.7,16.9,4.3,4.4,4.6,4.9,5.2,4.64,73.68,4.8,5.05,4.27,4.8,4.74,0.06,1.2658,3330252.91,1534318.192,26.09
600172.SH,20241225,0.7,16.9,4.3,4.4,4.6,4.8,5.1,4.61,10.76,4.5,4.73,4.34,4.38,4.8,-0.42,-8.75,1582462.9,717438.795,12.4
600172.SH,20241226,0.7,16.9,4.3,4.3,4.5,4.8,5.0,4.55,3.93,4.3,4.42,4.21,4.29,4.38,-0.09,-2.0548,1309987.8,564273.534,10.26
600172.SH,20241227,0.7,16.9,4.1,4.2,4.4,4.7,5.0,4.47,12.46,4.22,4.29,4.08,4.11,4.29,-0.18,-4.1958,1240865.58,519627.948,9.72
600172.SH,20241230,0.7,16.9,3.9,4.0,4.4,4.7,4.9,4.38,1.59,4.04,4.1,3.85,3.87,4.11,-0.24,-5.8394,1114356.13,436637.265,8.73
600172.SH,20241231,0.7,16.9,3.9,4.0,4.2,4.6,4.8,4.29,41.55,3.93,4.26,3.93,4.16,3.87,0.29,7.4935,1998185.38,837822.929,15.66
600172.SH,20250102,0.7,16.9,3.9,4.0,4.2,4.5,4.7,4.25,80.27,3.95,4.58,3.89,4.44,4.16,0.28,6.7308,2308195.69,964054.444,18.09
600172.SH,20250103,0.7,16.9,3.9,4.0,4.3,4.5,4.7,4.28,65.1,4.44,4.63,4.11,4.33,4.44,-0.11,-2.4775,1806294.13,782251.304,14.15
600172.SH,20250106,0.7,16.9,3.9,4.1,4.3,4.5,4.6,4.28,65.14,4.17,4.53,4.02,4.32,4.33,-0.01,-0.2309,1278050.95,550310.417,10.01
600172.SH,20250107,0.7,16.9,4.0,4.1,4.4,4.6,4.7,4.36,97.41,4.44,4.75,4.34,4.75,4.32,0.43,9.9537,1621463.63,746558.752,12.7
600172.SH,20250108,0.7,16.9,4.0,4.2,4.6,4.9,5.0,4.55,82.32,4.72,5.09,4.63,4.85,4.75,0.1,2.1053,2594686.8,1255626.327,20.33
600172.SH,20250109,0.7,16.9,4.1,4.3,4.7,4.9,5.0,4.62,57.98,4.74,5.07,4.6,4.75,4.85,-0.1,-2.0619,1776898.94,857654.472,13.92
600172.SH,20250110,0.7,16.9,4.1,4.3,4.6,4.9,5.0,4.59,11.05,4.66,4.78,4.28,4.28,4.75,-0.47,-9.8947,1730706.51,780338.361,13.56
600172.SH,20250113,0.7,16.9,4.1,4.2,4.5,4.8,5.0,4.52,13.27,4.18,4.38,4.07,4.14,4.28,-0.14,-3.271,1018321.45,425047.843,7.98
600172.SH,20250114,0.7,16.9,4.1,4.2,4.4,4.8,4.9,4.47,52.16,4.15,4.43,4.15,4.41,4.14,0.27,6.5217,1310557.6,570224.122,10.27
600172.SH,20250115,0.7,16.9,4.1,4.2,4.4,4.8,4.9,4.47,54.4,4.39,4.58,4.31,4.45,4.41,0.04,0.907,1377645.0,608538.837,10.79
600172.SH,20250116,0.7,16.9,4.1,4.2,4.4,4.7,4.9,4.47,28.27,4.41,4.62,4.31,4.38,4.45,-0.07,-1.573,1121168.6,499078.542,8.78
