ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002255.SZ,20240924,2.4,18.2,4.1,4.2,4.4,5.2,5.8,4.61,40.03,4.22,4.35,4.21,4.35,4.2,0.15,3.5714,84614.21,36298.774,1.3
002255.SZ,20240925,2.4,18.2,4.1,4.2,4.4,5.1,5.8,4.6,39.04,4.4,4.51,4.38,4.4,4.35,0.05,1.1494,117103.0,52011.228,1.8
002255.SZ,20240926,2.4,18.2,4.1,4.2,4.4,5.1,5.8,4.6,53.88,4.39,4.53,4.38,4.52,4.4,0.12,2.7273,79549.0,35520.852,1.23
002255.SZ,20240927,2.4,18.2,4.1,4.2,4.4,5.1,5.8,4.6,70.81,4.62,4.77,4.55,4.7,4.52,0.18,3.9823,148020.2,68956.47,2.28
002255.SZ,20240930,2.4,18.2,4.1,4.2,4.5,5.1,5.7,4.63,84.82,4.9,5.14,4.78,5.09,4.7,0.39,8.2979,260456.04,129544.684,4.01
002255.SZ,20241008,2.4,18.2,4.1,4.2,4.5,5.2,5.7,4.69,88.6,5.57,5.58,5.07,5.35,5.09,0.26,5.1081,332375.59,177031.876,5.12
002255.SZ,20241009,2.4,18.2,4.1,4.3,4.6,5.2,5.7,4.72,69.98,5.15,5.23,4.9,4.96,5.35,-0.39,-7.2897,246464.77,125316.123,3.8
002255.SZ,20241010,2.4,18.2,4.1,4.3,4.6,5.2,5.6,4.73,67.87,4.95,5.26,4.91,5.02,4.96,0.06,1.2097,144935.3,73027.38,2.23
002255.SZ,20241011,2.4,18.2,4.1,4.3,4.7,5.2,5.6,4.73,54.09,5.02,5.02,4.77,4.8,5.02,-0.22,-4.3825,125325.0,61129.68,1.93
002255.SZ,20241014,2.4,18.2,4.1,4.3,4.7,5.2,5.6,4.74,62.0,4.83,4.91,4.77,4.87,4.8,0.07,1.4583,123655.0,59952.103,1.9
002255.SZ,20241015,2.4,18.2,4.1,4.3,4.7,5.2,5.6,4.74,52.21,4.85,4.87,4.73,4.75,4.87,-0.12,-2.4641,106602.0,51177.429,1.67
002255.SZ,20241016,2.4,18.2,4.1,4.3,4.7,5.2,5.6,4.74,53.56,4.71,4.78,4.67,4.73,4.75,-0.02,-0.4211,105841.21,49986.263,1.66
002255.SZ,20241017,2.4,18.2,4.2,4.3,4.7,5.2,5.6,4.74,51.14,4.78,4.98,4.78,4.8,4.73,0.07,1.4799,171127.72,83266.396,2.68
