ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000572.SZ,20240924,1.0,22.2,3.0,3.0,3.2,3.6,4.0,3.27,38.57,3.09,3.17,3.05,3.16,3.08,0.08,2.5974,316783.0,98699.152,1.93
000572.SZ,20240925,1.0,22.2,3.0,3.0,3.2,3.6,4.0,3.27,37.42,3.17,3.28,3.17,3.19,3.16,0.03,0.9494,357738.88,115586.556,2.18
000572.SZ,20240926,1.0,22.2,3.0,3.0,3.2,3.6,4.0,3.27,71.93,3.18,3.31,3.15,3.31,3.19,0.12,3.7618,377696.12,122821.725,2.3
000572.SZ,20240927,1.0,22.2,3.0,3.0,3.2,3.6,4.0,3.28,84.56,3.36,3.49,3.34,3.44,3.31,0.13,3.9275,555098.72,188905.992,3.38
000572.SZ,20240930,1.0,22.2,3.0,3.0,3.2,3.6,4.0,3.31,89.51,3.53,3.75,3.47,3.71,3.44,0.27,7.8488,986511.47,357684.334,6.01
000572.SZ,20241008,1.0,22.2,3.0,3.0,3.4,3.8,4.0,3.39,80.14,4.03,4.08,3.53,3.77,3.71,0.06,1.6173,1470839.36,565001.894,8.96
000572.SZ,20241009,1.0,22.2,3.0,3.0,3.4,3.8,4.0,3.39,45.99,3.67,3.69,3.39,3.39,3.77,-0.38,-10.0796,791185.38,280232.782,4.82
000572.SZ,20241010,1.0,22.2,3.0,3.0,3.4,3.8,4.0,3.39,68.79,3.39,3.6,3.39,3.46,3.39,0.07,2.0649,585092.09,204366.024,3.56
000572.SZ,20241011,1.0,22.2,3.0,3.0,3.4,3.8,4.0,3.39,45.77,3.46,3.47,3.31,3.36,3.46,-0.1,-2.8902,352109.53,118959.092,2.14
000572.SZ,20241014,1.0,22.2,3.0,3.0,3.4,3.8,4.0,3.38,47.2,3.35,3.41,3.3,3.39,3.36,0.03,0.8929,405244.28,136358.406,2.47
000572.SZ,20241015,1.0,22.2,3.0,3.0,3.4,3.6,3.8,3.38,48.38,3.35,3.43,3.31,3.32,3.39,-0.07,-2.0649,350465.12,118165.463,2.13
000572.SZ,20241016,1.0,22.2,3.0,3.0,3.4,3.6,3.8,3.37,49.17,3.28,3.36,3.26,3.32,3.32,0.0,0.0,247377.01,81961.366,1.51
000572.SZ,20241017,1.0,22.2,3.0,3.0,3.2,3.6,3.8,3.37,50.06,3.33,3.38,3.3,3.3,3.32,-0.02,-0.6024,283033.0,94589.45,1.72
000572.SZ,20241018,1.0,22.2,3.0,3.0,3.2,3.6,3.8,3.36,51.43,3.29,3.42,3.27,3.39,3.3,0.09,2.7273,457617.82,154111.383,2.79
000572.SZ,20241021,1.0,22.2,3.0,3.2,3.2,3.6,3.8,3.36,52.61,3.37,3.41,3.33,3.38,3.39,-0.01,-0.295,418489.0,140925.63,2.55
000572.SZ,20241022,1.0,22.2,3.0,3.2,3.2,3.6,3.8,3.36,78.37,3.39,3.5,3.36,3.47,3.38,0.09,2.6627,475693.21,163954.694,2.9
000572.SZ,20241023,1.0,22.2,3.0,3.2,3.4,3.6,3.8,3.37,77.97,3.5,3.63,3.44,3.6,3.47,0.13,3.7464,865443.01,308691.517,5.27
000572.SZ,20241024,1.0,22.2,3.0,3.2,3.4,3.6,3.8,3.39,90.67,3.57,3.76,3.54,3.69,3.6,0.09,2.5,959861.0,351863.868,5.85
000572.SZ,20241025,1.0,22.2,3.0,3.2,3.4,3.8,3.8,3.45,95.51,3.71,3.94,3.68,3.86,3.69,0.17,4.607,1088562.46,416365.824,6.63
000572.SZ,20241028,1.0,22.2,3.0,3.2,3.4,3.8,4.0,3.51,91.14,3.87,4.04,3.76,3.99,3.86,0.13,3.3679,1071963.18,418635.146,6.53
000572.SZ,20241029,1.0,22.2,3.0,3.2,3.6,4.2,4.2,3.66,97.51,4.07,4.39,4.0,4.39,3.99,0.4,10.0251,1964454.5,834385.277,11.96
000572.SZ,20241030,1.0,22.2,3.2,3.2,3.8,4.4,4.6,3.9,99.69,4.39,4.83,4.22,4.83,4.39,0.44,10.0228,2365515.65,1087496.879,14.4
000572.SZ,20241031,1.0,22.2,3.2,3.4,4.2,5.0,5.0,4.19,99.68,4.93,5.31,4.67,5.31,4.83,0.48,9.9379,2299113.36,1158854.043,14.0
