ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603958.SH,20240924,4.4,31.2,8.0,8.4,9.6,10.0,10.4,9.36,72.95,9.85,10.25,9.71,9.93,10.09,-0.16,-1.5857,192137.17,191085.927,8.76
603958.SH,20240925,4.4,31.2,8.4,8.4,9.6,10.0,10.4,9.52,87.86,9.93,10.72,9.9,10.24,9.93,0.31,3.1219,206341.59,210482.642,9.41
603958.SH,20240926,4.4,31.2,8.4,8.8,10.0,10.4,10.8,9.79,98.38,10.52,11.18,10.16,10.95,10.24,0.71,6.9336,289870.0,310275.158,13.21
603958.SH,20240927,4.4,31.2,8.4,8.8,10.0,10.8,10.8,9.93,83.98,10.75,10.95,10.35,10.62,10.95,-0.33,-3.0137,194615.98,206541.079,8.87
603958.SH,20240930,4.4,31.2,8.4,9.2,10.4,10.8,11.2,10.23,98.33,10.78,11.46,10.4,11.36,10.62,0.74,6.968,310152.2,339160.846,14.14
603958.SH,20241008,4.4,31.2,8.4,9.6,10.8,11.6,12.0,10.61,89.5,12.31,12.44,10.97,11.68,11.36,0.32,2.8169,264375.65,309822.66,12.05
603958.SH,20241009,4.4,31.2,8.8,9.6,10.8,11.6,12.0,10.63,45.57,11.23,11.29,10.51,10.51,11.68,-1.17,-10.0171,118827.86,127318.601,5.42
603958.SH,20241010,4.4,31.2,8.8,9.6,10.4,11.6,12.0,10.59,16.84,10.27,10.41,9.69,9.97,10.51,-0.54,-5.138,112438.0,113269.363,5.13
603958.SH,20241011,4.4,31.2,8.8,9.6,10.4,11.6,12.0,10.55,16.53,9.98,10.39,9.73,9.93,9.97,-0.04,-0.4012,79002.0,79913.318,3.6
603958.SH,20241014,4.4,31.2,8.8,10.0,10.4,11.2,12.0,10.53,76.62,9.93,10.92,9.75,10.92,9.93,0.99,9.9698,159500.46,169135.591,7.27
603958.SH,20241015,4.4,31.2,9.2,10.0,10.8,11.2,12.0,10.62,73.74,10.9,11.39,10.75,10.81,10.92,-0.11,-1.0073,218926.35,241994.883,9.98
603958.SH,20241016,4.4,31.2,9.2,10.0,10.8,11.2,11.6,10.67,72.19,10.5,11.25,10.41,11.01,10.81,0.2,1.8501,148271.12,161721.265,6.76
603958.SH,20241017,4.4,31.2,9.6,10.0,10.8,11.2,11.6,10.77,89.12,10.9,11.55,10.9,11.24,11.01,0.23,2.089,186824.0,209474.849,8.52
603958.SH,20241018,4.4,31.2,9.6,10.0,10.8,11.2,11.6,10.84,88.82,11.15,11.46,10.97,11.27,11.24,0.03,0.2669,159414.97,179518.785,7.27
603958.SH,20241021,4.4,31.2,9.6,10.4,11.2,12.0,12.4,11.12,93.82,11.3,12.4,11.23,12.09,11.27,0.82,7.276,287904.43,344547.295,13.12
603958.SH,20241022,4.4,31.2,10.0,10.4,11.2,12.0,12.4,11.23,56.59,11.8,12.04,11.42,11.6,12.09,-0.49,-4.0529,195250.19,226718.084,8.9
603958.SH,20241023,4.4,31.2,10.0,10.4,11.2,12.0,12.4,11.26,29.77,11.4,11.73,11.1,11.18,11.6,-0.42,-3.6207,149935.0,170612.445,6.84
603958.SH,20241024,4.4,31.2,10.0,10.8,11.2,12.0,12.0,11.33,95.14,11.04,12.3,10.97,12.3,11.18,1.12,10.0179,205674.1,244448.448,9.38
603958.SH,20241025,4.4,31.2,10.0,10.8,11.6,12.8,13.2,11.81,98.36,12.9,13.53,12.7,13.53,12.3,1.23,10.0,320097.21,421447.44,14.59
603958.SH,20241028,4.4,31.2,10.4,11.2,12.0,14.4,14.8,12.39,98.91,14.2,14.88,13.96,14.88,13.53,1.35,9.9778,242266.3,353497.634,11.04
603958.SH,20241029,4.4,31.2,10.4,11.2,12.8,15.2,15.6,12.87,99.2,15.18,16.37,14.9,16.37,14.88,1.49,10.0134,160723.26,256651.364,7.33
