ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002900.SZ,20240924,6.4,34.4,7.8,8.0,8.6,9.2,10.4,8.81,37.13,8.17,8.34,8.11,8.33,8.1,0.23,2.8395,22829.0,18825.93,1.34
002900.SZ,20240925,6.4,34.4,7.8,8.0,8.6,9.2,10.4,8.8,36.3,8.38,8.64,8.38,8.5,8.33,0.17,2.0408,28222.5,24081.067,1.65
002900.SZ,20240926,6.4,34.4,7.8,8.0,8.4,9.2,10.4,8.79,50.19,8.46,8.65,8.43,8.65,8.5,0.15,1.7647,24545.5,20993.655,1.44
002900.SZ,20240927,6.4,34.4,8.0,8.0,8.6,9.2,10.2,8.8,77.78,8.7,9.14,8.7,9.0,8.65,0.35,4.0462,49429.5,44113.985,2.89
002900.SZ,20240930,6.4,34.4,8.0,8.0,8.6,9.4,10.2,8.87,93.13,9.3,9.85,9.09,9.85,9.0,0.85,9.4444,85688.56,81793.395,5.01
002900.SZ,20241008,6.4,34.4,8.0,8.2,8.8,10.0,10.4,9.05,88.81,10.79,10.84,9.8,10.26,9.85,0.41,4.1624,111148.5,114374.517,6.5
002900.SZ,20241009,6.4,34.4,8.0,8.2,8.8,9.8,10.4,9.11,66.9,10.02,10.02,9.41,9.41,10.26,-0.85,-8.2846,68920.0,67029.47,4.03
002900.SZ,20241010,6.4,34.4,8.0,8.2,8.8,9.8,10.4,9.13,65.84,9.25,9.79,9.25,9.45,9.41,0.04,0.4251,45888.47,43649.992,2.65
002900.SZ,20241011,6.4,34.4,8.0,8.2,8.8,9.8,10.4,9.14,50.86,9.45,9.58,8.98,9.07,9.45,-0.38,-4.0212,37721.0,34625.762,2.18
002900.SZ,20241014,6.4,34.4,8.0,8.2,9.0,9.8,10.4,9.13,59.12,9.15,9.3,9.02,9.29,9.07,0.22,2.4256,35692.06,32798.732,2.06
002900.SZ,20241015,6.4,34.4,8.0,8.2,9.0,9.8,10.4,9.14,59.96,9.25,9.32,9.11,9.13,9.29,-0.16,-1.7223,27405.0,25222.384,1.58
002900.SZ,20241016,6.4,34.4,8.0,8.2,9.0,9.8,10.4,9.14,60.76,9.04,9.26,8.98,9.19,9.13,0.06,0.6572,26045.0,23865.449,1.5
