ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
001209.SZ,20240924,10.0,31.6,11.4,11.4,11.8,13.8,14.2,12.39,42.47,11.61,11.9,11.53,11.89,11.54,0.35,3.0329,23279.79,27326.072,5.78
001209.SZ,20240925,10.0,31.6,11.4,11.4,12.0,13.8,14.2,12.35,56.66,11.98,12.36,11.98,12.16,11.89,0.27,2.2708,26548.39,32415.28,6.59
001209.SZ,20240926,10.0,31.6,11.4,11.4,12.0,13.6,14.2,12.33,67.45,12.05,12.53,12.05,12.52,12.16,0.36,2.9605,21391.16,26431.755,5.31
001209.SZ,20240927,10.0,31.6,11.4,11.4,12.2,13.6,14.0,12.4,74.26,12.71,13.28,12.65,13.05,12.52,0.53,4.2332,30234.41,39173.735,7.5
001209.SZ,20240930,10.0,31.6,11.4,11.6,12.6,13.8,14.0,12.69,90.92,13.6,14.23,13.22,14.08,13.05,1.03,7.8927,49373.85,68248.153,12.26
001209.SZ,20241008,10.0,31.6,11.4,11.8,13.6,14.4,14.8,13.26,85.19,15.4,15.45,13.84,14.65,14.08,0.57,4.0483,64121.1,94039.892,15.92
001209.SZ,20241009,10.0,31.6,11.4,12.0,13.6,14.4,14.8,13.35,32.9,14.21,14.4,13.25,13.32,14.65,-1.33,-9.0785,40363.19,55823.139,10.02
001209.SZ,20241010,10.0,31.6,11.4,12.0,13.6,14.4,14.8,13.36,47.65,13.52,13.95,13.35,13.67,13.32,0.35,2.6276,27637.86,37897.405,6.86
001209.SZ,20241011,10.0,31.6,11.4,12.2,13.4,14.2,14.8,13.33,25.94,13.55,13.75,12.89,13.1,13.67,-0.57,-4.1697,22665.05,29996.838,5.63
001209.SZ,20241014,10.0,31.6,11.6,12.2,13.4,14.2,14.6,13.3,44.74,13.27,13.45,12.96,13.43,13.1,0.33,2.5191,20350.39,26988.289,5.05
001209.SZ,20241015,10.0,31.6,11.6,12.4,13.4,14.2,14.6,13.3,32.39,13.42,13.62,13.2,13.2,13.43,-0.23,-1.7126,18664.04,25033.119,4.63
001209.SZ,20241016,10.0,31.6,11.6,12.6,13.2,14.0,14.6,13.28,34.9,13.25,13.38,12.98,13.32,13.2,0.12,0.9091,16835.8,22333.411,4.18
001209.SZ,20241017,10.0,31.6,11.6,12.8,13.2,14.0,14.6,13.28,34.45,13.38,13.57,13.13,13.18,13.32,-0.14,-1.0511,13547.86,18100.048,3.36
001209.SZ,20241018,10.0,31.6,11.6,12.8,13.2,14.0,14.6,13.27,71.4,13.17,13.63,13.13,13.6,13.18,0.42,3.1866,30414.97,40860.137,7.55
001209.SZ,20241021,10.0,31.6,11.8,12.8,13.2,13.8,14.4,13.29,70.51,13.6,13.85,13.48,13.57,13.6,-0.03,-0.2206,19706.78,26788.975,4.89
001209.SZ,20241022,10.0,31.6,11.8,13.0,13.4,13.8,14.4,13.3,71.95,13.56,13.71,13.5,13.67,13.57,0.1,0.7369,16959.85,23128.849,4.21
001209.SZ,20241023,10.0,31.6,12.0,13.0,13.4,13.8,14.4,13.32,69.43,13.66,13.76,13.6,13.66,13.67,-0.01,-0.0732,17905.0,24491.556,4.44
001209.SZ,20241024,10.0,31.6,12.0,13.0,13.4,13.8,14.4,13.33,68.93,13.62,13.81,13.55,13.73,13.66,0.07,0.5124,14466.94,19816.384,3.59
001209.SZ,20241025,10.0,31.6,12.0,13.0,13.4,13.6,14.4,13.36,85.07,13.76,13.9,13.65,13.87,13.73,0.14,1.0197,22055.05,30470.94,5.47
001209.SZ,20241028,10.0,31.6,12.2,13.0,13.4,13.8,14.2,13.41,93.22,13.87,14.19,13.78,14.16,13.87,0.29,2.0908,21630.65,30441.771,5.37
001209.SZ,20241029,10.0,31.6,12.2,13.0,13.4,14.0,14.2,13.47,69.42,14.35,14.44,13.78,13.83,14.16,-0.33,-2.3305,21084.4,29559.587,5.23
001209.SZ,20241030,10.0,31.6,12.4,13.0,13.4,14.0,14.2,13.47,51.19,13.77,13.91,13.44,13.69,13.83,-0.14,-1.0123,17168.39,23425.093,4.26
001209.SZ,20241031,10.0,31.6,12.6,13.2,13.6,13.8,14.2,13.48,74.01,13.68,13.94,13.42,13.88,13.69,0.19,1.3879,23968.8,33066.197,5.95
001209.SZ,20241101,10.0,31.6,12.8,13.2,13.6,13.8,14.2,13.48,22.01,13.83,14.06,13.35,13.43,13.88,-0.45,-3.2421,26187.4,35717.64,6.5
001209.SZ,20241104,10.0,31.6,12.8,13.2,13.4,13.8,14.2,13.48,77.05,13.5,13.85,13.34,13.83,13.43,0.4,2.9784,19464.35,26521.314,4.83
001209.SZ,20241105,10.0,31.6,13.0,13.2,13.6,13.8,14.0,13.49,75.6,13.9,13.98,13.68,13.95,13.83,0.12,0.8677,19834.05,27542.971,4.92
001209.SZ,20241106,10.0,31.6,13.0,13.2,13.6,13.8,14.0,13.52,72.69,13.99,14.09,13.78,13.95,13.95,0.0,0.0,18355.25,25563.383,4.56
001209.SZ,20241107,10.0,31.6,13.0,13.2,13.6,13.8,14.0,13.56,95.71,13.84,14.26,13.84,14.26,13.95,0.31,2.2222,22828.6,32234.972,5.67
001209.SZ,20241108,10.0,31.6,13.0,13.4,13.6,14.0,14.2,13.61,92.06,14.33,14.41,14.03,14.21,14.26,-0.05,-0.3506,22024.67,31310.605,5.47
001209.SZ,20241111,10.0,31.6,13.0,13.4,13.6,14.0,14.2,13.66,97.43,14.21,14.39,14.06,14.36,14.21,0.15,1.0556,20465.24,29191.13,5.08
001209.SZ,20241112,10.0,31.6,13.0,13.4,13.8,14.2,14.2,13.73,96.22,14.46,14.55,14.23,14.4,14.36,0.04,0.2786,24419.79,35197.356,6.06
001209.SZ,20241113,10.0,31.6,13.0,13.4,13.8,14.2,14.2,13.75,78.96,14.4,14.48,13.95,14.32,14.4,-0.08,-0.5556,19549.6,27774.981,4.85
001209.SZ,20241114,10.0,31.6,13.2,13.4,13.8,14.2,14.2,13.77,58.25,14.3,14.4,13.93,13.98,14.32,-0.34,-2.3743,17194.65,24241.885,4.27
001209.SZ,20241115,10.0,31.6,13.2,13.4,13.8,14.2,14.2,13.78,36.34,13.85,14.18,13.8,13.81,13.98,-0.17,-1.216,16047.8,22523.903,3.98
001209.SZ,20241118,10.0,31.6,13.2,13.4,13.8,14.2,14.2,13.77,18.84,14.0,14.18,13.6,13.71,13.81,-0.1,-0.7241,21492.4,29872.915,5.33
001209.SZ,20241119,10.0,31.6,13.2,13.4,13.8,14.2,14.2,13.76,63.55,13.71,14.03,13.62,13.97,13.71,0.26,1.8964,14947.04,20667.89,3.71
001209.SZ,20241120,10.0,31.6,13.2,13.4,13.8,14.2,14.2,13.78,84.61,13.97,14.24,13.97,14.21,13.97,0.24,1.718,20016.6,28329.583,4.97
001209.SZ,20241121,10.0,31.6,13.2,13.6,13.8,14.2,14.2,13.81,97.29,14.25,14.48,14.11,14.41,14.21,0.2,1.4075,19342.25,27726.442,4.8
001209.SZ,20241122,10.0,31.6,13.2,13.6,13.8,14.2,14.2,13.81,13.48,14.36,14.52,13.68,13.75,14.41,-0.66,-4.5802,20402.5,28832.972,5.06
001209.SZ,20241125,10.0,31.6,13.4,13.6,13.8,14.2,14.2,13.83,97.38,13.75,14.48,13.75,14.48,13.75,0.73,5.3091,28307.22,40178.89,7.03
001209.SZ,20241126,10.0,31.6,13.4,13.6,14.0,14.4,14.6,14.01,86.74,14.5,14.99,14.48,14.65,14.48,0.17,1.174,49711.05,72930.168,12.34
001209.SZ,20241127,10.0,31.6,13.4,13.6,14.0,14.8,15.8,14.25,96.61,16.12,16.12,16.12,16.12,14.65,1.47,10.0341,26386.2,42534.554,6.55
001209.SZ,20241128,10.0,31.6,13.4,13.6,14.0,15.8,16.0,14.4,98.82,17.73,17.73,17.73,17.73,16.12,1.61,9.9876,9315.94,16517.162,2.31
001209.SZ,20241129,10.0,31.6,18.0,18.2,18.6,19.0,19.2,18.59,99.22,19.39,19.5,18.1,19.5,17.73,1.77,9.9831,220972.87,415845.637,54.85
001209.SZ,20241202,10.0,31.6,19.0,19.4,20.0,20.6,21.0,19.99,99.73,18.39,21.45,18.3,21.45,19.5,1.95,10.0,230311.74,471434.937,57.17
001209.SZ,20241203,10.0,31.6,19.6,20.6,22.6,23.0,23.2,22.2,98.86,22.0,23.6,22.0,23.6,21.45,2.15,10.0233,159083.35,370561.235,39.49
001209.SZ,20241204,10.0,31.6,22.0,22.8,24.0,24.8,25.2,23.85,99.83,23.95,25.96,21.47,25.96,23.6,2.36,10.0,197973.97,493700.802,49.14
001209.SZ,20241205,10.0,31.6,23.6,24.0,25.0,26.2,26.8,25.03,0.0,25.75,27.95,23.36,23.36,25.96,-2.6,-10.0154,225477.16,551839.003,55.97
