ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603115.SH,20240924,8.0,27.3,8.7,9.4,10.2,11.2,11.6,10.31,74.28,10.9,11.01,10.73,10.99,10.79,0.2,1.8536,13160.0,14349.109,0.55
603115.SH,20240925,8.0,27.3,8.7,9.4,10.2,11.2,11.6,10.32,73.25,10.99,11.26,10.99,11.05,10.99,0.06,0.546,16688.0,18625.89,0.7
603115.SH,20240926,8.0,27.3,8.7,9.4,10.2,11.2,11.6,10.33,78.09,11.04,11.23,10.96,11.22,11.05,0.17,1.5385,15572.0,17228.445,0.65
603115.SH,20240927,8.0,27.3,8.7,9.4,10.2,11.2,11.6,10.34,84.27,11.27,11.66,11.27,11.6,11.22,0.38,3.3868,10186.0,11691.304,0.43
603115.SH,20240930,8.0,27.3,8.7,9.4,10.2,11.3,11.9,10.4,96.27,12.02,12.65,11.9,12.54,11.6,0.94,8.1034,47048.7,57908.586,1.97
603115.SH,20241008,8.0,27.3,8.8,9.5,10.3,11.5,12.8,10.5,96.57,13.79,13.79,12.88,13.53,12.54,0.99,7.8947,48876.0,65322.8,2.04
603115.SH,20241009,8.0,27.3,8.8,9.5,10.3,11.7,12.9,10.62,91.29,13.47,13.78,12.83,13.15,13.53,-0.38,-2.8086,53641.98,71243.922,2.24
603115.SH,20241010,8.0,27.3,8.8,9.5,10.3,11.9,12.9,10.67,87.19,13.52,13.53,12.86,12.95,13.15,-0.2,-1.5209,32124.5,42127.178,1.34
603115.SH,20241011,8.0,27.3,8.8,9.5,10.4,12.0,12.9,10.73,75.38,12.9,13.12,11.81,11.93,12.95,-1.02,-7.8764,49218.0,60342.132,2.06
603115.SH,20241014,8.0,27.3,8.9,9.5,10.4,12.0,12.9,10.77,85.26,12.05,12.65,12.0,12.54,11.93,0.61,5.1132,32656.0,40253.165,1.37
