ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002702.SZ,20240924,2.5,22.2,2.8,2.8,3.1,3.4,3.6,3.13,77.67,3.16,3.25,3.14,3.25,3.14,0.11,3.5032,121761.79,39150.631,2.64
002702.SZ,20240925,2.5,22.2,2.8,2.8,3.1,3.4,3.6,3.13,75.58,3.26,3.35,3.24,3.27,3.25,0.02,0.6154,138053.0,45433.605,2.99
002702.SZ,20240926,2.5,22.2,2.8,2.9,3.1,3.4,3.6,3.15,90.77,3.25,3.42,3.25,3.42,3.27,0.15,4.5872,152653.09,51221.428,3.3
002702.SZ,20240927,2.5,22.2,2.8,2.9,3.1,3.4,3.6,3.18,94.71,3.55,3.59,3.46,3.52,3.42,0.1,2.924,199939.19,70186.03,4.33
002702.SZ,20240930,2.5,22.2,2.8,2.9,3.2,3.6,3.8,3.26,97.76,3.67,3.83,3.52,3.82,3.52,0.3,8.5227,345437.45,128114.228,7.48
002702.SZ,20241008,2.5,22.2,2.8,2.9,3.3,3.8,4.0,3.39,85.19,4.2,4.2,3.68,3.9,3.82,0.08,2.0942,459672.72,180691.089,9.95
002702.SZ,20241009,2.5,22.2,2.8,3.0,3.4,3.8,4.0,3.42,57.0,3.82,3.83,3.51,3.51,3.9,-0.39,-10.0,308434.14,111824.598,6.68
002702.SZ,20241010,2.5,22.2,2.8,3.0,3.5,3.8,4.0,3.43,59.59,3.51,3.65,3.47,3.58,3.51,0.07,1.9943,197680.86,70709.242,4.28
002702.SZ,20241011,2.5,22.2,2.8,3.0,3.5,3.8,4.0,3.44,44.71,3.58,3.63,3.41,3.46,3.58,-0.12,-3.352,148106.06,51863.162,3.21
002702.SZ,20241014,2.5,22.2,2.8,3.0,3.5,3.8,4.0,3.44,63.58,3.46,3.56,3.43,3.56,3.46,0.1,2.8902,133169.52,46659.194,2.88
002702.SZ,20241015,2.5,22.2,2.8,3.0,3.5,3.8,4.0,3.44,42.47,3.54,3.58,3.47,3.47,3.56,-0.09,-2.5281,134687.98,47464.247,2.92
002702.SZ,20241016,2.5,22.2,2.8,3.0,3.5,3.8,4.0,3.44,44.8,3.44,3.5,3.41,3.47,3.47,0.0,0.0,93610.57,32429.934,2.03
002702.SZ,20241017,2.5,22.2,2.8,3.1,3.5,3.8,4.0,3.44,46.04,3.47,3.54,3.41,3.42,3.47,-0.05,-1.4409,96011.74,33366.2,2.08
002702.SZ,20241018,2.5,22.2,2.8,3.1,3.5,3.7,3.9,3.44,48.52,3.41,3.51,3.4,3.46,3.42,0.04,1.1696,138814.76,47888.658,3.01
002702.SZ,20241021,2.5,22.2,2.9,3.1,3.4,3.7,3.9,3.44,50.12,3.46,3.52,3.44,3.47,3.46,0.01,0.289,140406.52,48847.792,3.04
