ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002549.SZ,20240924,2.4,23.0,4.8,5.0,5.8,6.4,6.6,5.8,76.01,6.19,6.9,6.04,6.34,6.28,0.06,0.9554,920409.13,594990.131,13.29
002549.SZ,20240925,2.4,23.0,4.8,5.0,5.8,6.4,6.6,5.9,75.09,6.0,6.62,6.0,6.34,6.34,0.0,0.0,720936.33,453748.905,10.41
002549.SZ,20240926,2.4,23.0,4.8,5.0,6.0,6.4,6.6,5.97,73.02,6.15,6.43,6.12,6.28,6.34,-0.06,-0.9464,540135.47,338501.775,7.8
002549.SZ,20240927,2.4,23.0,4.8,5.2,6.2,6.4,6.6,6.06,86.12,6.36,6.62,6.28,6.51,6.28,0.23,3.6624,562881.19,361909.1,8.13
002549.SZ,20240930,2.4,23.0,4.8,5.2,6.2,6.6,6.8,6.19,98.37,6.66,7.12,6.53,7.1,6.51,0.59,9.063,590748.86,406571.287,8.53
002549.SZ,20241008,2.4,23.0,5.0,5.6,6.4,7.2,7.6,6.45,98.91,7.81,7.81,6.93,7.81,7.1,0.71,10.0,735549.72,552821.821,10.62
002549.SZ,20241009,2.4,23.0,5.0,5.8,6.6,7.8,8.2,6.75,84.59,7.44,8.41,7.3,7.68,7.81,-0.13,-1.6645,685512.03,544496.258,9.9
002549.SZ,20241010,2.4,23.0,5.0,5.8,6.8,7.6,8.0,6.84,57.24,7.67,7.84,7.1,7.15,7.68,-0.53,-6.901,414608.02,306114.849,5.99
002549.SZ,20241011,2.4,23.0,5.0,5.8,6.8,7.6,8.0,6.84,45.19,7.0,7.13,6.7,6.8,7.15,-0.35,-4.8951,253557.63,175083.272,3.66
002549.SZ,20241014,2.4,23.0,5.0,6.0,6.8,7.6,8.0,6.83,59.07,6.8,6.87,6.58,6.87,6.8,0.07,1.0294,230943.88,155587.112,3.34
002549.SZ,20241015,2.4,23.0,5.2,6.0,6.8,7.6,8.0,6.83,61.3,6.78,7.16,6.63,6.85,6.87,-0.02,-0.2911,277937.69,193829.239,4.01
002549.SZ,20241016,2.4,23.0,5.2,6.2,6.8,7.6,8.0,6.84,62.82,6.8,7.13,6.73,6.94,6.85,0.09,1.3139,206663.4,144381.726,2.98
002549.SZ,20241017,2.4,23.0,5.2,6.2,6.8,7.6,8.0,6.84,41.38,6.99,7.04,6.73,6.74,6.94,-0.2,-2.8818,195645.15,134246.537,2.83
002549.SZ,20241018,2.4,23.0,5.2,6.2,6.8,7.6,8.0,6.84,71.96,6.7,7.17,6.7,7.05,6.74,0.31,4.5994,273795.37,190926.818,3.95
002549.SZ,20241021,2.4,23.0,5.2,6.2,6.8,7.4,8.0,6.87,69.73,7.06,7.26,7.03,7.1,7.05,0.05,0.7092,267759.54,191263.866,3.87
002549.SZ,20241022,2.4,23.0,5.4,6.2,6.8,7.4,8.0,6.88,70.77,7.09,7.21,6.98,7.07,7.1,-0.03,-0.4225,209267.29,148481.986,3.02
002549.SZ,20241023,2.4,23.0,5.4,6.2,6.8,7.4,8.0,6.89,72.15,7.03,7.14,6.98,7.02,7.07,-0.05,-0.7072,167824.86,118475.765,2.42
002549.SZ,20241024,2.4,23.0,5.4,6.4,6.8,7.4,8.0,6.9,73.05,6.98,7.08,6.95,7.02,7.02,0.0,0.0,115317.41,80925.0,1.67
002549.SZ,20241025,2.4,23.0,5.6,6.4,6.8,7.4,7.8,6.91,73.09,7.05,7.2,7.03,7.15,7.02,0.13,1.8519,173625.16,123917.993,2.51
002549.SZ,20241028,2.4,23.0,5.6,6.4,7.0,7.4,7.8,6.93,82.44,7.28,7.35,7.13,7.29,7.15,0.14,1.958,175577.4,127076.435,2.54
002549.SZ,20241029,2.4,23.0,5.6,6.4,7.0,7.4,7.8,6.95,65.64,7.32,7.55,7.1,7.1,7.29,-0.19,-2.6063,241877.8,176518.553,3.49
002549.SZ,20241030,2.4,23.0,5.6,6.4,7.0,7.4,7.8,6.97,64.37,7.06,7.24,7.05,7.15,7.1,0.05,0.7042,192588.44,137763.006,2.78
002549.SZ,20241031,2.4,23.0,5.8,6.4,7.0,7.4,7.8,7.0,89.83,7.1,7.5,7.06,7.46,7.15,0.31,4.3357,278512.1,203646.085,4.02
002549.SZ,20241101,2.4,23.0,5.8,6.6,7.0,7.6,7.8,7.07,52.5,7.66,8.12,7.1,7.11,7.46,-0.35,-4.6917,434893.79,328165.923,6.28
002549.SZ,20241104,2.4,23.0,5.8,6.6,7.0,7.4,7.8,7.09,73.51,6.97,7.43,6.97,7.32,7.11,0.21,2.9536,234082.09,170210.177,3.38
002549.SZ,20241105,2.4,23.0,6.0,6.6,7.2,7.4,7.8,7.11,85.89,7.36,7.5,7.16,7.48,7.32,0.16,2.1858,213250.32,158314.404,3.08
002549.SZ,20241106,2.4,23.0,6.0,6.6,7.2,7.6,7.8,7.14,84.14,7.45,7.63,7.37,7.52,7.48,0.04,0.5348,248454.0,186840.261,3.59
002549.SZ,20241107,2.4,23.0,6.0,6.6,7.2,7.6,7.8,7.17,91.96,7.46,7.7,7.44,7.65,7.52,0.13,1.7287,195395.1,148566.516,2.82
002549.SZ,20241108,2.4,23.0,6.2,6.8,7.2,7.8,8.0,7.25,92.58,7.68,8.05,7.68,7.98,7.65,0.33,4.3137,353065.12,277338.159,5.1
002549.SZ,20241111,2.4,23.0,6.2,6.8,7.4,8.2,8.6,7.42,98.54,8.3,8.78,8.12,8.78,7.98,0.8,10.0251,506743.74,431634.042,7.32
002549.SZ,20241112,2.4,23.0,6.4,6.8,7.6,8.6,9.0,7.73,69.05,8.85,9.3,8.21,8.21,8.78,-0.57,-6.492,764572.36,665320.146,11.04
002549.SZ,20241113,2.4,23.0,6.4,7.0,7.8,8.6,9.0,7.78,63.07,8.37,8.51,7.95,8.11,8.21,-0.1,-1.218,383182.15,313219.059,5.53
002549.SZ,20241114,2.4,23.0,6.4,7.0,7.8,8.6,9.0,7.79,46.0,8.04,8.15,7.72,7.75,8.11,-0.36,-4.439,258735.98,204519.237,3.74
002549.SZ,20241115,2.4,23.0,6.6,7.0,7.8,8.6,9.0,7.79,37.67,7.66,7.79,7.47,7.47,7.75,-0.28,-3.6129,187515.02,143221.193,2.71
002549.SZ,20241118,2.4,23.0,6.6,7.0,7.6,8.6,9.0,7.76,19.09,7.5,7.55,7.1,7.15,7.47,-0.32,-4.2838,169546.55,123090.592,2.45
002549.SZ,20241119,2.4,23.0,6.6,6.8,7.6,8.6,8.8,7.71,24.59,6.98,7.16,6.84,7.16,7.15,0.01,0.1399,235477.82,164491.945,3.4
002549.SZ,20241120,2.4,23.0,6.6,6.8,7.6,8.6,8.8,7.69,37.75,7.15,7.28,7.06,7.24,7.16,0.08,1.1173,157291.07,113349.085,2.27
002549.SZ,20241121,2.4,23.0,6.6,7.0,7.6,8.4,8.8,7.67,38.73,7.23,7.43,7.15,7.24,7.24,0.0,0.0,137623.18,100275.691,1.99
002549.SZ,20241122,2.4,23.0,6.6,7.0,7.4,8.4,8.8,7.65,14.75,7.23,7.3,6.89,6.9,7.24,-0.34,-4.6961,159084.79,112952.268,2.3
002549.SZ,20241125,2.4,23.0,6.6,6.8,7.4,8.4,8.8,7.62,28.63,6.9,7.03,6.85,7.01,6.9,0.11,1.5942,108268.0,75139.341,1.56
002549.SZ,20241126,2.4,23.0,6.6,6.8,7.4,8.4,8.8,7.61,18.15,7.01,7.08,6.87,6.91,7.01,-0.1,-1.4265,90308.0,62948.129,1.3
002549.SZ,20241127,2.4,23.0,6.6,6.8,7.4,8.4,8.8,7.58,32.94,6.87,7.02,6.66,7.01,6.91,0.1,1.4472,123528.9,84277.168,1.78
002549.SZ,20241128,2.4,23.0,6.6,6.8,7.4,8.4,8.8,7.56,34.92,6.99,7.11,6.97,7.02,7.01,0.01,0.1427,103088.0,72620.425,1.49
002549.SZ,20241129,2.4,23.0,6.6,6.8,7.2,8.4,8.8,7.54,37.14,7.02,7.14,6.87,7.09,7.02,0.07,0.9972,118913.1,83641.372,1.72
002549.SZ,20241202,2.4,23.0,6.8,6.8,7.2,8.4,8.8,7.53,51.58,7.1,7.27,7.06,7.27,7.09,0.18,2.5388,124508.92,89533.941,1.8
002549.SZ,20241203,2.4,23.0,6.8,6.8,7.2,8.4,8.8,7.52,52.97,7.34,7.4,7.2,7.28,7.27,0.01,0.1376,136546.08,99638.721,1.97
002549.SZ,20241204,2.4,23.0,6.8,6.8,7.2,8.4,8.8,7.51,35.11,7.3,7.42,7.1,7.15,7.28,-0.13,-1.7857,148773.84,108129.488,2.15
002549.SZ,20241205,2.4,23.0,6.8,6.8,7.2,8.4,8.8,7.5,54.56,7.09,7.25,7.06,7.23,7.15,0.08,1.1189,106934.0,76839.336,1.54
002549.SZ,20241206,2.4,23.0,6.8,6.8,7.2,8.2,8.8,7.49,55.8,7.22,7.28,7.08,7.28,7.23,0.05,0.6916,111578.0,80312.621,1.61
002549.SZ,20241209,2.4,23.0,6.8,6.8,7.2,8.2,8.8,7.49,56.8,7.28,7.39,7.18,7.26,7.28,-0.02,-0.2747,111341.57,81041.352,1.61
002549.SZ,20241210,2.4,23.0,6.8,6.8,7.2,8.2,8.8,7.48,56.26,7.4,7.49,7.27,7.28,7.26,0.02,0.2755,133961.46,98623.125,1.93
002549.SZ,20241211,2.4,23.0,6.8,6.8,7.2,8.2,8.8,7.48,56.82,7.26,7.38,7.24,7.37,7.28,0.09,1.2363,107573.0,78941.813,1.55
002549.SZ,20241212,2.4,23.0,6.8,6.8,7.2,8.2,8.8,7.47,57.43,7.38,7.4,7.26,7.39,7.37,0.02,0.2714,123957.42,91093.651,1.79
002549.SZ,20241213,2.4,23.0,6.8,7.0,7.2,8.2,8.8,7.47,30.41,7.35,7.39,7.17,7.17,7.39,-0.22,-2.977,156633.6,113441.442,2.26
002549.SZ,20241216,2.4,23.0,6.8,7.0,7.2,8.0,8.6,7.46,30.82,7.19,7.23,7.06,7.09,7.17,-0.08,-1.1158,104839.57,74724.994,1.51
002549.SZ,20241217,2.4,23.0,6.8,6.8,7.2,8.0,8.6,7.43,3.81,7.09,7.14,6.76,6.77,7.09,-0.32,-4.5134,136589.0,93983.346,1.97
002549.SZ,20241218,2.4,23.0,6.8,6.8,7.2,8.0,8.6,7.42,19.13,6.82,6.92,6.67,6.82,6.77,0.05,0.7386,95931.78,65526.397,1.39
002549.SZ,20241219,2.4,23.0,6.6,6.8,7.2,8.0,8.6,7.4,6.06,6.81,6.85,6.69,6.8,6.82,-0.02,-0.2933,79161.16,53625.107,1.14
