ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002413.SZ,20240924,1.8,22.6,3.2,3.4,3.4,3.8,4.4,3.61,70.55,3.54,3.62,3.52,3.62,3.54,0.08,2.2599,211660.0,75725.921,1.69
002413.SZ,20240925,1.8,22.6,3.2,3.4,3.6,3.8,4.4,3.61,70.76,3.64,3.72,3.63,3.65,3.62,0.03,0.8287,287108.21,105624.087,2.3
002413.SZ,20240926,1.8,22.6,3.2,3.4,3.6,3.8,4.2,3.61,70.92,3.66,3.73,3.64,3.73,3.65,0.08,2.1918,229070.94,84539.867,1.83
002413.SZ,20240927,1.8,22.6,3.4,3.4,3.6,3.8,4.2,3.62,88.91,3.78,3.97,3.76,3.9,3.73,0.17,4.5576,447367.12,172431.208,3.58
002413.SZ,20240930,1.8,22.6,3.4,3.4,3.6,4.0,4.2,3.68,95.5,4.03,4.28,4.0,4.28,3.9,0.38,9.7436,781983.58,326255.752,6.25
002413.SZ,20241008,1.8,22.6,3.4,3.4,3.8,4.4,4.6,3.81,98.78,4.71,4.71,4.39,4.7,4.28,0.42,9.8131,1029824.42,473595.766,8.24
002413.SZ,20241009,1.8,22.6,3.4,3.4,3.8,4.4,4.6,3.88,72.83,4.65,4.65,4.27,4.29,4.7,-0.41,-8.7234,711943.01,316839.074,5.69
002413.SZ,20241010,1.8,22.6,3.4,3.4,3.8,4.4,4.6,3.92,70.67,4.3,4.47,4.23,4.35,4.29,0.06,1.3986,464022.66,202457.658,3.71
002413.SZ,20241011,1.8,22.6,3.4,3.4,3.8,4.4,4.6,3.93,60.57,4.3,4.32,4.06,4.12,4.35,-0.23,-5.2874,359447.5,150096.855,2.87
002413.SZ,20241014,1.8,22.6,3.4,3.4,4.0,4.4,4.6,3.95,73.16,4.17,4.35,4.15,4.35,4.12,0.23,5.5825,471648.71,202380.435,3.77
002413.SZ,20241015,1.8,22.6,3.4,3.4,4.0,4.4,4.6,3.98,71.16,4.33,4.45,4.25,4.34,4.35,-0.01,-0.2299,424924.97,186054.84,3.4
002413.SZ,20241016,1.8,22.6,3.4,3.4,4.2,4.4,4.6,4.0,69.5,4.36,4.46,4.29,4.35,4.34,0.01,0.2304,375995.76,164154.541,3.01
002413.SZ,20241017,1.8,22.6,3.4,3.4,4.2,4.4,4.6,4.01,68.21,4.33,4.42,4.3,4.3,4.35,-0.05,-1.1494,312634.76,136507.278,2.5
002413.SZ,20241018,1.8,22.6,3.4,3.4,4.2,4.4,4.6,4.04,66.51,4.25,4.44,4.23,4.38,4.3,0.08,1.8605,435175.97,189482.726,3.48
002413.SZ,20241021,1.8,22.6,3.4,3.6,4.2,4.6,4.6,4.11,98.2,4.43,4.71,4.43,4.7,4.38,0.32,7.3059,911803.87,419410.262,7.29
002413.SZ,20241022,1.8,22.6,3.4,3.6,4.2,4.6,4.6,4.16,97.1,4.75,4.78,4.56,4.61,4.7,-0.09,-1.9149,630502.91,291207.78,5.04
002413.SZ,20241023,1.8,22.6,3.4,3.6,4.4,4.6,4.6,4.23,95.55,4.6,4.95,4.57,4.74,4.61,0.13,2.82,1000578.17,478575.485,8.0
002413.SZ,20241024,1.8,22.6,3.4,3.6,4.4,4.6,4.6,4.26,63.96,4.58,4.63,4.49,4.55,4.74,-0.19,-4.0084,693420.42,316052.646,5.55
002413.SZ,20241025,1.8,22.6,3.4,3.8,4.4,4.6,4.8,4.29,59.92,4.54,4.65,4.54,4.59,4.55,0.04,0.8791,490316.33,225800.185,3.92
002413.SZ,20241028,1.8,22.6,3.4,3.8,4.4,4.6,4.8,4.33,92.61,4.62,4.82,4.62,4.8,4.59,0.21,4.5752,666428.01,317082.383,5.33
002413.SZ,20241029,1.8,22.6,3.4,4.0,4.6,4.8,4.8,4.42,95.6,4.99,5.2,4.84,4.85,4.8,0.05,1.0417,1070999.31,532902.645,8.56
002413.SZ,20241030,1.8,22.6,3.4,4.0,4.6,4.8,4.8,4.45,96.01,4.8,4.94,4.73,4.9,4.85,0.05,1.0309,591443.25,287289.216,4.73
002413.SZ,20241031,1.8,22.6,3.4,4.2,4.6,5.0,5.0,4.53,99.91,4.92,5.2,4.9,5.14,4.9,0.24,4.898,1054045.45,535606.106,8.43
002413.SZ,20241101,1.8,22.6,3.6,4.2,4.6,5.0,5.0,4.57,52.96,5.12,5.12,4.7,4.72,5.14,-0.42,-8.1712,895232.96,436007.346,7.16
002413.SZ,20241104,1.8,22.6,3.6,4.2,4.6,4.8,5.0,4.58,85.51,4.72,4.93,4.69,4.87,4.72,0.15,3.178,407975.85,197531.066,3.26
002413.SZ,20241105,1.8,22.6,3.6,4.4,4.8,5.0,5.0,4.61,99.91,4.86,5.05,4.83,5.01,4.87,0.14,2.8747,655293.28,326862.732,5.24
002413.SZ,20241106,1.8,22.6,3.8,4.4,4.8,5.0,5.2,4.69,91.08,5.13,5.28,5.05,5.13,5.01,0.12,2.3952,982355.66,507019.232,7.86
002413.SZ,20241107,1.8,22.6,3.8,4.4,4.8,5.0,5.2,4.73,90.62,5.07,5.21,4.97,5.09,5.13,-0.04,-0.7797,780106.26,394307.059,6.24
