ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002734.SZ,20240924,3.5,18.4,6.3,6.4,6.6,6.9,7.1,6.7,61.92,6.73,7.01,6.71,7.01,6.71,0.3,4.4709,34586.36,23810.925,1.06
002734.SZ,20240925,3.5,18.4,6.3,6.4,6.7,6.9,7.1,6.71,74.36,7.04,7.18,7.0,7.06,7.01,0.05,0.7133,46836.42,33316.174,1.44
002734.SZ,20240926,3.5,18.4,6.3,6.4,6.7,6.9,7.1,6.72,85.73,7.03,7.18,7.03,7.17,7.06,0.11,1.5581,38099.05,27188.753,1.17
002734.SZ,20240927,3.5,18.4,6.3,6.4,6.7,7.0,7.1,6.73,91.0,7.26,7.42,7.19,7.29,7.17,0.12,1.6736,82387.83,60014.753,2.54
002734.SZ,20240930,3.5,18.4,6.3,6.4,6.7,7.1,7.4,6.8,97.94,7.52,7.83,7.25,7.8,7.29,0.51,6.9959,168816.32,128810.929,5.2
002734.SZ,20241008,3.5,18.4,6.3,6.5,6.8,7.5,7.9,6.93,95.38,8.48,8.55,7.71,8.18,7.8,0.38,4.8718,199782.48,161895.371,6.15
002734.SZ,20241009,3.5,18.4,6.3,6.5,6.9,7.8,8.0,7.06,91.77,8.11,8.48,7.8,8.23,8.18,0.05,0.6112,218457.16,177940.902,6.73
002734.SZ,20241010,3.5,18.4,6.3,6.5,7.0,7.8,8.0,7.14,72.25,8.28,8.36,7.72,7.93,8.23,-0.3,-3.6452,177354.53,141587.623,5.46
002734.SZ,20241011,3.5,18.4,6.4,6.5,7.0,7.8,8.0,7.16,60.09,7.83,7.91,7.55,7.61,7.93,-0.32,-4.0353,93646.7,72249.533,2.88
002734.SZ,20241014,3.5,18.4,6.4,6.5,7.1,7.8,8.0,7.17,64.61,7.61,7.76,7.52,7.7,7.61,0.09,1.1827,64550.88,49475.221,1.99
002734.SZ,20241015,3.5,18.4,6.4,6.5,7.1,7.8,8.0,7.18,57.28,7.68,7.77,7.57,7.57,7.7,-0.13,-1.6883,48272.6,37049.565,1.49
002734.SZ,20241016,3.5,18.4,6.4,6.5,7.2,7.8,8.0,7.19,64.8,7.53,7.8,7.5,7.74,7.57,0.17,2.2457,59550.45,45862.618,1.83
002734.SZ,20241017,3.5,18.4,6.4,6.5,7.3,7.8,8.0,7.2,54.65,7.73,7.81,7.58,7.61,7.74,-0.13,-1.6796,53684.91,41179.265,1.65
002734.SZ,20241018,3.5,18.4,6.4,6.5,7.3,7.8,8.0,7.21,64.63,7.49,7.64,7.41,7.56,7.47,0.09,1.2048,58054.0,43627.257,1.79
002734.SZ,20241021,3.5,18.4,6.4,6.5,7.3,7.8,8.0,7.22,63.62,7.57,7.71,7.52,7.58,7.56,0.02,0.2646,76898.36,58370.495,2.37
002734.SZ,20241022,3.5,18.4,6.4,6.6,7.4,7.8,8.0,7.23,73.57,7.58,7.73,7.57,7.66,7.58,0.08,1.0554,65109.5,49787.848,2.0
002734.SZ,20241023,3.5,18.4,6.4,6.6,7.4,7.7,8.0,7.25,71.44,7.66,7.78,7.62,7.71,7.66,0.05,0.6527,56314.68,43431.812,1.73
002734.SZ,20241024,3.5,18.4,6.4,6.6,7.4,7.7,8.0,7.26,70.11,7.65,7.78,7.63,7.71,7.71,0.0,0.0,36584.08,28241.879,1.13
002734.SZ,20241025,3.5,18.4,6.4,6.6,7.4,7.7,8.0,7.27,85.41,7.73,7.89,7.73,7.86,7.71,0.15,1.9455,53992.64,42291.0,1.66
002734.SZ,20241028,3.5,18.4,6.4,6.6,7.4,7.8,8.0,7.3,94.38,7.85,8.08,7.78,8.05,7.86,0.19,2.4173,83654.21,66373.172,2.58
002734.SZ,20241029,3.5,18.4,6.4,6.6,7.4,7.8,8.0,7.32,61.14,8.01,8.03,7.63,7.69,8.05,-0.36,-4.472,84898.0,66012.401,2.61
002734.SZ,20241030,3.5,18.4,6.4,6.6,7.5,7.8,8.0,7.33,60.55,7.67,7.78,7.62,7.7,7.69,0.01,0.13,55469.47,42676.593,1.71
002734.SZ,20241031,3.5,18.4,6.4,6.6,7.5,7.8,8.0,7.34,73.12,7.7,7.77,7.65,7.74,7.7,0.04,0.5195,41027.57,31676.614,1.26
002734.SZ,20241101,3.5,18.4,6.4,6.7,7.5,7.8,7.9,7.35,45.79,7.74,7.81,7.53,7.56,7.74,-0.18,-2.3256,66673.61,50929.414,2.05
002734.SZ,20241104,3.5,18.4,6.4,6.7,7.5,7.8,7.9,7.35,60.43,7.7,7.71,7.49,7.62,7.56,0.06,0.7937,43561.4,32958.98,1.34
002734.SZ,20241105,3.5,18.4,6.4,6.7,7.5,7.8,7.9,7.36,61.55,7.61,7.71,7.57,7.67,7.62,0.05,0.6562,68382.69,52297.478,2.11
002734.SZ,20241106,3.5,18.4,6.4,6.7,7.5,7.8,7.9,7.37,60.97,7.69,7.73,7.62,7.71,7.67,0.04,0.5215,53406.07,41076.307,1.64
002734.SZ,20241107,3.5,18.4,6.4,6.7,7.5,7.7,7.9,7.38,85.2,7.73,7.9,7.67,7.88,7.71,0.17,2.2049,63332.8,49605.722,1.95
002734.SZ,20241108,3.5,18.4,6.4,6.8,7.5,7.8,7.9,7.4,70.65,7.94,7.99,7.75,7.78,7.88,-0.1,-1.269,100395.66,78575.896,3.09
002734.SZ,20241111,3.5,18.4,6.5,6.8,7.5,7.8,7.9,7.41,84.21,7.77,7.83,7.68,7.82,7.78,0.04,0.5141,65540.22,50856.465,2.02
002734.SZ,20241112,3.5,18.4,6.5,6.8,7.5,7.8,7.9,7.43,68.41,7.85,7.97,7.71,7.79,7.82,-0.03,-0.3836,71921.1,56635.318,2.21
002734.SZ,20241113,3.5,18.4,6.5,6.8,7.6,7.8,7.9,7.43,84.0,7.75,7.9,7.68,7.82,7.79,0.03,0.3851,52731.53,41054.118,1.62
002734.SZ,20241114,3.5,18.4,6.5,6.9,7.6,7.8,7.9,7.48,61.33,7.85,8.04,7.77,7.8,7.82,-0.02,-0.2558,170771.24,135220.884,5.26
002734.SZ,20241115,3.5,18.4,6.5,6.9,7.6,7.8,7.9,7.47,22.24,7.7,7.7,7.41,7.42,7.8,-0.38,-4.8718,137512.58,103279.147,4.23
