ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603629.SH,20240924,7.4,40.4,14.0,14.4,15.4,18.0,23.6,16.33,36.82,14.33,14.95,14.24,14.95,14.42,0.53,3.6755,75885.2,110983.789,2.98
603629.SH,20240925,7.4,40.4,14.0,14.4,15.4,18.0,23.4,16.29,41.79,15.1,15.59,15.04,15.17,14.95,0.22,1.4716,72248.54,110703.896,2.84
603629.SH,20240926,7.4,40.4,14.0,14.4,15.4,17.6,22.4,16.23,72.43,15.3,16.46,15.16,16.17,15.17,1.0,6.592,132327.89,211156.46,5.19
603629.SH,20240927,7.4,40.4,14.0,14.4,15.6,17.4,21.4,16.25,82.01,16.33,17.09,16.09,17.09,16.17,0.92,5.6895,121528.58,200383.915,4.77
603629.SH,20240930,7.4,40.4,14.2,14.6,15.8,18.2,20.4,16.54,91.0,17.8,18.72,17.27,18.66,17.09,1.57,9.1867,213445.23,387732.624,8.38
603629.SH,20241008,7.4,40.4,14.2,14.6,16.4,19.2,20.2,17.03,93.23,20.53,20.53,18.01,19.98,18.66,1.32,7.074,230704.84,449695.17,9.05
603629.SH,20241009,7.4,40.4,14.2,14.8,17.0,19.2,20.2,17.23,58.53,19.67,19.67,17.98,17.98,19.98,-2.0,-10.01,144538.4,267513.636,5.67
603629.SH,20241010,7.4,40.4,14.2,14.8,17.2,19.0,20.0,17.25,47.85,18.1,18.28,16.82,17.13,17.98,-0.85,-4.7275,134188.43,234118.33,5.27
603629.SH,20241011,7.4,40.4,14.2,15.0,17.0,19.0,20.0,17.23,33.82,16.82,17.19,16.0,16.21,17.13,-0.92,-5.3707,90265.06,149867.991,3.54
603629.SH,20241014,7.4,40.4,14.4,15.0,16.8,18.8,20.0,17.18,58.5,16.25,17.33,16.1,17.31,16.21,1.1,6.7859,109496.56,183614.637,4.3
603629.SH,20241015,7.4,40.4,14.4,15.2,17.0,18.8,19.8,17.2,43.09,17.2,17.55,16.7,16.77,17.31,-0.54,-3.1196,95017.11,162879.236,3.73
603629.SH,20241016,7.4,40.4,14.4,15.2,16.8,18.8,19.8,17.18,50.32,16.41,17.3,16.36,16.9,16.77,0.13,0.7752,80787.76,135792.779,3.17
603629.SH,20241017,7.4,40.4,14.4,15.4,17.0,18.6,19.8,17.21,45.8,17.4,18.06,16.92,16.97,16.9,0.07,0.4142,118029.85,205335.376,4.63
603629.SH,20241018,7.4,40.4,14.4,15.4,17.0,18.6,19.6,17.22,53.0,16.97,17.68,16.91,17.29,16.97,0.32,1.8857,121136.26,209468.838,4.75
603629.SH,20241021,7.4,40.4,14.4,15.6,17.2,18.4,19.6,17.28,68.79,17.29,17.94,17.25,17.62,17.29,0.33,1.9086,113410.4,200040.664,4.45
603629.SH,20241022,7.4,40.4,14.6,15.6,17.2,18.4,19.6,17.29,58.69,17.62,17.7,17.22,17.44,17.62,-0.18,-1.0216,80684.0,140500.541,3.17
603629.SH,20241023,7.4,40.4,14.6,15.8,17.2,18.2,19.6,17.33,54.87,17.5,17.88,17.3,17.37,17.44,-0.07,-0.4014,94749.96,166413.237,3.72
603629.SH,20241024,7.4,40.4,14.6,16.0,17.2,18.2,19.6,17.34,55.88,17.32,17.65,16.97,17.44,17.37,0.07,0.403,80889.4,139908.267,3.17
603629.SH,20241025,7.4,40.4,14.6,16.0,17.2,18.0,19.4,17.37,79.67,17.4,17.79,17.3,17.74,17.44,0.3,1.7202,88556.96,155698.773,3.48
603629.SH,20241028,7.4,40.4,14.6,16.2,17.4,18.0,19.4,17.4,83.85,17.67,18.07,17.61,18.07,17.74,0.33,1.8602,88203.44,157194.764,3.46
603629.SH,20241029,7.4,40.4,14.8,16.2,17.4,18.0,19.4,17.45,60.75,18.08,18.23,17.5,17.52,18.07,-0.55,-3.0437,97628.0,173854.126,3.83
603629.SH,20241030,7.4,40.4,14.8,16.4,17.4,18.0,19.4,17.47,75.37,17.41,17.97,17.39,17.87,17.52,0.35,1.9977,87878.96,156108.14,3.45
603629.SH,20241031,7.4,40.4,15.0,16.4,17.4,18.0,19.2,17.53,82.17,18.03,18.2,17.81,18.0,17.87,0.13,0.7275,110300.76,198741.317,4.33
603629.SH,20241101,7.4,40.4,15.0,16.6,17.4,18.0,19.2,17.52,13.77,17.89,17.92,16.66,16.68,18.0,-1.32,-7.3333,121306.78,208378.661,4.76
603629.SH,20241104,7.4,40.4,15.2,16.6,17.4,18.0,19.2,17.49,33.27,16.39,17.29,16.39,17.29,16.68,0.61,3.6571,66778.65,114346.746,2.62
603629.SH,20241105,7.4,40.4,15.2,16.6,17.4,17.8,19.2,17.5,74.51,17.29,17.84,17.19,17.76,17.29,0.47,2.7183,86525.27,152107.339,3.4
603629.SH,20241106,7.4,40.4,15.2,16.6,17.4,17.8,19.0,17.52,59.24,17.89,17.89,17.35,17.51,17.76,-0.25,-1.4077,86784.32,153135.322,3.41
603629.SH,20241107,7.4,40.4,15.4,16.8,17.4,17.8,19.0,17.53,76.95,17.52,17.78,17.25,17.78,17.51,0.27,1.542,77635.96,136946.329,3.05
603629.SH,20241108,7.4,40.4,15.4,16.8,17.4,18.0,19.0,17.57,84.7,17.95,18.27,17.78,17.93,17.78,0.15,0.8436,98530.76,177396.536,3.87
603629.SH,20241111,7.4,40.4,15.6,16.8,17.4,18.0,19.0,17.64,93.48,17.83,18.62,17.83,18.58,17.93,0.65,3.6252,108501.45,198944.485,4.26
603629.SH,20241112,7.4,40.4,15.8,17.0,17.6,18.4,18.8,17.74,84.78,18.6,18.95,18.13,18.32,18.58,-0.26,-1.3994,111731.72,206944.005,4.39
603629.SH,20241113,7.4,40.4,15.8,17.0,17.6,18.4,18.8,17.79,90.53,18.32,18.66,17.91,18.65,18.32,0.33,1.8013,102263.55,187277.846,4.01
603629.SH,20241114,7.4,40.4,16.2,17.0,17.8,18.6,19.0,17.92,88.87,18.65,19.3,18.46,18.89,18.65,0.24,1.2869,170786.87,321129.814,6.7
603629.SH,20241115,7.4,40.4,16.4,17.2,18.2,19.4,19.8,18.29,88.05,18.74,20.5,18.6,19.58,18.89,0.69,3.6527,304870.59,595387.293,11.97
603629.SH,20241118,7.4,40.4,16.6,17.2,18.2,19.2,19.8,18.32,23.13,19.53,19.58,17.62,17.62,19.58,-1.96,-10.0102,217530.54,396561.159,8.54
603629.SH,20241119,7.4,40.4,16.6,17.2,18.0,19.2,19.8,18.24,36.47,17.49,17.98,17.05,17.86,17.62,0.24,1.3621,124707.45,218283.906,4.89
603629.SH,20241120,7.4,40.4,16.8,17.2,18.0,19.2,19.8,18.23,54.51,17.69,18.45,17.58,18.13,17.86,0.27,1.5118,126857.76,230129.553,4.98
603629.SH,20241121,7.4,40.4,16.8,17.4,18.0,19.0,19.8,18.2,33.78,18.04,18.18,17.64,17.89,18.13,-0.24,-1.3238,99128.49,177444.653,3.89
603629.SH,20241122,7.4,40.4,16.8,17.4,18.0,19.0,19.8,18.17,5.3,17.88,18.35,17.01,17.06,17.89,-0.83,-4.6395,115765.16,205617.034,4.54
603629.SH,20241125,7.4,40.4,16.6,17.2,17.8,19.0,19.6,18.08,14.57,17.05,17.38,16.6,17.18,17.06,0.12,0.7034,92171.7,155445.962,3.62
603629.SH,20241126,7.4,40.4,16.6,17.0,17.8,18.8,19.6,18.04,6.41,17.02,17.34,16.81,16.81,17.18,-0.37,-2.1537,57793.57,98332.062,2.27
603629.SH,20241127,7.4,40.4,16.2,16.8,17.8,18.8,19.6,17.94,17.09,16.74,16.98,16.0,16.97,16.81,0.16,0.9518,79968.01,131406.795,3.14
603629.SH,20241128,7.4,40.4,16.4,16.8,17.8,18.8,19.6,17.89,7.53,16.96,17.04,16.61,16.64,16.97,-0.33,-1.9446,57028.0,95995.153,2.24
603629.SH,20241129,7.4,40.4,16.4,16.6,17.6,18.8,19.6,17.83,24.11,16.56,17.2,16.43,17.05,16.64,0.41,2.4639,79411.45,134253.417,3.12
603629.SH,20241202,7.4,40.4,16.4,16.8,17.6,18.8,19.6,17.81,38.95,17.12,17.49,17.12,17.4,17.05,0.35,2.0528,66870.8,116189.057,2.62
603629.SH,20241203,7.4,40.4,16.4,16.8,17.6,18.6,19.6,17.79,40.14,17.37,17.68,17.11,17.42,17.4,0.02,0.1149,66011.8,114812.172,2.59
603629.SH,20241204,7.4,40.4,16.4,16.8,17.6,18.6,19.6,17.78,49.79,17.42,17.86,17.32,17.54,17.42,0.12,0.6889,82898.0,145514.902,3.25
603629.SH,20241205,7.4,40.4,16.4,16.8,17.6,18.6,19.4,17.81,75.84,17.57,18.43,17.5,18.25,17.54,0.71,4.0479,118913.93,215208.923,4.67
603629.SH,20241206,7.4,40.4,16.4,16.8,17.6,18.4,19.4,17.83,65.47,18.2,18.29,17.9,18.07,18.25,-0.18,-0.9863,82429.46,149089.578,3.24
603629.SH,20241209,7.4,40.4,16.6,17.0,17.8,19.0,19.4,18.03,79.41,18.25,19.88,17.99,18.88,18.07,0.81,4.4826,228548.87,433571.291,8.97
603629.SH,20241210,7.4,40.4,16.6,17.0,18.0,19.0,19.4,18.17,71.58,19.2,19.32,18.65,18.73,18.88,-0.15,-0.7945,172452.59,327642.421,6.77
603629.SH,20241211,7.4,40.4,16.6,17.2,18.0,19.0,19.4,18.21,82.05,18.5,18.96,18.5,18.94,18.73,0.21,1.1212,100342.32,188593.227,3.94
603629.SH,20241212,7.4,40.4,16.6,17.2,18.2,19.0,19.4,18.25,71.46,19.0,19.04,18.5,18.76,18.94,-0.18,-0.9504,85444.86,159991.59,3.35
603629.SH,20241213,7.4,40.4,16.6,17.2,18.4,19.0,19.4,18.27,49.44,18.7,18.86,18.31,18.32,18.76,-0.44,-2.3454,75243.48,139790.248,2.95
603629.SH,20241216,7.4,40.4,16.6,17.2,18.2,19.0,19.4,18.26,37.89,18.25,18.32,17.8,17.95,18.32,-0.37,-2.0197,58756.96,106088.142,2.31
603629.SH,20241217,7.4,40.4,16.6,17.2,18.2,18.8,19.4,18.24,17.05,17.84,17.97,17.34,17.35,17.95,-0.6,-3.3426,63286.68,111200.273,2.48
603629.SH,20241218,7.4,40.4,16.6,17.2,18.0,18.8,19.4,18.2,34.25,17.39,18.0,17.13,17.77,17.35,0.42,2.4207,67795.6,119692.997,2.66
603629.SH,20241219,7.4,40.4,16.8,17.4,18.2,19.0,19.4,18.3,96.67,17.58,19.55,17.5,19.55,17.77,1.78,10.0169,209770.32,397463.269,8.23
603629.SH,20241220,7.4,40.4,17.0,17.6,18.8,20.2,20.4,18.91,74.6,19.61,20.76,19.53,20.01,19.55,0.46,2.3529,437560.11,886236.496,17.17
603629.SH,20241223,7.4,40.4,17.2,17.8,19.8,20.8,21.4,19.55,80.49,19.85,22.01,19.85,20.81,20.01,0.8,3.998,404177.95,846019.584,15.86
603629.SH,20241224,7.4,40.4,17.4,18.0,20.2,21.0,21.4,19.81,76.84,20.52,21.58,19.81,20.85,20.81,0.04,0.1922,310584.79,637266.008,12.19
603629.SH,20241225,7.4,40.4,17.4,18.4,20.4,21.4,22.0,20.25,86.53,20.68,22.89,20.52,21.6,20.85,0.75,3.5971,318060.13,679527.664,12.48
603629.SH,20241226,7.4,40.4,17.6,18.8,21.0,22.0,22.6,20.77,92.69,21.1,23.6,20.52,22.62,21.6,1.02,4.7222,367133.68,806964.517,14.41
603629.SH,20241227,7.4,40.4,17.8,19.8,21.2,22.0,22.6,20.97,37.19,22.2,22.2,20.89,20.98,22.62,-1.64,-7.2502,349827.02,757368.684,13.73
603629.SH,20241230,7.4,40.4,18.0,20.0,21.2,21.8,22.4,21.04,39.02,21.5,21.9,21.13,21.29,20.98,0.31,1.4776,210075.32,450358.332,8.24
603629.SH,20241231,7.4,40.4,18.4,20.0,21.2,21.8,22.4,20.94,12.55,21.03,21.18,19.86,19.91,21.29,-1.38,-6.4819,201292.62,410372.527,7.9
603629.SH,20250102,7.4,40.4,18.4,19.6,21.0,21.8,22.4,20.78,16.64,19.74,20.29,19.1,19.82,19.91,-0.09,-0.452,143973.12,285069.463,5.65
603629.SH,20250103,7.4,40.4,18.8,19.6,20.6,21.6,22.2,20.65,58.05,19.77,21.35,18.88,20.92,19.82,1.1,5.5499,307973.32,635464.277,12.09
603629.SH,20250106,7.4,40.4,19.0,19.8,20.8,21.6,22.0,20.76,93.98,20.33,22.09,19.71,22.04,20.92,1.12,5.3537,366096.68,781043.686,14.37
603629.SH,20250107,7.4,40.4,19.2,20.0,21.2,21.6,22.0,20.95,96.41,21.82,22.22,21.02,22.19,22.04,0.15,0.6806,311411.2,671682.729,12.22
603629.SH,20250108,7.4,40.4,19.4,20.2,21.4,22.0,22.6,21.25,91.11,21.68,22.98,21.41,22.49,22.19,0.3,1.352,316347.04,702413.633,12.42
603629.SH,20250109,7.4,40.4,19.6,20.4,21.4,22.2,22.6,21.4,23.31,22.0,22.9,21.09,21.11,22.49,-1.38,-6.1361,316009.52,694740.171,12.4
603629.SH,20250110,7.4,40.4,19.8,20.6,21.4,22.0,22.4,21.36,44.94,21.0,21.88,20.61,21.45,21.11,0.34,1.6106,251752.48,536729.684,9.88
603629.SH,20250113,7.4,40.4,19.4,19.8,21.2,22.0,22.4,21.12,20.22,20.67,20.69,19.31,20.14,21.45,-1.31,-6.1072,205269.44,406699.409,8.06
603629.SH,20250114,7.4,40.4,19.6,20.0,21.2,22.0,22.4,21.14,90.58,20.09,22.15,19.84,22.15,20.14,2.01,9.9801,266942.54,579825.643,10.48
603629.SH,20250115,7.4,40.4,19.6,20.4,21.6,22.4,22.6,21.56,57.09,22.5,23.1,22.01,22.08,22.15,-0.07,-0.316,420827.3,946499.232,16.52
603629.SH,20250116,7.4,40.4,19.8,20.8,22.0,22.6,22.8,21.79,97.3,22.08,23.22,21.7,23.01,22.08,0.93,4.212,382704.92,859762.844,15.02
603629.SH,20250117,7.4,40.4,19.8,21.0,22.0,22.4,22.8,21.88,71.65,22.58,22.59,22.0,22.49,23.01,-0.52,-2.2599,225464.96,503315.926,8.85
603629.SH,20250120,7.4,40.4,20.2,21.2,22.2,22.8,23.6,22.19,27.49,22.75,24.47,22.1,22.12,22.49,-0.37,-1.6452,346746.24,794784.604,13.61
603629.SH,20250121,7.4,40.4,20.2,21.4,22.2,22.8,23.4,22.18,59.08,22.12,22.75,21.66,22.51,22.12,0.39,1.7631,216687.92,482650.487,8.5
603629.SH,20250122,7.4,40.4,20.4,21.6,22.2,22.8,23.4,22.15,20.72,22.13,22.43,21.6,21.78,22.51,-0.73,-3.243,156033.68,342370.876,6.12
603629.SH,20250123,7.4,40.4,20.6,21.4,22.0,22.6,23.4,22.08,8.7,22.13,22.52,21.08,21.15,21.78,-0.63,-2.8926,175189.0,382456.245,6.88
603629.SH,20250124,7.4,40.4,20.8,21.4,22.0,22.6,23.2,22.01,32.92,21.15,22.3,21.0,21.84,21.15,0.69,3.2624,163101.8,354226.701,6.4
603629.SH,20250127,7.4,40.4,20.6,21.2,21.8,22.6,23.2,21.93,7.84,21.68,21.96,20.64,21.04,21.84,-0.8,-3.663,125168.88,266793.32,4.91
603629.SH,20250205,7.4,40.4,20.6,21.0,21.8,22.6,23.2,21.85,18.21,20.8,21.5,20.8,21.16,21.04,0.12,0.5703,112134.56,237236.366,4.4
603629.SH,20250206,7.4,40.4,20.8,21.0,21.8,22.4,23.0,21.86,85.86,21.0,23.0,20.6,22.54,21.16,1.38,6.5217,247089.66,548667.073,9.7
603629.SH,20250207,7.4,40.4,20.8,21.2,22.2,23.0,23.4,22.15,82.28,22.55,23.88,22.41,23.1,22.54,0.56,2.4845,330225.44,760841.007,12.96
603629.SH,20250210,7.4,40.4,21.0,21.4,22.6,24.0,24.4,22.69,98.12,23.7,25.1,23.26,24.75,23.1,1.65,7.1429,373148.49,897957.837,14.64
603629.SH,20250211,7.4,40.4,21.0,21.6,23.2,24.0,24.4,22.93,69.86,24.5,24.5,23.6,23.8,24.75,-0.95,-3.8384,268970.9,642183.346,10.56
603629.SH,20250212,7.4,40.4,21.0,21.8,23.6,24.4,24.8,23.31,81.57,24.27,25.47,23.75,24.38,23.8,0.58,2.437,318428.83,775822.297,12.5
