ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000592.SZ,20240924,0.2,24.6,1.2,1.2,1.4,1.6,1.6,1.42,79.99,1.49,1.54,1.48,1.54,1.48,0.06,4.0541,465610.76,70640.655,2.43
000592.SZ,20240925,0.2,24.6,1.2,1.2,1.4,1.6,1.6,1.43,76.66,1.55,1.64,1.55,1.58,1.54,0.04,2.5974,877146.69,139429.772,4.58
000592.SZ,20240926,0.2,24.6,1.2,1.2,1.4,1.6,1.6,1.44,95.41,1.57,1.66,1.56,1.65,1.58,0.07,4.4304,687624.34,110671.228,3.59
000592.SZ,20240927,0.2,24.6,1.2,1.4,1.4,1.6,1.8,1.46,93.68,1.68,1.74,1.63,1.72,1.65,0.07,4.2424,812068.1,136701.098,4.24
000592.SZ,20240930,0.2,24.6,1.2,1.4,1.4,1.8,1.8,1.5,96.73,1.83,1.89,1.77,1.89,1.72,0.17,9.8837,1112131.76,204726.223,5.81
000592.SZ,20241008,0.2,24.6,1.2,1.4,1.6,1.8,2.0,1.57,98.33,2.08,2.08,1.9,2.02,1.89,0.13,6.8783,1635526.0,325736.352,8.54
000592.SZ,20241009,0.2,24.6,1.2,1.4,1.6,1.8,2.0,1.61,86.16,1.95,1.96,1.82,1.82,2.02,-0.2,-9.901,1144836.37,213203.791,5.98
000592.SZ,20241010,0.2,24.6,1.2,1.4,1.6,1.8,2.0,1.62,57.84,1.82,1.85,1.76,1.8,1.82,-0.02,-1.0989,714318.08,129083.047,3.73
000592.SZ,20241011,0.2,24.6,1.2,1.4,1.6,1.8,2.0,1.62,57.19,1.79,1.81,1.71,1.72,1.8,-0.08,-4.4444,439382.0,77059.089,2.29
000592.SZ,20241014,0.2,24.6,1.2,1.4,1.6,1.8,2.0,1.64,86.68,1.79,1.88,1.77,1.84,1.72,0.12,6.9767,980919.24,180427.022,5.12
000592.SZ,20241015,0.2,24.6,1.2,1.4,1.8,1.8,2.0,1.66,86.73,1.81,1.94,1.76,1.85,1.84,0.01,0.5435,943129.04,174123.787,4.92
