ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600734.SH,20240924,0.3,11.6,2.3,2.6,2.8,3.2,3.8,2.95,77.95,2.97,3.15,2.94,3.08,2.95,0.13,4.4068,390433.08,118536.106,1.86
600734.SH,20240925,0.3,11.6,2.3,2.6,2.8,3.2,3.8,2.95,75.51,3.1,3.2,3.06,3.06,3.08,-0.02,-0.6494,381802.0,119479.099,1.82
600734.SH,20240926,0.3,11.6,2.3,2.6,2.9,3.2,3.8,2.96,82.3,3.05,3.18,3.02,3.15,3.06,0.09,2.9412,376188.0,117244.621,1.79
600734.SH,20240927,0.3,11.6,2.3,2.6,2.9,3.2,3.8,2.97,86.17,3.2,3.3,3.16,3.24,3.15,0.09,2.8571,289786.0,93416.165,1.38
600734.SH,20240930,0.3,11.6,2.4,2.6,2.9,3.3,3.7,3.0,93.39,3.33,3.53,3.33,3.46,3.24,0.22,6.7901,698475.6,239023.547,3.33
600734.SH,20241008,0.3,11.6,2.4,2.7,2.9,3.4,3.6,3.05,89.57,3.8,3.8,3.26,3.42,3.46,-0.04,-1.1561,1143242.49,399501.533,5.44
600734.SH,20241009,0.3,11.6,2.4,2.7,3.0,3.4,3.6,3.06,69.29,3.37,3.45,3.18,3.26,3.42,-0.16,-4.6784,815476.09,272521.046,3.88
600734.SH,20241010,0.3,11.6,2.4,2.7,3.1,3.4,3.6,3.11,86.28,3.49,3.59,3.38,3.45,3.26,0.19,5.8282,1262289.79,442699.266,6.01
600734.SH,20241011,0.3,11.6,2.4,2.8,3.1,3.4,3.5,3.12,50.28,3.27,3.4,3.11,3.15,3.45,-0.3,-8.6957,959830.86,309846.123,4.57
600734.SH,20241014,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.12,50.83,3.12,3.23,3.06,3.2,3.15,0.05,1.5873,486490.76,153031.32,2.32
600734.SH,20241015,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.12,51.26,3.19,3.27,3.1,3.13,3.2,-0.07,-2.1875,419726.72,132995.778,2.0
600734.SH,20241016,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.12,51.61,3.08,3.22,3.07,3.18,3.13,0.05,1.5974,349128.14,110119.595,1.66
600734.SH,20241017,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.12,53.26,3.13,3.18,3.05,3.12,3.18,-0.06,-1.8868,495448.31,154426.717,2.36
600734.SH,20241018,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.13,54.44,3.1,3.2,3.08,3.17,3.12,0.05,1.6026,374914.43,118042.502,1.79
600734.SH,20241021,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.13,54.0,3.19,3.21,3.12,3.13,3.17,-0.04,-1.2618,406103.0,128209.148,1.93
600734.SH,20241022,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.14,68.84,3.12,3.34,3.09,3.28,3.13,0.15,4.7923,639289.88,206013.137,3.01
600734.SH,20241023,0.3,11.6,2.5,2.8,3.1,3.4,3.5,3.14,80.08,3.26,3.38,3.23,3.31,3.28,0.03,0.9146,432240.4,142725.514,2.03
600734.SH,20241024,0.3,11.6,2.6,2.8,3.2,3.4,3.5,3.16,90.86,3.27,3.55,3.27,3.45,3.31,0.14,4.2296,845177.37,288918.852,3.98
600734.SH,20241025,0.3,11.6,2.6,2.8,3.2,3.5,3.5,3.19,96.95,3.49,3.59,3.43,3.57,3.45,0.12,3.4783,1091228.3,386155.05,5.13
600734.SH,20241028,0.3,11.6,2.6,2.9,3.3,3.5,3.6,3.23,97.49,3.62,3.76,3.48,3.68,3.57,0.11,3.0812,1248929.88,448445.115,5.87
600734.SH,20241029,0.3,11.6,2.7,2.9,3.3,3.5,3.6,3.26,53.97,3.68,3.68,3.34,3.4,3.68,-0.28,-7.6087,1306588.34,458446.972,6.15
600734.SH,20241030,0.3,11.6,2.7,2.9,3.3,3.5,3.6,3.27,51.83,3.36,3.48,3.33,3.4,3.4,0.0,0.0,775619.21,264032.38,3.65
600734.SH,20241031,0.3,11.6,2.7,3.0,3.3,3.5,3.6,3.27,36.3,3.4,3.4,3.22,3.3,3.4,-0.1,-2.9412,1362465.25,449731.347,6.41
600734.SH,20241101,0.3,11.6,2.8,3.0,3.3,3.5,3.6,3.25,15.95,3.27,3.27,3.07,3.1,3.3,-0.2,-6.0606,1186172.0,372019.186,5.58
