ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603530.SH,20240924,8.0,34.8,19.6,20.6,22.0,27.2,29.4,23.1,40.25,21.0,21.77,20.41,21.73,21.02,0.71,3.3777,59540.72,126614.299,1.39
603530.SH,20240925,8.0,34.8,19.6,20.6,21.8,27.0,29.4,23.06,47.28,21.78,22.92,21.56,22.12,21.73,0.39,1.7948,65429.1,145921.434,1.53
603530.SH,20240926,8.0,34.8,19.6,20.6,21.8,27.0,29.4,23.03,51.64,22.17,22.38,21.51,22.33,22.12,0.21,0.9494,61600.53,134833.058,1.44
603530.SH,20240927,8.0,34.8,19.6,20.6,21.8,27.0,29.4,23.01,63.6,22.71,23.65,22.4,23.27,22.33,0.94,4.2096,47880.87,110025.808,1.12
603530.SH,20240930,8.0,34.8,19.8,20.6,22.0,26.8,29.4,23.06,77.68,24.05,25.6,23.29,25.6,23.27,2.33,10.0129,97037.29,239602.399,2.26
603530.SH,20241008,8.0,34.8,19.8,20.6,22.4,26.8,29.2,23.23,78.18,28.04,28.13,24.72,26.24,25.6,0.64,2.5,125399.92,330164.519,2.93
603530.SH,20241009,8.0,34.8,19.8,20.6,22.4,26.6,29.0,23.27,57.29,25.5,25.5,23.62,23.62,26.24,-2.62,-9.9848,102414.11,248652.199,2.39
603530.SH,20241010,8.0,34.8,20.0,20.8,22.6,26.6,28.8,23.24,45.96,23.62,24.0,22.52,22.73,23.62,-0.89,-3.768,92611.96,213821.065,2.16
603530.SH,20241011,8.0,34.8,20.0,20.8,22.6,26.4,28.8,23.22,55.09,22.77,24.24,22.28,23.2,22.73,0.47,2.0678,90403.62,209995.795,2.11
603530.SH,20241014,8.0,34.8,20.0,20.8,22.8,26.2,28.6,23.22,70.19,22.86,24.86,22.55,24.58,23.2,1.38,5.9483,102047.44,245252.212,2.39
603530.SH,20241015,8.0,34.8,20.0,20.8,22.8,26.2,28.6,23.24,54.69,24.46,24.46,23.44,23.54,24.58,-1.04,-4.2311,65786.0,157535.788,1.54
603530.SH,20241016,8.0,34.8,20.0,20.8,22.8,26.2,28.6,23.24,54.88,23.22,23.95,22.91,23.55,23.54,0.01,0.0425,37090.48,87237.794,0.87
603530.SH,20241017,8.0,34.8,20.0,20.8,23.0,26.0,28.4,23.25,72.53,23.55,24.6,23.49,24.6,23.55,1.05,4.4586,71075.32,171834.191,1.66
603530.SH,20241018,8.0,34.8,20.2,20.8,23.2,25.8,28.4,23.3,76.54,24.37,25.5,23.85,24.87,24.6,0.27,1.0976,133902.74,331133.83,3.13
603530.SH,20241021,8.0,34.8,20.2,20.8,23.2,25.6,28.2,23.34,64.3,24.53,25.09,24.05,24.39,24.87,-0.48,-1.93,84252.46,206515.125,1.97
603530.SH,20241022,8.0,34.8,20.2,20.8,23.2,25.6,28.2,23.35,69.08,24.3,24.83,24.08,24.57,24.39,0.18,0.738,47488.02,116528.781,1.11
603530.SH,20241023,8.0,34.8,20.2,20.8,23.4,25.6,28.2,23.36,52.68,24.6,24.68,23.79,23.9,24.57,-0.67,-2.7269,59952.11,145263.963,1.4
603530.SH,20241024,8.0,34.8,20.2,21.0,23.4,25.4,28.2,23.36,58.43,23.68,24.17,23.53,24.02,23.9,0.12,0.5021,48552.67,115841.292,1.14
603530.SH,20241025,8.0,34.8,20.2,21.0,23.4,25.4,28.0,23.35,49.48,23.98,24.0,23.17,23.7,24.02,-0.32,-1.3322,65649.0,154564.415,1.54
603530.SH,20241028,8.0,34.8,20.2,21.0,23.2,25.2,28.0,23.33,50.5,23.7,23.71,23.11,23.68,23.7,-0.02,-0.0844,46202.0,108357.382,1.08
603530.SH,20241029,8.0,34.8,20.2,21.0,23.2,25.2,28.0,23.33,39.98,23.6,24.15,23.31,23.37,23.68,-0.31,-1.3091,58074.0,138242.009,1.36
603530.SH,20241030,8.0,34.8,20.2,21.0,23.2,25.2,28.0,23.33,40.34,23.34,23.84,22.71,23.22,23.37,-0.15,-0.6418,44810.67,103950.862,1.05
603530.SH,20241031,8.0,34.8,20.2,21.0,23.2,25.0,28.0,23.31,40.93,23.24,23.57,22.81,23.4,23.22,0.18,0.7752,39306.86,91520.782,0.92
