ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600810.SH,20240924,0.7,15.4,5.8,5.9,6.3,7.4,8.4,6.74,55.07,6.17,6.45,6.16,6.44,6.15,0.29,4.7154,76569.79,48368.516,0.73
600810.SH,20240925,0.7,15.4,5.8,5.9,6.3,7.4,8.4,6.74,54.23,6.5,6.7,6.49,6.53,6.44,0.09,1.3975,86468.32,56944.11,0.83
600810.SH,20240926,0.7,15.4,5.8,5.9,6.3,7.4,8.4,6.74,63.51,6.52,6.81,6.52,6.8,6.53,0.27,4.1348,79365.53,52940.733,0.76
600810.SH,20240927,0.7,15.4,5.8,5.9,6.4,7.4,8.4,6.74,67.39,6.93,6.98,6.83,6.97,6.8,0.17,2.5,68977.37,47684.635,0.66
600810.SH,20240930,0.7,15.4,5.8,5.9,6.4,7.4,8.4,6.77,81.74,7.18,7.51,7.0,7.4,6.97,0.43,6.1693,231632.4,168436.492,2.22
600810.SH,20241008,0.7,15.4,5.8,6.0,6.6,7.5,8.3,6.84,85.2,8.05,8.13,7.38,7.57,7.4,0.17,2.2973,339536.15,262689.055,3.25
600810.SH,20241009,0.7,15.4,5.8,6.0,6.6,7.5,8.2,6.86,55.62,7.48,7.48,6.88,6.89,7.57,-0.68,-8.9828,215371.36,153974.668,2.06
600810.SH,20241010,0.7,15.4,5.8,6.0,6.7,7.5,8.2,6.86,57.29,6.91,7.19,6.91,7.02,6.89,0.13,1.8868,119360.44,84414.594,1.14
600810.SH,20241011,0.7,15.4,5.8,6.0,6.7,7.5,8.2,6.87,51.67,7.02,7.09,6.68,6.75,7.02,-0.27,-3.8462,97544.71,66757.812,0.93
600810.SH,20241014,0.7,15.4,5.8,6.0,6.7,7.5,8.2,6.87,54.94,6.77,6.9,6.73,6.89,6.75,0.14,2.0741,73507.1,50135.729,0.7
