ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002481.SZ,20240924,1.7,19.6,3.9,3.9,4.2,4.7,5.1,4.5,43.79,4.08,4.19,4.08,4.19,4.06,0.13,3.202,95233.0,39452.208,0.85
002481.SZ,20240925,1.7,19.6,3.9,4.0,4.2,4.7,5.1,4.5,42.94,4.19,4.32,4.17,4.18,4.19,-0.01,-0.2387,144982.63,61522.898,1.3
002481.SZ,20240926,1.7,19.6,3.9,4.0,4.2,4.7,5.1,4.5,56.21,4.16,4.33,4.15,4.32,4.18,0.14,3.3493,198367.58,84283.41,1.77
002481.SZ,20240927,1.7,19.6,3.9,4.0,4.2,4.7,5.1,4.5,76.45,4.36,4.56,4.33,4.49,4.32,0.17,3.9352,335080.42,148383.124,3.0
002481.SZ,20240930,1.7,19.6,3.9,4.0,4.3,4.8,5.1,4.54,91.91,4.63,4.94,4.59,4.94,4.49,0.45,10.0223,500298.09,240986.842,4.47
002481.SZ,20241008,1.7,19.6,3.9,4.0,4.3,5.0,5.2,4.62,87.82,5.43,5.43,4.91,5.13,4.94,0.19,3.8462,566925.36,292915.233,5.07
002481.SZ,20241009,1.7,19.6,3.9,4.0,4.4,5.0,5.2,4.66,65.59,5.02,5.1,4.65,4.68,5.13,-0.45,-8.7719,416390.47,201619.935,3.72
002481.SZ,20241010,1.7,19.6,3.9,4.0,4.4,5.0,5.2,4.67,70.82,4.68,4.9,4.68,4.77,4.68,0.09,1.9231,314628.55,151529.798,2.81
002481.SZ,20241011,1.7,19.6,3.9,4.0,4.4,5.0,5.2,4.68,56.65,4.77,4.83,4.57,4.63,4.77,-0.14,-2.935,184956.36,86711.155,1.65
002481.SZ,20241014,1.7,19.6,3.9,4.0,4.4,4.9,5.2,4.68,62.94,4.58,4.7,4.57,4.69,4.63,0.06,1.2959,173308.86,80522.681,1.55
002481.SZ,20241015,1.7,19.6,3.9,4.0,4.5,4.9,5.2,4.69,54.19,4.67,4.73,4.6,4.62,4.69,-0.07,-1.4925,133668.03,62338.888,1.2
002481.SZ,20241016,1.7,19.6,3.9,4.0,4.5,4.9,5.2,4.69,53.96,4.58,4.67,4.55,4.62,4.62,0.0,0.0,113353.0,52297.342,1.01
002481.SZ,20241017,1.7,19.6,3.9,4.0,4.5,4.9,5.2,4.69,53.13,4.64,4.69,4.59,4.6,4.62,-0.02,-0.4329,107706.0,49958.399,0.96
002481.SZ,20241018,1.7,19.6,3.9,4.0,4.5,4.9,5.2,4.7,65.53,4.59,4.72,4.55,4.66,4.6,0.06,1.3043,212991.69,98508.143,1.9
002481.SZ,20241021,1.7,19.6,3.9,4.0,4.5,4.9,5.2,4.7,52.32,4.68,4.7,4.56,4.62,4.66,-0.04,-0.8584,222604.24,103126.963,1.99
002481.SZ,20241022,1.7,19.6,3.9,4.0,4.6,4.9,5.2,4.73,87.56,4.7,4.94,4.68,4.94,4.62,0.32,6.9264,565193.09,273642.041,5.05
002481.SZ,20241023,1.7,19.6,3.9,4.1,4.6,4.9,5.2,4.75,66.77,4.93,4.93,4.8,4.83,4.94,-0.11,-2.2267,373784.92,180838.799,3.34
002481.SZ,20241024,1.7,19.6,3.9,4.1,4.6,4.9,5.2,4.79,86.48,4.79,5.09,4.79,4.97,4.83,0.14,2.8986,512810.63,255110.173,4.59
002481.SZ,20241025,1.7,19.6,3.9,4.1,4.7,4.9,5.2,4.8,86.75,4.97,4.98,4.89,4.97,4.97,0.0,0.0,320310.31,157964.659,2.86
002481.SZ,20241028,1.7,19.6,3.9,4.2,4.7,5.0,5.2,4.85,92.72,5.05,5.25,5.01,5.21,4.97,0.24,4.829,449340.48,232016.374,4.02
002481.SZ,20241029,1.7,19.6,4.0,4.2,4.8,5.1,5.2,4.87,82.57,5.22,5.22,5.09,5.1,5.21,-0.11,-2.1113,308834.77,158856.694,2.76
002481.SZ,20241030,1.7,19.6,4.0,4.2,4.8,5.1,5.2,4.9,96.02,5.06,5.3,5.06,5.25,5.1,0.15,2.9412,372078.0,194311.176,3.33
002481.SZ,20241031,1.7,19.6,4.0,4.2,4.8,5.1,5.2,4.93,88.52,5.21,5.24,5.12,5.23,5.25,-0.02,-0.381,292974.0,152011.513,2.62
002481.SZ,20241101,1.7,19.6,4.0,4.2,4.8,5.1,5.3,4.95,70.04,5.2,5.35,5.09,5.11,5.21,-0.1,-1.9194,298272.85,155061.976,2.67
002481.SZ,20241104,1.7,19.6,4.0,4.3,4.8,5.1,5.2,4.97,68.72,5.07,5.12,5.02,5.11,5.11,0.0,0.0,264328.99,133923.626,2.36
002481.SZ,20241105,1.7,19.6,4.0,4.3,4.9,5.1,5.2,4.98,86.38,5.08,5.17,5.08,5.15,5.11,0.04,0.7828,268865.74,137875.883,2.4
002481.SZ,20241106,1.7,19.6,4.0,4.3,4.9,5.2,5.3,5.0,94.93,5.14,5.25,5.12,5.22,5.15,0.07,1.3592,278595.14,144612.844,2.49
002481.SZ,20241107,1.7,19.6,4.0,4.4,5.0,5.3,5.5,5.09,95.5,5.2,5.67,5.16,5.58,5.22,0.36,6.8966,759825.36,418067.65,6.8
002481.SZ,20241108,1.7,19.6,4.0,4.4,5.1,5.4,5.5,5.14,89.6,5.56,5.6,5.4,5.46,5.58,-0.12,-2.1505,494913.22,271743.579,4.43
002481.SZ,20241111,1.7,19.6,4.0,4.5,5.1,5.4,5.5,5.17,89.29,5.46,5.51,5.35,5.49,5.46,0.03,0.5495,353140.88,192067.502,3.16
002481.SZ,20241112,1.7,19.6,4.0,4.5,5.1,5.4,5.5,5.19,72.51,5.49,5.56,5.33,5.38,5.49,-0.11,-2.0036,315793.0,172510.09,2.82
002481.SZ,20241113,1.7,19.6,4.0,4.5,5.1,5.4,5.5,5.2,66.56,5.34,5.41,5.2,5.28,5.38,-0.1,-1.8587,237828.69,125760.485,2.13
002481.SZ,20241114,1.7,19.6,4.1,4.6,5.1,5.4,5.5,5.21,56.2,5.24,5.27,5.11,5.12,5.28,-0.16,-3.0303,212145.0,109844.366,1.9
002481.SZ,20241115,1.7,19.6,4.1,4.6,5.1,5.4,5.5,5.21,33.15,5.08,5.18,5.0,5.0,5.12,-0.12,-2.3438,223419.55,113951.58,2.0
002481.SZ,20241118,1.7,19.6,4.1,4.6,5.1,5.4,5.5,5.21,27.99,5.05,5.11,4.8,4.85,5.0,-0.15,-3.0,267318.61,132174.425,2.39
002481.SZ,20241119,1.7,19.6,4.1,4.6,5.1,5.4,5.5,5.2,37.0,4.87,4.92,4.81,4.92,4.85,0.07,1.4433,187705.05,91364.781,1.68
002481.SZ,20241120,1.7,19.6,4.1,4.6,5.1,5.4,5.5,5.2,37.8,4.9,5.02,4.89,5.01,4.92,0.09,1.8293,175815.5,87324.635,1.57
002481.SZ,20241121,1.7,19.6,4.1,4.6,5.1,5.4,5.5,5.2,38.56,4.98,5.05,4.91,4.98,5.01,-0.03,-0.5988,176467.0,87860.327,1.58
002481.SZ,20241122,1.7,19.6,4.1,4.6,5.0,5.4,5.5,5.19,18.75,4.98,5.0,4.73,4.75,4.98,-0.23,-4.6185,189597.5,92184.135,1.7
002481.SZ,20241125,1.7,19.6,4.1,4.7,5.0,5.4,5.5,5.18,30.92,4.75,4.84,4.71,4.84,4.75,0.09,1.8947,159203.38,76169.188,1.42
002481.SZ,20241126,1.7,19.6,4.2,4.7,5.0,5.4,5.5,5.18,31.12,4.82,4.99,4.81,4.91,4.84,0.07,1.4463,180129.0,88642.504,1.61
002481.SZ,20241127,1.7,19.6,4.2,4.7,5.0,5.4,5.5,5.18,45.31,4.91,4.94,4.75,4.93,4.91,0.02,0.4073,173326.0,83947.7,1.55
002481.SZ,20241128,1.7,19.6,4.2,4.7,5.0,5.4,5.5,5.17,55.89,4.93,5.05,4.91,5.02,4.93,0.09,1.8256,191627.0,95876.619,1.71
002481.SZ,20241129,1.7,19.6,4.2,4.7,5.0,5.4,5.5,5.18,77.81,5.02,5.26,5.0,5.23,5.02,0.21,4.1833,356476.95,185045.385,3.19
002481.SZ,20241202,1.7,19.6,4.2,4.7,5.0,5.4,5.5,5.2,82.76,5.21,5.39,5.21,5.38,5.23,0.15,2.8681,302158.9,161186.512,2.7
002481.SZ,20241203,1.7,19.6,4.2,4.7,5.1,5.4,5.5,5.21,74.15,5.33,5.38,5.25,5.3,5.38,-0.08,-1.487,224778.0,118995.011,2.01
002481.SZ,20241204,1.7,19.6,4.2,4.8,5.1,5.4,5.5,5.22,72.77,5.28,5.43,5.21,5.26,5.3,-0.04,-0.7547,273538.43,145305.169,2.45
002481.SZ,20241205,1.7,19.6,4.3,4.8,5.1,5.4,5.5,5.23,73.18,5.24,5.27,5.18,5.26,5.26,0.0,0.0,174972.85,91431.976,1.56
002481.SZ,20241206,1.7,19.6,4.3,4.8,5.1,5.4,5.5,5.24,83.79,5.23,5.4,5.21,5.37,5.26,0.11,2.0913,241620.65,128360.029,2.16
002481.SZ,20241209,1.7,19.6,4.3,4.8,5.1,5.4,5.6,5.27,97.19,5.38,5.91,5.31,5.91,5.37,0.54,10.0559,384094.85,218504.365,3.44
002481.SZ,20241210,1.7,19.6,4.3,4.8,5.1,5.4,5.8,5.3,96.93,6.5,6.5,6.5,6.5,5.91,0.59,9.9831,100672.3,65436.995,0.9
002481.SZ,20241211,1.7,19.6,4.7,4.9,6.4,6.9,7.1,6.03,64.98,6.99,7.15,6.58,6.77,6.5,0.27,4.1538,2684417.67,1845031.842,24.01
002481.SZ,20241212,1.7,19.6,4.8,5.2,6.7,7.0,7.2,6.42,87.9,6.64,7.45,6.23,7.12,6.77,0.35,5.1699,2534355.3,1713170.097,22.67
002481.SZ,20241213,1.7,19.6,4.9,5.3,6.6,6.9,7.2,6.5,20.52,6.7,6.9,6.41,6.41,7.12,-0.71,-9.9719,1649735.95,1097516.798,14.75
002481.SZ,20241216,1.7,19.6,4.9,5.6,6.6,6.9,7.1,6.49,15.8,6.34,6.69,6.17,6.2,6.41,-0.21,-3.2761,1059250.33,679967.02,9.47
002481.SZ,20241217,1.7,19.6,5.0,5.9,6.5,6.9,7.1,6.43,13.84,6.19,6.25,5.84,5.87,6.2,-0.33,-5.3226,832700.67,496459.697,7.45
002481.SZ,20241218,1.7,19.6,5.0,5.8,6.5,6.8,7.1,6.39,12.64,5.9,5.93,5.8,5.82,5.87,-0.05,-0.8518,456695.75,266554.828,4.08
002481.SZ,20241219,1.7,19.6,5.1,5.7,6.4,6.8,7.1,6.34,16.37,5.8,5.86,5.66,5.77,5.82,-0.05,-0.8591,416903.81,239446.194,3.73
002481.SZ,20241220,1.7,19.6,5.1,5.7,6.3,6.8,7.1,6.31,28.45,5.8,5.92,5.78,5.85,5.77,0.08,1.3865,421620.3,247362.736,3.77
002481.SZ,20241223,1.7,19.6,5.1,5.7,6.2,6.8,7.1,6.26,10.87,5.85,5.87,5.5,5.56,5.85,-0.29,-4.9573,454255.55,257696.638,4.06
002481.SZ,20241224,1.7,19.6,5.2,5.6,6.2,6.8,7.0,6.23,18.7,5.54,5.65,5.52,5.63,5.56,0.07,1.259,285592.78,159445.406,2.55
002481.SZ,20241225,1.7,19.6,5.2,5.5,6.0,6.8,7.0,6.18,17.94,5.62,5.64,5.35,5.57,5.63,-0.06,-1.0657,365273.11,200903.88,3.27
002481.SZ,20241226,1.7,19.6,5.2,5.5,5.9,6.8,7.0,6.16,27.37,5.56,5.7,5.52,5.69,5.57,0.12,2.1544,288092.8,162629.393,2.58
002481.SZ,20241227,1.7,19.6,5.2,5.5,5.9,6.7,7.0,6.13,28.35,5.72,5.75,5.65,5.7,5.69,0.01,0.1757,336971.99,192342.239,3.01
002481.SZ,20241230,1.7,19.6,5.2,5.5,5.8,6.7,7.0,6.1,20.24,5.69,5.69,5.5,5.53,5.7,-0.17,-2.9825,299019.0,166383.559,2.67
002481.SZ,20241231,1.7,19.6,5.3,5.5,5.8,6.7,7.0,6.08,6.32,5.51,5.6,5.4,5.41,5.53,-0.12,-2.17,266354.19,146692.057,2.38
002481.SZ,20250102,1.7,19.6,5.3,5.5,5.8,6.7,7.0,6.04,27.29,5.44,5.71,5.42,5.53,5.41,0.12,2.2181,500656.0,279890.065,4.48
002481.SZ,20250103,1.7,19.6,5.2,5.4,5.7,6.7,7.0,5.97,2.6,5.55,5.66,5.07,5.11,5.53,-0.42,-7.5949,546038.0,289524.306,4.88
002481.SZ,20250106,1.7,19.6,4.9,5.3,5.7,6.6,6.9,5.93,5.04,5.05,5.1,4.84,5.0,5.11,-0.11,-2.1526,281667.0,140845.741,2.52
002481.SZ,20250107,1.7,19.6,4.9,5.2,5.6,6.6,6.9,5.9,9.94,5.02,5.11,4.96,5.11,5.0,0.11,2.2,181417.0,91137.589,1.62
