ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000555.SZ,20240924,0.5,61.5,8.0,8.0,8.5,11.5,13.0,9.61,77.53,8.66,9.54,8.62,9.54,8.67,0.87,10.0346,299891.67,274420.242,3.08
000555.SZ,20240925,0.5,61.5,8.0,8.0,9.0,11.0,13.0,9.74,65.39,10.25,10.49,9.85,9.94,9.54,0.4,4.1929,894293.63,919772.879,9.2
000555.SZ,20240926,0.5,61.5,8.0,8.0,9.0,10.5,13.0,9.77,66.5,9.68,9.99,9.56,9.92,9.94,-0.02,-0.2012,630903.36,615721.768,6.49
000555.SZ,20240927,0.5,61.5,8.0,8.0,9.5,10.5,13.0,9.85,83.17,9.89,10.44,9.89,10.3,9.92,0.38,3.8306,615919.31,625923.732,6.33
000555.SZ,20240930,0.5,61.5,8.0,8.5,10.0,11.0,12.5,10.09,88.27,10.94,11.33,10.62,11.33,10.3,1.03,10.0,780887.58,863529.409,8.03
000555.SZ,20241008,0.5,61.5,8.0,8.5,10.0,12.0,12.5,10.45,92.53,12.46,12.46,11.5,12.46,11.33,1.13,9.9735,785503.18,955335.603,8.08
000555.SZ,20241009,0.5,61.5,8.0,8.5,10.0,12.0,12.5,10.63,66.31,12.09,12.22,11.25,11.31,12.46,-1.15,-9.2295,550387.24,646974.556,5.66
000555.SZ,20241010,0.5,61.5,8.0,8.5,10.5,12.0,12.5,10.69,52.43,11.31,11.68,10.91,10.97,11.31,-0.34,-3.0062,330614.68,370585.383,3.4
000555.SZ,20241011,0.5,61.5,8.0,8.5,10.5,12.0,12.5,10.71,52.92,10.77,11.03,10.43,10.58,10.97,-0.39,-3.5552,265875.13,284717.345,2.73
000555.SZ,20241014,0.5,61.5,8.0,8.5,10.5,12.0,12.5,10.72,69.22,10.71,11.15,10.26,11.04,10.58,0.46,4.3478,297374.5,317310.973,3.06
000555.SZ,20241015,0.5,61.5,8.0,8.5,11.0,12.0,12.5,10.79,49.79,10.95,11.58,10.71,10.81,11.04,-0.23,-2.0833,390037.7,433766.838,4.01
000555.SZ,20241016,0.5,61.5,8.0,8.5,11.0,12.0,12.5,10.84,68.06,10.61,11.52,10.59,11.1,10.81,0.29,2.6827,379052.78,422272.41,3.9
000555.SZ,20241017,0.5,61.5,8.0,9.0,11.0,12.0,12.5,10.91,66.05,11.3,11.52,11.05,11.23,11.1,0.13,1.1712,385954.65,436744.389,3.97
000555.SZ,20241018,0.5,61.5,8.0,9.0,11.0,12.0,12.0,10.96,65.62,11.11,11.6,10.9,11.35,11.23,0.12,1.0686,463776.07,522268.382,4.77
000555.SZ,20241021,0.5,61.5,8.0,9.5,11.0,12.0,12.0,11.04,84.86,11.41,11.79,11.41,11.77,11.35,0.42,3.7004,435246.73,504638.315,4.48
000555.SZ,20241022,0.5,61.5,8.5,9.5,11.0,11.5,12.0,11.09,59.43,11.67,11.67,11.15,11.3,11.77,-0.47,-3.9932,369889.91,420035.188,3.8
000555.SZ,20241023,0.5,61.5,8.5,9.5,11.0,11.5,12.0,11.14,55.83,11.3,11.85,11.18,11.42,11.3,0.12,1.0619,366418.57,424061.168,3.77
000555.SZ,20241024,0.5,61.5,8.5,9.5,11.0,11.5,12.0,11.18,53.63,11.5,11.72,11.38,11.4,11.42,-0.02,-0.1751,244247.02,280929.38,2.51
000555.SZ,20241025,0.5,61.5,8.5,10.0,11.5,12.0,12.0,11.3,79.46,11.45,12.48,11.42,11.86,11.4,0.46,4.0351,599615.57,722798.733,6.17
000555.SZ,20241028,0.5,61.5,8.5,10.0,11.5,12.0,12.0,11.35,79.03,11.93,11.98,11.7,11.82,11.86,-0.04,-0.3373,367607.35,434849.086,3.78
000555.SZ,20241029,0.5,61.5,8.5,10.0,11.5,12.0,12.5,11.46,97.35,11.77,13.0,11.76,13.0,11.82,1.18,9.9831,465909.36,579317.176,4.79
000555.SZ,20241030,0.5,61.5,8.5,10.5,11.5,12.5,13.0,11.7,78.83,13.24,13.24,12.3,12.48,13.0,-0.52,-4.0,767174.63,966187.83,7.89
000555.SZ,20241031,0.5,61.5,8.5,10.5,11.5,12.5,13.0,11.77,79.74,12.2,12.43,11.9,12.28,12.48,-0.2,-1.6026,586993.3,714542.83,6.04
000555.SZ,20241101,0.5,61.5,9.0,11.0,11.5,12.5,13.0,11.78,29.32,12.15,12.15,11.05,11.05,12.28,-1.23,-10.0163,554276.69,634628.888,5.7
000555.SZ,20241104,0.5,61.5,9.0,11.0,11.5,12.5,13.0,11.78,82.98,10.83,12.16,10.83,12.16,11.05,1.11,10.0452,466744.98,539775.755,4.8
000555.SZ,20241105,0.5,61.5,9.5,11.0,11.5,12.5,13.0,11.88,80.13,12.17,12.67,11.9,12.47,12.16,0.31,2.5493,638889.01,794235.639,6.57
000555.SZ,20241106,0.5,61.5,9.5,11.0,12.0,12.5,13.0,11.96,73.83,12.4,12.99,12.3,12.5,12.47,0.03,0.2406,446126.15,564216.415,4.59
000555.SZ,20241107,0.5,61.5,9.5,11.0,12.0,12.5,13.0,12.02,93.07,12.42,12.78,12.16,12.75,12.5,0.25,2.0,385102.7,480914.075,3.96
000555.SZ,20241108,0.5,61.5,10.0,11.0,12.0,12.5,13.0,12.11,88.71,12.89,13.2,12.65,12.69,12.75,-0.06,-0.4706,417781.01,539633.732,4.3
000555.SZ,20241111,0.5,61.5,10.0,11.0,12.0,13.0,13.0,12.21,96.64,12.59,13.2,12.58,13.14,12.69,0.45,3.5461,394733.24,513870.377,4.06
000555.SZ,20241112,0.5,61.5,10.0,11.0,12.0,13.0,13.5,12.34,74.49,13.27,13.85,12.83,12.97,13.14,-0.17,-1.2938,513160.4,683690.547,5.28
000555.SZ,20241113,0.5,61.5,10.0,11.5,12.0,13.0,13.5,12.39,72.55,12.87,13.04,12.5,12.71,12.97,-0.26,-2.0046,297525.0,378822.212,3.06
000555.SZ,20241114,0.5,61.5,10.5,11.5,12.5,13.0,13.5,12.42,71.83,12.74,13.29,12.46,12.52,12.71,-0.19,-1.4949,314663.22,404160.092,3.24
000555.SZ,20241115,0.5,61.5,10.5,11.5,12.5,13.0,13.5,12.44,47.14,12.48,12.75,12.0,12.04,12.52,-0.48,-3.8339,284381.74,353112.802,2.92
000555.SZ,20241118,0.5,61.5,10.5,11.5,12.5,13.0,13.5,12.41,12.9,12.11,12.22,11.28,11.37,12.04,-0.67,-5.5648,251352.0,289858.501,2.59
000555.SZ,20241119,0.5,61.5,10.5,11.5,12.0,13.0,13.5,12.38,31.02,11.41,11.69,11.26,11.68,11.37,0.31,2.7265,187714.0,214834.063,1.93
000555.SZ,20241120,0.5,61.5,10.5,11.5,12.0,13.0,13.5,12.38,53.91,11.81,12.5,11.64,12.18,11.68,0.5,4.2808,324543.0,395476.331,3.34
000555.SZ,20241121,0.5,61.5,11.0,11.5,12.0,13.0,13.5,12.37,55.4,12.18,12.45,11.91,12.12,12.18,-0.06,-0.4926,220039.93,266601.435,2.26
000555.SZ,20241122,0.5,61.5,11.0,11.5,12.0,13.0,13.5,12.37,28.11,12.1,12.49,11.65,11.67,12.12,-0.45,-3.7129,250040.93,302710.016,2.57
000555.SZ,20241125,0.5,61.5,11.0,11.5,12.0,13.0,13.5,12.35,30.12,11.71,12.06,11.44,11.88,11.67,0.21,1.7995,287010.0,338253.592,2.95
000555.SZ,20241126,0.5,61.5,11.0,11.5,12.0,13.0,13.5,12.34,29.0,12.25,12.38,11.78,11.78,11.88,-0.1,-0.8418,303172.0,364661.828,3.12
000555.SZ,20241127,0.5,61.5,11.0,11.5,12.0,13.0,13.0,12.3,32.92,11.75,11.87,11.2,11.86,11.78,0.08,0.6791,295623.64,339198.522,3.04
000555.SZ,20241128,0.5,61.5,11.0,11.5,12.0,13.0,13.0,12.34,61.02,12.3,12.56,12.02,12.05,11.86,0.19,1.602,540430.78,663633.941,5.56
000555.SZ,20241129,0.5,61.5,11.0,11.5,12.0,13.0,13.0,12.33,63.07,11.99,12.3,11.78,12.15,12.05,0.1,0.8299,390250.23,471023.628,4.01
000555.SZ,20241202,0.5,61.5,11.0,11.5,12.0,12.5,13.0,12.33,64.57,12.03,12.26,11.94,12.25,12.15,0.1,0.823,311507.22,378518.277,3.2
000555.SZ,20241203,0.5,61.5,11.0,11.5,12.0,12.5,13.0,12.33,65.79,12.24,12.34,11.86,12.15,12.25,-0.1,-0.8163,269696.0,325938.758,2.77
