ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002792.SZ,20240924,7.2,32.8,10.2,10.4,10.8,11.0,11.2,10.68,92.84,10.8,11.02,10.6,11.02,10.84,0.18,1.6605,204569.41,222195.794,6.53
002792.SZ,20240925,7.2,32.8,10.2,10.4,10.8,11.0,11.2,10.75,87.6,11.1,11.26,10.87,11.12,11.02,0.1,0.9074,268793.45,298323.023,8.58
002792.SZ,20240926,7.2,32.8,10.2,10.4,10.8,11.2,11.2,10.79,96.98,10.99,11.23,10.91,11.23,11.12,0.11,0.9892,200010.97,222040.687,6.38
002792.SZ,20240927,7.2,32.8,10.2,10.4,11.0,11.4,11.6,10.92,96.85,11.27,11.85,11.2,11.71,11.23,0.48,4.2743,301422.32,347269.682,9.62
002792.SZ,20240930,7.2,32.8,10.4,10.6,11.0,12.2,12.6,11.27,97.79,12.15,12.84,11.81,12.77,11.71,1.06,9.0521,405589.38,501902.209,12.94
002792.SZ,20241008,7.2,32.8,10.4,10.6,11.6,13.4,13.8,11.9,94.14,14.04,14.04,12.69,13.8,12.77,1.03,8.0658,464304.65,627884.086,14.82
002792.SZ,20241009,7.2,32.8,10.4,10.8,12.6,13.4,13.8,12.24,55.26,13.13,13.86,12.83,13.01,13.8,-0.79,-5.7246,390423.81,515443.229,12.46
002792.SZ,20241010,7.2,32.8,10.4,10.8,12.8,13.4,13.8,12.32,47.99,13.2,13.34,12.6,12.65,13.01,-0.36,-2.7671,205539.57,264794.961,6.56
002792.SZ,20241011,7.2,32.8,10.6,11.0,12.6,13.4,13.6,12.3,33.79,12.58,12.58,11.66,11.87,12.65,-0.78,-6.166,163908.03,198054.4,5.23
002792.SZ,20241014,7.2,32.8,10.6,11.0,12.2,13.4,13.6,12.27,44.27,11.81,12.18,11.78,12.14,11.87,0.27,2.2746,138678.7,166695.405,4.43
002792.SZ,20241015,7.2,32.8,10.6,11.0,12.2,13.4,13.6,12.26,30.95,12.2,12.5,11.99,12.0,12.14,-0.14,-1.1532,160642.57,197092.234,5.12
002792.SZ,20241016,7.2,32.8,10.6,11.0,12.2,13.2,13.6,12.24,32.9,11.72,12.06,11.71,11.91,12.0,-0.09,-0.75,95898.36,113983.578,3.06
002792.SZ,20241017,7.2,32.8,10.6,11.2,12.2,13.2,13.6,12.22,47.43,11.99,12.33,11.99,12.06,11.91,0.15,1.2594,146528.05,178126.621,4.67
002792.SZ,20241018,7.2,32.8,10.6,11.2,12.2,13.2,13.6,12.23,67.21,11.94,12.68,11.88,12.42,12.06,0.36,2.9851,217082.32,269243.625,6.92
002792.SZ,20241021,7.2,32.8,10.8,11.6,12.4,13.2,13.6,12.32,75.45,12.45,13.1,12.45,12.88,12.42,0.46,3.7037,249305.63,319709.062,7.94
002792.SZ,20241022,7.2,32.8,10.8,11.8,12.6,13.0,13.4,12.39,73.82,13.1,13.19,12.64,12.82,12.88,-0.06,-0.4658,199240.29,255973.825,6.35
002792.SZ,20241023,7.2,32.8,11.0,12.0,12.8,13.4,13.8,12.68,85.39,12.73,14.07,12.67,13.55,12.82,0.73,5.6942,460275.66,620331.186,14.67
002792.SZ,20241024,7.2,32.8,11.2,12.0,13.2,13.6,13.8,12.9,75.71,13.56,13.93,13.3,13.44,13.55,-0.11,-0.8118,405201.13,551077.854,12.91
002792.SZ,20241025,7.2,32.8,11.4,12.2,13.4,13.8,13.8,13.05,62.86,13.44,13.96,13.43,13.6,13.44,0.16,1.1905,299271.93,410221.168,9.54
