ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600815.SH,20240924,0.4,22.6,1.6,1.8,2.2,2.6,2.8,2.27,49.73,1.99,2.04,1.99,2.03,1.99,0.04,2.0101,134345.4,27143.77,0.76
600815.SH,20240925,0.4,22.6,1.6,1.8,2.0,2.6,2.8,2.27,50.79,2.04,2.09,2.01,2.03,2.03,0.0,0.0,388399.0,79634.774,2.19
600815.SH,20240926,0.4,22.6,1.6,1.8,2.0,2.6,2.8,2.26,51.68,2.02,2.08,2.01,2.07,2.03,0.04,1.9704,332268.47,68094.916,1.87
600815.SH,20240927,0.4,22.6,1.6,1.8,2.0,2.6,2.8,2.26,52.11,2.09,2.14,2.07,2.14,2.07,0.07,3.3816,172181.88,36225.52,0.97
600815.SH,20240930,0.4,22.6,1.6,1.8,2.2,2.4,2.8,2.27,75.62,2.24,2.34,2.15,2.33,2.14,0.19,8.8785,516764.9,116671.784,2.91
600815.SH,20241008,0.4,22.6,1.6,1.8,2.2,2.4,2.8,2.28,75.44,2.55,2.55,2.25,2.35,2.33,0.02,0.8584,857557.26,202993.012,4.83
600815.SH,20241009,0.4,22.6,1.6,1.8,2.2,2.4,2.8,2.28,44.75,2.31,2.31,2.12,2.12,2.35,-0.23,-9.7872,498123.23,108921.913,2.81
600815.SH,20241010,0.4,22.6,1.6,1.8,2.2,2.4,2.8,2.28,46.05,2.14,2.18,2.1,2.15,2.12,0.03,1.4151,396355.55,84958.333,2.23
600815.SH,20241011,0.4,22.6,1.6,1.8,2.2,2.4,2.8,2.27,46.92,2.14,2.15,2.06,2.08,2.15,-0.07,-3.2558,270369.11,56951.303,1.52
600815.SH,20241014,0.4,22.6,1.6,1.8,2.2,2.4,2.8,2.27,47.75,2.11,2.13,2.07,2.12,2.08,0.04,1.9231,272432.0,57395.312,1.54
600815.SH,20241015,0.4,22.6,1.8,1.8,2.2,2.4,2.8,2.27,47.41,2.11,2.27,2.1,2.17,2.12,0.05,2.3585,597213.21,129717.884,3.37
600815.SH,20241016,0.4,22.6,1.8,1.8,2.2,2.4,2.8,2.27,48.65,2.15,2.17,2.11,2.14,2.17,-0.03,-1.3825,411346.01,88216.144,2.32
600815.SH,20241017,0.4,22.6,1.8,1.8,2.2,2.4,2.8,2.27,49.6,2.14,2.16,2.08,2.08,2.14,-0.06,-2.8037,327811.0,69180.524,1.85
600815.SH,20241018,0.4,22.6,1.8,1.8,2.0,2.4,2.8,2.26,50.41,2.07,2.14,2.04,2.11,2.08,0.03,1.4423,291809.5,60940.503,1.64
600815.SH,20241021,0.4,22.6,1.8,1.8,2.0,2.4,2.8,2.26,50.98,2.14,2.14,2.1,2.12,2.11,0.01,0.4739,217253.0,46077.054,1.22
600815.SH,20241022,0.4,22.6,1.8,1.8,2.0,2.4,2.8,2.26,50.73,2.12,2.2,2.11,2.17,2.12,0.05,2.3585,276031.06,59686.61,1.56
600815.SH,20241023,0.4,22.6,1.8,1.8,2.2,2.4,2.8,2.27,82.58,2.17,2.26,2.17,2.23,2.17,0.06,2.765,384277.27,85462.957,2.17
600815.SH,20241024,0.4,22.6,1.8,1.8,2.2,2.4,2.8,2.27,82.63,2.22,2.24,2.19,2.23,2.23,0.0,0.0,182677.61,40403.083,1.03
600815.SH,20241025,0.4,22.6,1.8,1.8,2.2,2.4,2.8,2.27,82.35,2.24,2.27,2.22,2.25,2.23,0.02,0.8969,270003.99,60686.619,1.52
600815.SH,20241028,0.4,22.6,1.8,2.0,2.2,2.4,2.8,2.28,81.91,2.24,2.39,2.23,2.38,2.25,0.13,5.7778,443406.58,103047.661,2.5
600815.SH,20241029,0.4,22.6,1.8,2.0,2.2,2.4,2.8,2.3,91.18,2.37,2.61,2.28,2.41,2.38,0.03,1.2605,766644.35,185593.339,4.32
600815.SH,20241030,0.4,22.6,1.8,2.0,2.2,2.4,2.8,2.32,91.74,2.37,2.53,2.35,2.47,2.41,0.06,2.4896,665503.16,164106.838,3.75
600815.SH,20241031,0.4,22.6,1.8,2.0,2.2,2.4,2.8,2.34,90.16,2.46,2.62,2.41,2.59,2.47,0.12,4.8583,761556.87,193589.915,4.29
600815.SH,20241101,0.4,22.6,1.8,2.0,2.2,2.4,2.8,2.36,88.93,2.59,2.64,2.44,2.45,2.59,-0.14,-5.4054,646770.02,162498.898,3.65
600815.SH,20241104,0.4,22.6,1.8,2.0,2.2,2.4,2.6,2.36,89.35,2.45,2.5,2.39,2.48,2.45,0.03,1.2245,395239.37,96469.576,2.23
600815.SH,20241105,0.4,22.6,1.8,2.0,2.2,2.4,2.6,2.37,89.85,2.49,2.56,2.47,2.55,2.48,0.07,2.8226,485709.01,122047.065,2.74
600815.SH,20241106,0.4,22.6,1.8,2.0,2.2,2.4,2.6,2.39,88.9,2.54,2.63,2.52,2.57,2.55,0.02,0.7843,505174.57,129648.868,2.85
600815.SH,20241107,0.4,22.6,1.8,2.0,2.4,2.6,2.6,2.41,95.56,2.56,2.72,2.54,2.69,2.57,0.12,4.6693,557342.19,147685.487,3.14
600815.SH,20241108,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.44,93.84,2.69,2.86,2.64,2.78,2.69,0.09,3.3457,687789.66,188679.905,3.88
600815.SH,20241111,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.46,92.67,2.79,2.85,2.69,2.74,2.78,-0.04,-1.4388,505551.01,138698.854,2.85
600815.SH,20241112,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.47,92.95,2.72,2.75,2.6,2.65,2.74,-0.09,-3.2847,441119.1,118030.179,2.49
600815.SH,20241113,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.48,93.13,2.64,2.69,2.59,2.65,2.65,0.0,0.0,278904.27,73376.912,1.57
600815.SH,20241114,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.48,69.75,2.65,2.66,2.53,2.54,2.65,-0.11,-4.1509,298841.8,77068.52,1.68
600815.SH,20241115,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.48,70.57,2.54,2.56,2.49,2.5,2.54,-0.04,-1.5748,252797.0,63719.418,1.42
600815.SH,20241118,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.48,71.46,2.49,2.56,2.46,2.53,2.5,0.03,1.2,281502.0,70673.112,1.59
600815.SH,20241119,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.48,72.27,2.52,2.55,2.46,2.54,2.53,0.01,0.3953,264011.0,65938.559,1.49
600815.SH,20241120,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.49,72.33,2.53,2.61,2.5,2.6,2.54,0.06,2.3622,332175.69,85445.341,1.87
600815.SH,20241121,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.5,94.04,2.59,2.66,2.56,2.63,2.6,0.03,1.1538,285130.0,74469.345,1.61
600815.SH,20241122,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.5,68.98,2.63,2.7,2.53,2.55,2.63,-0.08,-3.0418,340457.0,89246.79,1.92
600815.SH,20241125,0.4,22.6,1.8,2.0,2.4,2.6,2.8,2.5,69.71,2.53,2.59,2.5,2.59,2.55,0.04,1.5686,220003.0,56157.996,1.24
600815.SH,20241126,0.4,22.6,2.0,2.0,2.4,2.6,2.8,2.51,69.78,2.6,2.63,2.56,2.58,2.59,-0.01,-0.3861,182137.0,47304.1,1.03
600815.SH,20241127,0.4,22.6,2.0,2.2,2.4,2.6,2.8,2.51,94.54,2.59,2.7,2.52,2.65,2.58,0.07,2.7132,357860.73,94200.451,2.02
600815.SH,20241128,0.4,22.6,2.0,2.2,2.4,2.6,2.8,2.52,93.7,2.64,2.75,2.62,2.71,2.65,0.06,2.2642,350236.18,94780.745,1.97
600815.SH,20241129,0.4,22.6,2.0,2.2,2.4,2.6,2.8,2.53,93.16,2.69,2.71,2.64,2.68,2.71,-0.03,-1.107,234868.73,62858.663,1.32
600815.SH,20241202,0.4,22.6,2.0,2.2,2.4,2.6,2.8,2.54,92.44,2.7,2.78,2.69,2.78,2.68,0.1,3.7313,319282.0,87974.553,1.8
600815.SH,20241203,0.4,22.6,2.0,2.2,2.4,2.6,2.8,2.56,98.21,2.82,3.06,2.81,3.06,2.78,0.28,10.0719,403269.52,120825.488,2.27
600815.SH,20241204,0.4,22.6,2.0,2.2,2.6,3.0,3.2,2.71,87.86,3.35,3.37,2.99,3.07,3.06,0.01,0.3268,2154731.01,692100.77,12.15
600815.SH,20241205,0.4,22.6,2.0,2.2,2.6,3.0,3.2,2.75,89.17,2.96,3.09,2.91,3.02,3.07,-0.05,-1.6287,1084659.98,324964.619,6.11
600815.SH,20241206,0.4,22.6,2.0,2.4,2.6,3.0,3.2,2.77,90.19,3.0,3.1,2.89,3.06,3.02,0.04,1.3245,954709.41,286037.556,5.38
600815.SH,20241209,0.4,22.6,2.0,2.4,2.8,3.0,3.2,2.79,74.53,3.09,3.13,2.93,2.95,3.06,-0.11,-3.5948,632946.0,189823.121,3.57
600815.SH,20241210,0.4,22.6,2.0,2.4,2.8,3.0,3.2,2.8,74.51,3.03,3.06,2.92,2.92,2.95,-0.03,-1.0169,481464.8,143486.696,2.71
600815.SH,20241211,0.4,22.6,2.0,2.4,2.8,3.0,3.2,2.81,98.49,2.93,3.21,2.93,3.21,2.92,0.29,9.9315,453439.29,142709.451,2.56
600815.SH,20241212,0.4,22.6,2.2,2.4,2.8,3.2,3.2,2.9,96.29,3.21,3.53,3.14,3.3,3.21,0.09,2.8037,1586939.22,525223.915,8.95
600815.SH,20241213,0.4,22.6,2.2,2.4,2.8,3.2,3.2,2.94,73.29,3.27,3.29,3.13,3.15,3.3,-0.15,-4.5455,895527.4,285632.209,5.05
600815.SH,20241216,0.4,22.6,2.2,2.4,3.0,3.2,3.2,2.96,71.56,3.15,3.23,3.15,3.17,3.15,0.02,0.6349,506793.87,161035.398,2.86
600815.SH,20241217,0.4,22.6,2.2,2.4,3.0,3.2,3.2,2.97,71.68,3.19,3.2,3.01,3.02,3.17,-0.15,-4.7319,483019.0,148501.609,2.72
600815.SH,20241218,0.4,22.6,2.2,2.4,3.0,3.2,3.2,2.97,72.66,3.02,3.08,2.99,3.05,3.02,0.03,0.9934,317578.77,96642.67,1.79
600815.SH,20241219,0.4,22.6,2.2,2.4,3.0,3.2,3.2,2.97,73.56,2.99,3.04,2.95,3.02,3.05,-0.03,-0.9836,308034.75,92151.528,1.74
600815.SH,20241220,0.4,22.6,2.2,2.4,3.0,3.2,3.2,2.97,47.7,3.02,3.02,2.96,2.97,3.02,-0.05,-1.6556,276018.75,82059.937,1.56
600815.SH,20241223,0.4,22.6,2.2,2.4,2.8,3.2,3.2,2.97,25.43,2.98,2.98,2.74,2.76,2.97,-0.21,-7.0707,460435.94,129883.765,2.6
600815.SH,20241224,0.4,22.6,2.2,2.4,2.8,3.2,3.2,2.96,27.15,2.76,2.79,2.66,2.73,2.76,-0.03,-1.087,309054.12,83825.43,1.74
600815.SH,20241225,0.4,22.6,2.2,2.4,2.8,3.2,3.2,2.96,28.34,2.71,2.73,2.61,2.65,2.73,-0.08,-2.9304,221609.1,58761.458,1.25
600815.SH,20241226,0.4,22.6,2.2,2.6,2.8,3.2,3.2,2.95,29.37,2.66,2.75,2.66,2.7,2.65,0.05,1.8868,198181.8,53773.304,1.12
600815.SH,20241227,0.4,22.6,2.2,2.6,2.8,3.2,3.2,2.95,30.26,2.69,2.78,2.68,2.74,2.7,0.04,1.4815,177029.4,48637.283,1.0
600815.SH,20241230,0.4,22.6,2.2,2.6,2.8,3.2,3.2,2.95,31.34,2.72,2.73,2.64,2.69,2.74,-0.05,-1.8248,217253.36,58040.753,1.22
600815.SH,20241231,0.4,22.6,2.2,2.6,2.8,3.2,3.2,2.94,32.37,2.7,2.72,2.63,2.65,2.69,-0.04,-1.487,211063.72,56238.371,1.19
600815.SH,20250102,0.4,22.6,2.2,2.6,2.8,3.2,3.2,2.94,33.99,2.63,2.7,2.59,2.61,2.65,-0.04,-1.5094,215439.0,56992.664,1.21
