ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002105.SZ,20240924,1.4,14.9,3.8,3.9,4.0,4.4,5.2,4.19,58.98,3.98,4.07,3.97,4.06,3.97,0.09,2.267,44565.0,17967.601,1.22
002105.SZ,20240925,1.4,14.9,3.8,3.9,4.0,4.3,5.2,4.19,74.3,4.09,4.25,4.08,4.15,4.06,0.09,2.2167,90997.0,37808.234,2.5
002105.SZ,20240926,1.4,14.9,3.8,3.9,4.0,4.3,5.2,4.19,82.18,4.14,4.22,4.1,4.21,4.15,0.06,1.4458,57033.57,23776.02,1.56
002105.SZ,20240927,1.4,14.9,3.8,3.9,4.0,4.4,5.2,4.2,84.53,4.24,4.4,4.23,4.36,4.21,0.15,3.5629,71125.0,30683.613,1.95
002105.SZ,20240930,1.4,14.9,3.8,3.9,4.1,4.6,5.1,4.25,92.13,4.5,4.8,4.4,4.76,4.36,0.4,9.1743,210781.23,98503.299,5.78
002105.SZ,20241008,1.4,14.9,3.8,3.9,4.1,5.0,5.2,4.37,96.51,5.2,5.24,4.83,5.22,4.76,0.46,9.6639,251609.99,129240.585,6.9
002105.SZ,20241009,1.4,14.9,3.8,3.9,4.2,5.0,5.2,4.44,70.34,5.05,5.13,4.72,4.75,5.22,-0.47,-9.0038,210245.79,103122.32,5.77
002105.SZ,20241010,1.4,14.9,3.8,3.9,4.3,5.0,5.2,4.47,72.73,4.85,5.05,4.7,4.87,4.75,0.12,2.5263,123294.32,59936.844,3.38
002105.SZ,20241011,1.4,14.9,3.8,3.9,4.3,5.0,5.2,4.48,60.74,4.91,4.91,4.65,4.68,4.87,-0.19,-3.9014,63138.66,29960.721,1.73
002105.SZ,20241014,1.4,14.9,3.9,3.9,4.4,5.0,5.2,4.49,66.91,4.68,4.77,4.64,4.73,4.68,0.05,1.0684,48144.0,22665.973,1.32
002105.SZ,20241015,1.4,14.9,3.9,4.0,4.4,5.0,5.2,4.5,58.36,4.7,4.79,4.66,4.68,4.73,-0.05,-1.0571,41803.04,19723.321,1.15
002105.SZ,20241016,1.4,14.9,3.9,4.0,4.5,5.0,5.2,4.5,58.42,4.64,4.74,4.6,4.7,4.68,0.02,0.4274,36124.38,16937.335,0.99
002105.SZ,20241017,1.4,14.9,3.9,4.0,4.5,5.0,5.2,4.51,57.27,4.72,4.81,4.65,4.66,4.7,-0.04,-0.8511,40837.28,19281.186,1.12
002105.SZ,20241018,1.4,14.9,3.9,4.0,4.6,5.0,5.2,4.51,68.24,4.66,4.77,4.65,4.73,4.66,0.07,1.5021,48658.91,22894.372,1.34
002105.SZ,20241021,1.4,14.9,3.9,4.0,4.6,5.0,5.2,4.52,68.67,4.72,4.79,4.69,4.73,4.73,0.0,0.0,44038.95,20862.452,1.21
002105.SZ,20241022,1.4,14.9,3.9,4.0,4.6,5.0,5.2,4.53,68.79,4.73,4.8,4.71,4.79,4.73,0.06,1.2685,43954.96,20980.908,1.21
002105.SZ,20241023,1.4,14.9,3.9,4.0,4.6,5.0,5.2,4.54,67.16,4.79,4.88,4.77,4.79,4.79,0.0,0.0,51913.86,25053.796,1.42
002105.SZ,20241024,1.4,14.9,3.9,4.0,4.6,5.0,5.2,4.54,77.32,4.84,4.84,4.72,4.82,4.79,0.03,0.6263,36284.46,17436.741,1.0
002105.SZ,20241025,1.4,14.9,3.9,4.0,4.7,5.0,5.2,4.55,76.48,4.84,4.93,4.82,4.9,4.82,0.08,1.6598,43412.7,21207.474,1.19
002105.SZ,20241028,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.57,90.35,4.91,5.07,4.88,5.06,4.9,0.16,3.2653,75312.61,37714.695,2.07
002105.SZ,20241029,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.59,80.09,5.08,5.13,4.95,4.98,5.06,-0.08,-1.581,64327.14,32212.449,1.76
002105.SZ,20241030,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.6,79.54,4.95,5.02,4.88,4.94,4.98,-0.04,-0.8032,52358.2,25873.936,1.44
002105.SZ,20241031,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.62,89.37,4.92,5.05,4.92,5.03,4.94,0.09,1.8219,54387.07,27221.297,1.49
002105.SZ,20241101,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.63,64.65,5.09,5.1,4.86,4.88,5.03,-0.15,-2.9821,69524.91,34264.399,1.91
002105.SZ,20241104,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.64,77.12,4.9,4.99,4.85,4.99,4.88,0.11,2.2541,39863.04,19722.406,1.09
002105.SZ,20241105,1.4,14.9,3.9,4.0,4.7,5.0,5.1,4.65,89.64,5.0,5.09,4.95,5.01,4.99,0.02,0.4008,62647.05,31423.375,1.72
002105.SZ,20241106,1.4,14.9,3.9,4.0,4.8,5.0,5.1,4.66,89.54,5.05,5.08,4.99,5.04,5.01,0.03,0.5988,52945.18,26710.116,1.45
