ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002639.SZ,20240924,2.8,18.4,4.7,5.0,5.3,5.6,5.8,5.36,44.52,5.13,5.25,5.11,5.25,5.12,0.13,2.5391,94901.23,49293.799,1.46
002639.SZ,20240925,2.8,18.4,4.7,5.0,5.3,5.6,5.8,5.36,53.38,5.3,5.42,5.28,5.31,5.25,0.06,1.1429,135169.75,72407.586,2.08
002639.SZ,20240926,2.8,18.4,4.7,5.0,5.3,5.6,5.8,5.36,66.86,5.31,5.42,5.28,5.42,5.31,0.11,2.0716,106390.38,57160.284,1.64
002639.SZ,20240927,2.8,18.4,4.7,5.0,5.4,5.6,5.8,5.38,73.4,5.52,5.75,5.48,5.6,5.42,0.18,3.321,259436.17,145406.957,3.99
002639.SZ,20240930,2.8,18.4,4.8,5.1,5.4,5.8,6.0,5.45,97.39,5.82,6.15,5.68,6.12,5.6,0.52,9.2857,432409.76,258080.785,6.65
002639.SZ,20241008,2.8,18.4,4.8,5.1,5.5,6.2,6.5,5.6,95.24,6.73,6.73,6.15,6.56,6.12,0.44,7.1895,474653.57,307678.0,7.3
002639.SZ,20241009,2.8,18.4,4.9,5.1,5.6,6.2,6.5,5.66,70.41,6.36,6.36,5.96,5.96,6.56,-0.6,-9.1463,346244.58,212992.542,5.32
002639.SZ,20241010,2.8,18.4,4.9,5.1,5.6,6.2,6.5,5.68,66.85,5.97,6.12,5.91,6.0,5.96,0.04,0.6711,186029.0,112157.116,2.86
002639.SZ,20241011,2.8,18.4,4.9,5.1,5.6,6.2,6.5,5.69,56.87,6.0,6.05,5.66,5.72,6.0,-0.28,-4.6667,188483.51,109366.776,2.9
002639.SZ,20241014,2.8,18.4,4.9,5.1,5.7,6.2,6.5,5.7,63.96,5.73,5.84,5.66,5.84,5.72,0.12,2.0979,140672.22,81290.351,2.16
002639.SZ,20241015,2.8,18.4,5.0,5.1,5.7,6.2,6.5,5.7,56.52,5.8,5.87,5.71,5.73,5.84,-0.11,-1.8836,130468.0,75579.114,2.01
002639.SZ,20241016,2.8,18.4,5.0,5.2,5.7,6.2,6.5,5.7,57.57,5.66,5.78,5.62,5.73,5.73,0.0,0.0,110060.51,62944.377,1.69
002639.SZ,20241017,2.8,18.4,5.0,5.2,5.7,6.2,6.5,5.7,57.69,5.75,5.84,5.7,5.71,5.73,-0.02,-0.349,115706.0,66659.591,1.78
002639.SZ,20241018,2.8,18.4,5.0,5.2,5.7,6.1,6.5,5.71,68.13,5.71,5.92,5.65,5.82,5.71,0.11,1.9264,204418.0,118208.172,3.14
002639.SZ,20241021,2.8,18.4,5.0,5.2,5.7,6.1,6.5,5.72,66.7,5.83,5.97,5.82,5.89,5.82,0.07,1.2027,187497.0,110531.051,2.88
002639.SZ,20241022,2.8,18.4,5.0,5.2,5.7,6.1,6.4,5.73,75.59,5.89,5.98,5.86,5.97,5.89,0.08,1.3582,156963.21,93250.965,2.41
002639.SZ,20241023,2.8,18.4,5.0,5.3,5.8,6.1,6.4,5.75,70.39,5.99,6.15,5.95,6.0,5.97,0.03,0.5025,249091.98,150626.923,3.83
002639.SZ,20241024,2.8,18.4,5.0,5.3,5.8,6.1,6.4,5.78,77.22,6.0,6.2,6.0,6.07,6.0,0.07,1.1667,261009.05,159297.19,4.01
002639.SZ,20241025,2.8,18.4,5.0,5.3,5.9,6.2,6.4,5.83,88.64,6.18,6.4,6.12,6.27,6.07,0.2,3.2949,315530.42,197696.302,4.85
