ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000626.SZ,20240924,0.7,66.5,3.5,3.5,4.2,4.9,6.3,4.79,70.48,4.31,4.45,4.3,4.41,4.29,0.12,2.7972,56523.02,24746.038,1.13
000626.SZ,20240925,0.7,66.5,3.5,3.5,4.2,4.9,6.3,4.79,70.54,4.45,4.61,4.45,4.52,4.41,0.11,2.4943,56585.45,25699.816,1.13
000626.SZ,20240926,0.7,66.5,3.5,3.5,4.2,4.9,6.3,4.79,70.6,4.52,4.7,4.52,4.7,4.52,0.18,3.9823,56195.06,26004.458,1.12
000626.SZ,20240927,0.7,66.5,3.5,3.5,4.2,4.9,6.3,4.8,69.55,4.75,4.95,4.66,4.85,4.7,0.15,3.1915,91772.7,43888.76,1.83
000626.SZ,20240930,0.7,66.5,3.5,3.5,4.2,4.9,6.3,4.84,87.7,5.09,5.34,4.96,5.34,4.85,0.49,10.1031,128054.04,66270.577,2.55
000626.SZ,20241008,0.7,66.5,3.5,3.5,4.2,5.6,6.3,4.92,94.05,5.87,5.87,5.38,5.74,5.34,0.4,7.4906,156236.3,88859.245,3.11
000626.SZ,20241009,0.7,66.5,3.5,3.5,4.2,5.6,6.3,4.96,80.87,5.72,5.72,5.17,5.18,5.74,-0.56,-9.7561,127293.0,68928.329,2.54
000626.SZ,20241010,0.7,66.5,3.5,3.5,4.2,5.6,6.3,4.99,80.54,5.17,5.33,5.07,5.18,5.18,0.0,0.0,106291.0,55340.821,2.12
000626.SZ,20241011,0.7,66.5,3.5,3.5,4.2,5.6,6.3,5.01,80.32,5.19,5.2,4.93,4.99,5.18,-0.19,-3.668,71508.0,36056.973,1.42
000626.SZ,20241014,0.7,66.5,3.5,3.5,4.2,5.6,6.3,5.02,80.11,5.07,5.09,4.95,5.06,4.99,0.07,1.4028,69965.0,35127.16,1.39
000626.SZ,20241015,0.7,66.5,3.5,3.5,4.2,5.6,6.3,5.03,79.94,5.06,5.13,4.96,5.01,5.06,-0.05,-0.9881,59784.0,30271.513,1.19
000626.SZ,20241016,0.7,66.5,3.5,3.5,4.2,5.6,6.3,5.05,79.82,4.97,5.08,4.97,5.03,5.01,0.02,0.3992,49356.47,24810.66,0.98
000626.SZ,20241017,0.7,66.5,3.5,3.5,4.9,5.6,6.3,5.06,79.65,5.1,5.16,4.96,4.99,5.03,-0.04,-0.7952,61536.7,31102.459,1.23
000626.SZ,20241018,0.7,66.5,3.5,3.5,4.9,5.6,6.3,5.07,79.51,4.99,5.1,4.94,5.06,4.99,0.07,1.4028,54205.84,27339.185,1.08
000626.SZ,20241021,0.7,66.5,3.5,3.5,4.9,5.6,6.3,5.08,79.37,5.06,5.15,5.06,5.09,5.06,0.03,0.5929,59130.31,30162.61,1.18
000626.SZ,20241022,0.7,66.5,3.5,3.5,4.9,5.6,6.3,5.1,79.08,5.09,5.6,5.07,5.6,5.09,0.51,10.0196,120266.84,65519.915,2.4
000626.SZ,20241023,0.7,66.5,3.5,3.5,4.9,5.6,6.3,5.18,93.4,5.86,6.16,5.6,6.16,5.6,0.56,10.0,168827.79,99373.659,3.36
000626.SZ,20241024,0.7,66.5,3.5,4.2,4.9,6.3,7.0,5.4,78.22,6.78,6.78,5.97,6.19,6.16,0.03,0.487,472011.68,304936.106,9.4
000626.SZ,20241025,0.7,66.5,3.5,4.2,4.9,6.3,7.0,5.53,73.76,6.55,6.58,5.87,6.14,6.19,-0.05,-0.8078,318025.93,195341.758,6.33
000626.SZ,20241028,0.7,66.5,3.5,4.2,5.6,6.3,7.0,5.65,93.69,6.01,6.75,6.01,6.75,6.14,0.61,9.9349,282532.8,181029.601,5.63
000626.SZ,20241029,0.7,66.5,3.5,4.2,5.6,6.3,7.0,5.84,90.58,6.92,7.24,6.73,6.73,6.75,-0.02,-0.2963,398398.49,278302.187,7.94
000626.SZ,20241030,0.7,66.5,3.5,4.2,5.6,6.3,7.0,5.93,89.0,6.57,6.8,6.42,6.58,6.73,-0.15,-2.2288,234496.72,154502.492,4.67
000626.SZ,20241031,0.7,66.5,3.5,4.2,6.3,6.3,7.0,6.0,87.85,6.48,6.66,6.4,6.43,6.58,-0.15,-2.2796,186520.0,121056.196,3.72
000626.SZ,20241101,0.7,66.5,3.5,4.2,6.3,6.3,7.0,6.02,46.72,6.48,6.51,6.06,6.11,6.43,-0.32,-4.9767,140579.31,87517.248,2.8
000626.SZ,20241104,0.7,66.5,3.5,4.2,6.3,6.3,7.0,6.03,47.71,6.08,6.1,5.93,6.08,6.11,-0.03,-0.491,90148.53,54390.039,1.8
000626.SZ,20241105,0.7,66.5,3.5,4.2,6.3,6.3,7.0,6.03,48.74,6.19,6.23,6.09,6.17,6.08,0.09,1.4803,98463.51,60585.973,1.96
000626.SZ,20241106,0.7,66.5,3.5,4.2,6.3,6.3,7.0,6.04,49.89,6.17,6.29,6.02,6.23,6.17,0.06,0.9724,113541.72,70262.372,2.26
000626.SZ,20241107,0.7,66.5,3.5,4.9,6.3,6.3,7.0,6.08,89.13,6.23,6.59,6.18,6.48,6.23,0.25,4.0128,155162.23,99852.335,3.09
000626.SZ,20241108,0.7,66.5,3.5,4.9,6.3,6.3,7.0,6.12,88.37,6.53,6.66,6.33,6.4,6.48,-0.08,-1.2346,120306.71,77331.431,2.4
000626.SZ,20241111,0.7,66.5,3.5,4.9,6.3,6.3,7.0,6.13,88.3,6.35,6.41,6.26,6.4,6.4,0.0,0.0,84710.02,53596.366,1.69
000626.SZ,20241112,0.7,66.5,3.5,4.9,6.3,6.3,7.0,6.15,88.22,6.37,6.51,6.28,6.35,6.4,-0.05,-0.7813,88750.53,56897.863,1.77
000626.SZ,20241113,0.7,66.5,3.5,4.9,6.3,6.3,7.0,6.17,88.15,6.31,6.49,6.17,6.38,6.35,0.03,0.4724,87957.0,55565.044,1.75
000626.SZ,20241114,0.7,66.5,4.2,4.9,6.3,6.3,7.0,6.18,41.9,6.36,6.39,6.14,6.19,6.38,-0.19,-2.9781,58778.0,36803.789,1.17
000626.SZ,20241115,0.7,66.5,4.2,4.9,6.3,6.3,7.0,6.18,42.99,6.16,6.2,5.88,5.89,6.19,-0.3,-4.8465,85126.0,51409.142,1.7
000626.SZ,20241118,0.7,66.5,4.2,4.9,6.3,6.3,7.0,6.18,43.83,5.97,6.22,5.81,5.85,5.89,-0.04,-0.6791,67020.0,39871.165,1.33
000626.SZ,20241119,0.7,66.5,4.2,4.9,6.3,6.3,7.0,6.18,44.61,5.91,6.03,5.83,6.02,5.85,0.17,2.906,63866.72,37739.568,1.27
000626.SZ,20241120,0.7,66.5,4.2,4.9,6.3,6.3,7.0,6.19,44.53,6.02,6.47,5.93,6.26,6.02,0.24,3.9867,108933.36,67588.548,2.17
000626.SZ,20241121,0.7,66.5,4.2,4.9,6.3,6.3,7.0,6.2,88.88,6.89,6.89,6.89,6.89,6.26,0.63,10.0639,56839.0,39162.071,1.13
000626.SZ,20241122,0.7,66.5,4.2,5.6,6.3,7.0,7.0,6.46,98.64,7.35,7.58,7.09,7.58,6.89,0.69,10.0145,610526.66,455267.034,12.16
000626.SZ,20241125,0.7,66.5,4.2,5.6,6.3,7.0,7.0,6.58,59.33,7.1,7.35,6.82,7.0,7.58,-0.58,-7.6517,458936.68,321514.048,9.14
000626.SZ,20241126,0.7,66.5,4.2,5.6,6.3,7.0,7.0,6.61,61.17,6.93,7.0,6.54,6.6,7.0,-0.4,-5.7143,310695.84,208251.873,6.19
000626.SZ,20241127,0.7,66.5,4.2,5.6,6.3,7.0,7.0,6.62,63.23,6.46,6.54,6.21,6.5,6.6,-0.1,-1.5152,201205.87,128243.217,4.01
000626.SZ,20241128,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.63,63.92,6.5,6.66,6.46,6.56,6.5,0.06,0.9231,158426.83,103839.14,3.16
000626.SZ,20241129,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.64,64.65,6.61,6.88,6.36,6.48,6.56,-0.08,-1.2195,179094.02,117321.549,3.57
000626.SZ,20241202,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.65,65.26,6.54,6.71,6.46,6.71,6.48,0.23,3.5494,160497.32,106052.532,3.2
000626.SZ,20241203,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.66,65.64,6.72,6.76,6.61,6.63,6.71,-0.08,-1.1923,110095.0,73328.855,2.19
000626.SZ,20241204,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.66,65.99,6.53,6.6,6.37,6.43,6.63,-0.2,-3.0166,102920.02,66770.043,2.05
000626.SZ,20241205,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.67,98.67,6.48,7.07,6.38,7.07,6.43,0.64,9.9533,171640.83,116667.721,3.42
000626.SZ,20241206,0.7,66.5,4.9,6.3,6.3,7.0,7.0,6.75,98.69,7.08,7.48,6.92,7.15,7.07,0.08,1.1315,411853.01,297577.502,8.2
000626.SZ,20241209,0.7,66.5,5.6,6.3,6.3,7.0,7.0,6.82,98.69,7.1,7.39,7.06,7.3,7.15,0.15,2.0979,291173.08,210483.758,5.8
000626.SZ,20241210,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.87,98.68,7.39,7.56,7.21,7.22,7.3,-0.08,-1.0959,223131.91,163696.623,4.44
000626.SZ,20241211,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.9,98.68,7.2,7.45,7.19,7.33,7.22,0.11,1.5235,157314.0,115155.312,3.13
000626.SZ,20241212,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.92,98.69,7.36,7.45,7.29,7.4,7.33,0.07,0.955,153704.7,113413.08,3.06
000626.SZ,20241213,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.94,98.69,7.36,7.41,7.09,7.11,7.4,-0.29,-3.9189,119688.2,86167.661,2.38
000626.SZ,20241216,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.95,39.53,7.16,7.22,6.95,6.98,7.11,-0.13,-1.8284,84468.09,59539.542,1.68
000626.SZ,20241217,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.94,41.22,6.96,7.03,6.53,6.56,6.98,-0.42,-6.0172,120926.2,80648.582,2.41
000626.SZ,20241218,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.94,42.33,6.6,6.65,6.39,6.57,6.56,0.01,0.1524,84367.11,55196.554,1.68
000626.SZ,20241219,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.93,43.46,6.49,6.55,6.3,6.45,6.57,-0.12,-1.8265,87993.0,56317.371,1.75
000626.SZ,20241220,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.93,44.35,6.52,6.68,6.49,6.5,6.45,0.05,0.7752,72275.04,47578.139,1.44
000626.SZ,20241223,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.91,8.9,6.51,6.52,6.04,6.05,6.5,-0.45,-6.9231,109626.0,67986.857,2.17
000626.SZ,20241224,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.88,10.83,6.17,6.18,5.92,6.02,6.05,-0.03,-0.4959,73581.02,44268.336,1.45
000626.SZ,20241225,0.7,66.5,5.6,6.3,7.0,7.0,7.0,6.86,13.05,5.97,6.06,5.7,5.82,6.02,-0.2,-3.3223,87237.04,50673.743,1.72
000626.SZ,20241226,0.7,66.5,5.6,6.3,6.3,7.0,7.0,6.84,14.42,5.86,5.98,5.82,5.86,5.82,0.04,0.6873,55548.0,32742.927,1.1
000626.SZ,20241227,0.7,66.5,5.6,5.6,6.3,7.0,7.0,6.82,16.19,5.87,6.14,5.86,6.03,5.86,0.17,2.901,73724.0,44609.593,1.46
000626.SZ,20241230,0.7,66.5,5.6,5.6,6.3,7.0,7.0,6.8,17.91,6.03,6.06,5.77,5.83,6.03,-0.2,-3.3167,73606.0,42936.913,1.45
000626.SZ,20241231,0.7,66.5,5.6,5.6,6.3,7.0,7.0,6.78,19.25,5.87,5.91,5.74,5.75,5.83,-0.08,-1.3722,58936.0,34285.498,1.16
000626.SZ,20250102,0.7,66.5,5.6,5.6,6.3,7.0,7.0,6.76,20.61,5.71,5.9,5.64,5.69,5.75,-0.06,-1.0435,61800.0,35680.578,1.22
000626.SZ,20250103,0.7,66.5,5.6,5.6,6.3,7.0,7.0,6.73,3.55,5.75,5.78,5.35,5.36,5.69,-0.33,-5.7996,76185.0,41887.793,1.51
000626.SZ,20250106,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.69,5.65,5.36,5.45,5.06,5.31,5.36,-0.05,-0.9328,73366.73,38692.597,1.45
000626.SZ,20250107,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.67,6.97,5.34,5.48,5.3,5.46,5.31,0.15,2.8249,47664.04,25653.985,0.94
000626.SZ,20250108,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.64,8.49,5.46,5.51,5.26,5.47,5.46,0.01,0.1832,56241.0,30335.094,1.11
000626.SZ,20250109,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.62,9.64,5.44,5.53,5.4,5.5,5.47,0.03,0.5484,43273.06,23777.235,0.86
000626.SZ,20250110,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.57,11.34,5.55,5.75,5.39,5.52,5.5,0.02,0.3636,125469.17,69663.86,2.48
000626.SZ,20250113,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.53,35.77,5.39,6.05,5.31,5.7,5.52,0.18,3.2609,147539.32,84255.183,2.92
000626.SZ,20250114,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.51,37.92,5.7,6.0,5.7,5.9,5.7,0.2,3.5088,138792.82,80782.074,2.74
000626.SZ,20250115,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.49,39.57,5.87,6.15,5.84,6.02,5.9,0.12,2.0339,112972.72,67829.868,2.23
000626.SZ,20250116,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.48,40.71,6.02,6.16,5.95,6.05,6.02,0.03,0.4983,82230.02,49708.785,1.63
000626.SZ,20250117,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.47,41.94,6.04,6.19,5.85,6.14,6.05,0.09,1.4876,91986.02,55568.018,1.82
000626.SZ,20250120,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.45,43.6,6.19,6.25,5.85,5.95,6.14,-0.19,-3.0945,127866.22,76912.303,2.53
000626.SZ,20250121,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.44,44.59,5.96,6.08,5.92,6.02,5.95,0.07,1.1765,81501.0,48900.928,1.61
000626.SZ,20250122,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.43,45.36,6.02,6.1,5.9,6.06,6.02,0.04,0.6645,64318.81,38607.737,1.27
000626.SZ,20250123,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.42,46.12,6.09,6.13,5.91,5.92,6.06,-0.14,-2.3102,66310.03,39827.544,1.31
000626.SZ,20250124,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.42,46.68,5.92,5.92,5.83,5.85,5.92,-0.07,-1.1824,49491.63,29032.73,0.98
000626.SZ,20250127,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.41,47.46,5.85,5.93,5.75,5.85,5.85,0.0,0.0,70859.25,41285.919,1.4
000626.SZ,20250205,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.4,48.06,5.84,5.89,5.75,5.87,5.85,0.02,0.3419,56852.2,33096.208,1.12
000626.SZ,20250206,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.39,48.64,5.85,5.89,5.81,5.88,5.87,0.01,0.1704,55836.26,32652.727,1.1
000626.SZ,20250207,0.7,66.5,4.9,5.6,6.3,7.0,7.0,6.39,47.98,5.87,6.47,5.87,6.07,5.88,0.19,3.2313,299180.11,187529.648,5.91
000626.SZ,20250210,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.36,50.84,6.0,6.07,5.7,5.88,6.07,-0.19,-3.1301,272655.58,158602.469,5.39
000626.SZ,20250211,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.35,51.96,5.85,5.85,5.66,5.72,5.88,-0.16,-2.7211,119689.77,68510.756,2.37
000626.SZ,20250212,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.34,52.66,5.71,5.75,5.67,5.74,5.72,0.02,0.3497,78591.18,44958.901,1.55
000626.SZ,20250213,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.34,53.33,5.75,5.8,5.66,5.67,5.74,-0.07,-1.2195,77252.18,44073.043,1.53
000626.SZ,20250214,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.32,6.47,5.67,5.67,5.53,5.56,5.67,-0.11,-1.94,77779.0,43383.717,1.54
000626.SZ,20250217,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.29,7.84,5.52,5.68,5.51,5.59,5.56,0.03,0.5396,92238.0,51485.818,1.82
000626.SZ,20250218,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.27,9.06,5.6,5.61,5.42,5.43,5.59,-0.16,-2.8623,85865.0,47282.421,1.7
000626.SZ,20250219,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.25,10.46,5.48,5.55,5.4,5.54,5.43,0.11,2.0258,53304.3,29306.789,1.05
000626.SZ,20250220,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.25,58.78,5.56,5.66,5.53,5.63,5.54,0.09,1.6245,56436.75,31620.012,1.12
000626.SZ,20250221,0.7,66.5,4.9,5.6,5.6,7.0,7.0,6.24,59.39,5.61,5.65,5.55,5.61,5.63,-0.02,-0.3552,44356.77,24790.093,0.88
000626.SZ,20250224,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.23,60.08,5.63,5.94,5.63,5.78,5.61,0.17,3.0303,118152.75,68453.412,2.33
000626.SZ,20250225,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.23,60.48,5.71,5.73,5.62,5.66,5.78,-0.12,-2.0761,69906.4,39629.069,1.38
000626.SZ,20250226,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.23,60.8,5.67,5.73,5.62,5.65,5.66,-0.01,-0.1767,58086.0,32958.46,1.15
000626.SZ,20250227,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.22,61.6,5.68,5.76,5.56,5.63,5.65,-0.02,-0.354,78199.24,44222.126,1.55
000626.SZ,20250228,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.2,10.93,5.64,5.65,5.47,5.48,5.63,-0.15,-2.6643,60607.24,33733.201,1.2
000626.SZ,20250303,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.19,12.05,5.51,5.59,5.48,5.53,5.48,0.05,0.9124,43601.75,24099.376,0.86
000626.SZ,20250304,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.18,12.81,5.56,5.56,5.47,5.53,5.53,0.0,0.0,30284.0,16654.311,0.6
000626.SZ,20250305,0.7,66.5,4.9,5.6,5.6,6.3,7.0,6.17,13.9,5.55,5.55,5.4,5.47,5.53,-0.06,-1.085,44183.69,24077.962,0.87
000626.SZ,20250306,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.15,15.03,5.47,5.56,5.45,5.54,5.47,0.07,1.2797,46001.0,25403.401,0.91
000626.SZ,20250307,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.14,15.87,5.55,5.58,5.47,5.48,5.54,-0.06,-1.083,35145.0,19394.697,0.69
000626.SZ,20250310,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.13,16.36,5.49,5.63,5.48,5.54,5.48,0.06,1.0949,44401.02,24628.727,0.88
000626.SZ,20250311,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.12,17.2,5.51,5.58,5.46,5.58,5.54,0.04,0.722,35781.95,19835.025,0.71
000626.SZ,20250312,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.12,66.5,5.59,5.65,5.56,5.63,5.58,0.05,0.8961,41840.02,23514.422,0.83
000626.SZ,20250313,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.11,17.58,5.6,5.65,5.48,5.53,5.63,-0.1,-1.7762,43636.0,24116.201,0.86
000626.SZ,20250314,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.11,67.5,5.53,5.7,5.48,5.68,5.53,0.15,2.7125,70332.22,39469.073,1.39
000626.SZ,20250317,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.11,67.62,5.68,5.75,5.63,5.69,5.68,0.01,0.1761,46839.93,26580.048,0.93
000626.SZ,20250318,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.11,67.75,5.7,5.75,5.65,5.74,5.69,0.05,0.8787,48728.24,27769.785,0.96
000626.SZ,20250319,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.11,67.86,5.75,5.77,5.64,5.68,5.74,-0.06,-1.0453,43132.0,24467.148,0.85
000626.SZ,20250320,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.11,67.97,5.7,5.7,5.61,5.65,5.68,-0.03,-0.5282,43046.02,24341.143,0.85
000626.SZ,20250321,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.1,16.66,5.62,5.67,5.53,5.56,5.65,-0.09,-1.5929,40691.0,22760.515,0.8
000626.SZ,20250324,0.7,66.5,4.9,4.9,5.6,6.3,7.0,6.09,17.45,5.58,5.63,5.26,5.36,5.56,-0.2,-3.5971,73701.0,39859.949,1.46
