ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
605179.SH,20240924,8.1,25.3,8.1,8.1,8.6,11.0,12.3,9.22,60.61,8.63,9.06,8.62,8.95,8.58,0.37,4.3124,34139.99,30156.519,0.85
605179.SH,20240925,8.1,25.3,8.1,8.1,8.6,11.0,12.3,9.21,59.67,8.96,9.16,8.94,8.95,8.95,0.0,0.0,35337.0,32014.422,0.88
605179.SH,20240926,8.1,25.3,8.1,8.1,8.7,11.0,12.2,9.21,74.46,8.99,9.52,8.91,9.48,8.95,0.53,5.9218,47327.0,43812.349,1.18
605179.SH,20240927,8.1,25.3,8.1,8.1,8.7,10.9,12.2,9.23,77.6,10.03,10.26,9.71,9.94,9.48,0.46,4.8523,63722.0,63245.858,1.59
605179.SH,20240930,8.1,25.3,8.1,8.2,8.8,10.8,12.1,9.29,82.41,10.33,10.79,9.95,10.69,9.94,0.75,7.5453,100642.0,104926.189,2.51
605179.SH,20241008,8.1,25.3,8.1,8.2,8.9,11.0,12.0,9.4,83.58,11.7,11.76,10.4,10.95,10.69,0.26,2.4322,112830.0,124750.194,2.81
605179.SH,20241009,8.1,25.3,8.1,8.2,9.0,11.0,11.9,9.42,65.9,10.72,10.72,9.86,9.86,10.95,-1.09,-9.9543,73426.0,73654.422,1.83
605179.SH,20241010,8.1,25.3,8.1,8.2,9.0,11.0,11.9,9.44,66.34,9.76,10.12,9.41,9.84,9.86,-0.02,-0.2028,65332.2,64002.291,1.63
605179.SH,20241011,8.1,25.3,8.1,8.2,9.1,10.9,11.9,9.44,60.14,9.78,10.05,9.53,9.62,9.84,-0.22,-2.2358,47576.43,46533.899,1.19
605179.SH,20241014,8.1,25.3,8.1,8.2,9.1,10.9,11.9,9.44,64.46,9.56,9.85,9.45,9.8,9.62,0.18,1.8711,35590.86,34487.738,0.89
605179.SH,20241015,8.1,25.3,8.1,8.2,9.1,10.9,11.9,9.45,58.68,9.71,9.88,9.58,9.59,9.8,-0.21,-2.1429,26747.0,26039.588,0.67
605179.SH,20241016,8.1,25.3,8.1,8.2,9.1,10.9,11.9,9.45,58.71,9.56,9.7,9.46,9.57,9.59,-0.02,-0.2086,27284.0,26156.531,0.68
605179.SH,20241017,8.1,25.3,8.1,8.2,9.2,10.9,11.8,9.46,56.17,9.64,9.67,9.43,9.45,9.57,-0.12,-1.2539,19016.0,18170.129,0.47
605179.SH,20241018,8.1,25.3,8.1,8.2,9.2,10.9,11.8,9.46,55.95,9.42,9.65,9.4,9.5,9.45,0.05,0.5291,44561.41,42455.936,1.11
605179.SH,20241021,8.1,25.3,8.1,8.2,9.2,10.9,11.8,9.46,63.12,9.53,9.75,9.46,9.7,9.5,0.2,2.1053,43152.0,41519.391,1.08
605179.SH,20241022,8.1,25.3,8.1,8.2,9.3,10.8,11.8,9.47,72.19,9.92,10.08,9.72,9.96,9.7,0.26,2.6804,48241.0,47807.653,1.2
605179.SH,20241023,8.1,25.3,8.1,8.2,9.3,10.8,11.8,9.48,71.98,9.9,10.04,9.84,9.94,9.96,-0.02,-0.2008,37999.0,37817.196,0.95
605179.SH,20241024,8.1,25.3,8.1,8.2,9.4,10.8,11.8,9.49,67.95,9.93,9.99,9.8,9.87,9.94,-0.07,-0.7042,33652.0,33228.741,0.84
605179.SH,20241025,8.1,25.3,8.1,8.2,9.4,10.8,11.8,9.5,72.61,9.95,10.0,9.88,9.99,9.87,0.12,1.2158,34496.0,34354.047,0.86
605179.SH,20241028,8.1,25.3,8.1,8.2,9.5,10.8,11.7,9.51,78.91,9.91,10.3,9.91,10.28,9.99,0.29,2.9029,46004.38,46775.405,1.15
605179.SH,20241029,8.1,25.3,8.1,8.2,9.5,10.7,11.7,9.53,69.94,10.35,10.46,9.99,10.01,10.28,-0.27,-2.6265,37836.93,38417.219,0.94
605179.SH,20241030,8.1,25.3,8.1,8.2,9.5,10.7,11.7,9.54,69.93,10.02,10.08,9.82,9.95,10.01,-0.06,-0.5994,27477.0,27328.458,0.69
605179.SH,20241031,8.1,25.3,8.1,8.2,9.5,10.7,11.7,9.54,70.14,9.87,10.0,9.87,9.97,9.95,0.02,0.201,29016.0,28825.371,0.72
605179.SH,20241101,8.1,25.3,8.1,8.2,9.6,10.7,11.7,9.58,78.1,9.97,10.88,9.82,10.26,9.97,0.29,2.9087,95890.7,98079.267,2.39
605179.SH,20241104,8.1,25.3,8.1,8.2,9.7,10.6,11.6,9.62,83.86,10.15,10.73,10.03,10.6,10.26,0.34,3.3138,118408.0,123469.765,2.95
605179.SH,20241105,8.1,25.3,8.1,8.2,9.8,10.7,11.6,9.68,84.85,10.6,10.86,10.32,10.64,10.57,0.07,0.6623,103563.78,109356.609,2.58
605179.SH,20241106,8.1,25.3,8.1,8.2,9.8,10.7,11.6,9.71,84.31,10.68,10.76,10.5,10.67,10.64,0.03,0.282,77746.46,82736.44,1.94
605179.SH,20241107,8.1,25.3,8.1,8.2,9.9,10.9,11.5,9.81,93.02,10.68,11.24,10.66,11.24,10.67,0.57,5.3421,145228.43,160655.874,3.62
