ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
600819.SH,20240924,1.7,19.2,4.1,4.2,4.4,4.7,5.1,4.55,72.63,4.48,4.59,4.47,4.58,4.44,0.14,3.1532,102763.36,46585.605,1.37
600819.SH,20240925,1.7,19.2,4.1,4.2,4.4,4.7,5.1,4.56,71.58,4.6,4.72,4.56,4.58,4.58,0.0,0.0,129841.48,60278.969,1.74
600819.SH,20240926,1.7,19.2,4.1,4.2,4.4,4.7,5.1,4.56,82.52,4.59,4.69,4.56,4.69,4.58,0.11,2.4017,88908.16,41165.844,1.19
600819.SH,20240927,1.7,19.2,4.1,4.2,4.4,4.7,5.1,4.57,86.41,4.72,4.82,4.69,4.81,4.69,0.12,2.5586,83220.0,39622.354,1.11
600819.SH,20240930,1.7,19.2,4.1,4.2,4.4,4.9,5.1,4.6,96.44,5.05,5.23,4.88,5.2,4.81,0.39,8.1081,258290.48,131408.442,3.46
600819.SH,20241008,1.7,19.2,4.2,4.2,4.5,5.0,5.4,4.67,94.78,5.72,5.72,5.06,5.38,5.2,0.18,3.4615,301345.35,161310.394,4.03
600819.SH,20241009,1.7,19.2,4.2,4.2,4.5,5.0,5.4,4.69,72.48,5.22,5.22,4.86,4.86,5.38,-0.52,-9.6654,215593.0,108229.005,2.88
600819.SH,20241010,1.7,19.2,4.2,4.2,4.5,5.0,5.3,4.71,77.87,4.9,5.14,4.81,5.01,4.86,0.15,3.0864,169823.02,84660.904,2.27
600819.SH,20241011,1.7,19.2,4.2,4.2,4.5,5.0,5.3,4.71,70.13,4.99,5.04,4.85,4.9,5.01,-0.11,-2.1956,105652.72,52152.021,1.41
600819.SH,20241014,1.7,19.2,4.2,4.2,4.6,5.0,5.3,4.72,86.2,4.93,5.1,4.92,5.08,4.9,0.18,3.6735,115907.24,58277.477,1.55
