ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002370.SZ,20240924,5.0,78.0,9.0,9.5,10.0,10.5,11.0,10.01,41.71,2.68,2.76,2.67,2.76,2.69,0.07,2.6022,245067.6,66600.662,4.02
002370.SZ,20240925,5.0,78.0,9.0,9.5,10.0,10.5,11.0,10.01,67.66,2.79,2.88,2.77,2.87,2.76,0.11,3.9855,366704.16,104401.13,6.02
002370.SZ,20240926,5.0,78.0,9.0,9.5,10.0,10.5,11.0,10.01,70.25,2.86,2.91,2.8,2.9,2.87,0.03,1.0453,401422.94,114847.765,6.59
002370.SZ,20240927,5.0,78.0,9.0,9.5,10.0,10.5,11.0,10.09,88.66,2.92,3.09,2.9,3.02,2.9,0.12,4.1379,468812.35,139734.295,7.7
002370.SZ,20240930,5.0,78.0,9.0,9.5,10.5,11.0,11.5,10.35,98.68,3.15,3.31,3.03,3.28,3.02,0.26,8.6093,714027.64,227716.819,11.42
002370.SZ,20241008,5.0,78.0,9.5,9.5,10.5,12.0,12.5,10.74,93.08,3.6,3.61,3.21,3.48,3.28,0.2,6.0976,723097.2,248960.085,11.57
002370.SZ,20241009,5.0,78.0,9.5,10.0,11.0,12.0,12.5,10.87,62.81,3.42,3.47,3.13,3.13,3.48,-0.35,-10.0575,508879.33,165254.153,8.14
002370.SZ,20241010,5.0,78.0,9.5,10.0,11.0,12.0,12.5,10.88,65.45,3.12,3.24,3.08,3.14,3.13,0.01,0.3195,333747.92,106011.095,5.34
002370.SZ,20241011,5.0,78.0,9.5,10.0,11.0,12.0,12.5,10.86,43.21,3.17,3.19,2.96,3.01,3.14,-0.13,-4.1401,307434.52,94285.96,4.92
002370.SZ,20241014,5.0,78.0,9.5,10.0,11.0,11.5,12.0,10.84,46.0,3.06,3.09,3.0,3.09,3.01,0.08,2.6578,274354.0,83923.637,4.39
002370.SZ,20241015,5.0,78.0,9.5,10.0,11.0,11.5,12.0,10.84,45.87,3.11,3.12,3.03,3.04,3.09,-0.05,-1.6181,175184.02,53810.723,2.8
002370.SZ,20241016,5.0,78.0,9.5,10.0,11.0,11.5,12.0,10.83,47.86,3.04,3.11,2.99,3.07,3.04,0.03,0.9868,215047.65,65885.789,3.44
002370.SZ,20241017,5.0,78.0,9.5,10.0,11.0,11.5,12.0,10.83,47.62,3.08,3.12,3.02,3.03,3.07,-0.04,-1.3029,185012.0,56737.798,2.96
002370.SZ,20241018,5.0,78.0,9.5,10.0,11.0,11.5,12.0,10.83,47.28,3.02,3.12,3.02,3.07,3.03,0.04,1.3201,265975.87,81646.349,4.25
002370.SZ,20241021,5.0,78.0,9.5,10.0,11.0,11.5,12.0,10.82,49.42,3.08,3.11,3.04,3.08,3.07,0.01,0.3257,242064.41,74310.164,3.87
002370.SZ,20241022,5.0,78.0,9.5,10.5,11.0,11.5,12.0,10.84,79.7,3.08,3.2,3.07,3.2,3.08,0.12,3.8961,342356.95,108045.867,5.48
002370.SZ,20241023,5.0,78.0,9.5,10.5,11.0,11.5,12.0,10.86,79.25,3.23,3.23,3.13,3.15,3.2,-0.05,-1.5625,282486.03,89446.298,4.52
002370.SZ,20241024,5.0,78.0,9.5,10.5,11.0,11.5,12.0,10.88,78.9,3.15,3.22,3.13,3.19,3.15,0.04,1.2698,242618.11,77411.902,3.88
002370.SZ,20241025,5.0,78.0,9.5,10.5,11.0,11.5,12.0,10.92,92.59,3.18,3.27,3.16,3.27,3.19,0.08,2.5078,250468.77,80855.368,4.01
002370.SZ,20241028,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.0,97.46,3.27,3.42,3.25,3.41,3.27,0.14,4.2813,310063.4,104009.865,4.96
002370.SZ,20241029,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.07,63.15,3.42,3.45,3.24,3.25,3.41,-0.16,-4.6921,316833.05,104977.283,5.07
002370.SZ,20241030,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.1,86.84,3.23,3.3,3.21,3.28,3.25,0.03,0.9231,215194.57,70189.093,3.44
002370.SZ,20241031,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.14,86.9,3.25,3.31,3.23,3.28,3.28,0.0,0.0,310077.78,101603.666,4.96
002370.SZ,20241101,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.15,54.04,3.26,3.34,3.14,3.17,3.28,-0.11,-3.3537,255535.46,82341.389,4.09
002370.SZ,20241104,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.16,53.39,3.17,3.27,3.14,3.25,3.17,0.08,2.5237,200308.66,64120.948,3.2
002370.SZ,20241105,5.0,78.0,10.0,10.5,11.0,11.5,12.0,11.19,87.81,3.24,3.31,3.22,3.3,3.25,0.05,1.5385,226467.9,74342.711,3.62
