ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000620.SZ,20240924,0.8,18.1,1.3,1.3,1.6,2.0,2.3,1.74,36.98,1.42,1.47,1.41,1.45,1.4,0.05,3.5714,644787.55,92640.411,1.56
000620.SZ,20240925,0.8,18.1,1.3,1.3,1.5,2.0,2.3,1.74,36.35,1.46,1.59,1.46,1.48,1.45,0.03,2.069,1020863.67,155322.896,2.46
000620.SZ,20240926,0.8,18.1,1.3,1.3,1.5,1.9,2.2,1.73,52.55,1.46,1.61,1.45,1.6,1.48,0.12,8.1081,1279982.23,197575.977,3.09
000620.SZ,20240927,0.8,18.1,1.3,1.4,1.6,1.9,2.2,1.73,72.12,1.64,1.76,1.58,1.69,1.6,0.09,5.625,1711986.57,282338.648,4.13
000620.SZ,20240930,0.8,18.1,1.3,1.4,1.6,1.8,2.2,1.74,85.84,1.8,1.86,1.7,1.86,1.69,0.17,10.0592,1917462.1,342210.317,4.63
000620.SZ,20241008,0.8,18.1,1.3,1.4,1.6,1.9,2.2,1.76,81.31,2.05,2.05,1.76,1.89,1.86,0.03,1.6129,1880179.58,360743.484,4.54
000620.SZ,20241009,0.8,18.1,1.3,1.4,1.6,1.9,2.2,1.77,58.18,1.81,1.81,1.7,1.7,1.89,-0.19,-10.0529,933110.68,160824.386,2.25
000620.SZ,20241010,0.8,18.1,1.3,1.4,1.6,1.9,2.1,1.77,59.22,1.69,1.7,1.59,1.63,1.7,-0.07,-4.1176,768953.4,126216.397,1.86
000620.SZ,20241011,0.8,18.1,1.3,1.4,1.6,1.9,2.1,1.77,36.92,1.61,1.67,1.58,1.6,1.63,-0.03,-1.8405,534086.82,86424.15,1.29
000620.SZ,20241014,0.8,18.1,1.3,1.4,1.6,1.9,2.1,1.77,60.27,1.64,1.66,1.6,1.64,1.6,0.04,2.5,517904.62,84481.129,1.25
000620.SZ,20241015,0.8,18.1,1.3,1.4,1.6,1.9,2.1,1.76,35.43,1.63,1.64,1.59,1.6,1.64,-0.04,-2.439,482981.0,78088.236,1.17
000620.SZ,20241016,0.8,18.1,1.3,1.4,1.6,1.9,2.1,1.76,61.89,1.59,1.66,1.59,1.66,1.6,0.06,3.75,815415.09,133916.826,1.97
000620.SZ,20241017,0.8,18.1,1.3,1.4,1.6,1.9,2.1,1.76,33.71,1.67,1.68,1.59,1.59,1.66,-0.07,-4.2169,732441.0,118275.394,1.77
000620.SZ,20241018,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,33.98,1.59,1.61,1.55,1.59,1.59,0.0,0.0,626692.35,98693.299,1.51
000620.SZ,20241021,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,34.19,1.6,1.61,1.56,1.58,1.59,-0.01,-0.6289,475540.0,75081.159,1.15
000620.SZ,20241022,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,34.42,1.57,1.61,1.56,1.6,1.58,0.02,1.2658,501702.09,79795.432,1.21
000620.SZ,20241023,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,65.54,1.6,1.64,1.59,1.61,1.6,0.01,0.625,527222.9,85179.129,1.27
000620.SZ,20241024,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,66.17,1.6,1.65,1.59,1.64,1.61,0.03,1.8634,622721.71,101725.306,1.5
000620.SZ,20241025,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,82.74,1.66,1.72,1.65,1.71,1.64,0.07,4.2683,811222.2,137389.422,1.96
000620.SZ,20241028,0.8,18.1,1.3,1.4,1.6,1.8,2.1,1.76,83.4,1.72,1.8,1.69,1.8,1.71,0.09,5.2632,884011.58,155505.998,2.13
