ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002678.SZ,20240924,3.2,21.5,3.3,3.4,3.7,4.5,5.8,4.09,45.18,3.59,3.7,3.57,3.68,3.59,0.09,2.507,68160.7,24892.832,0.5
002678.SZ,20240925,3.2,21.5,3.3,3.4,3.7,4.5,5.8,4.09,56.32,3.69,3.78,3.68,3.73,3.68,0.05,1.3587,59035.0,22104.137,0.43
002678.SZ,20240926,3.2,21.5,3.3,3.4,3.7,4.5,5.8,4.08,61.28,3.72,3.87,3.72,3.87,3.73,0.14,3.7534,46298.3,17581.915,0.34
002678.SZ,20240927,3.2,21.5,3.3,3.4,3.7,4.5,5.8,4.09,69.66,3.97,4.13,3.94,4.04,3.87,0.17,4.3928,77651.9,31171.151,0.57
002678.SZ,20240930,3.2,21.5,3.3,3.4,3.7,4.5,5.8,4.09,78.89,4.19,4.41,4.06,4.39,4.04,0.35,8.6634,121475.52,51645.826,0.89
002678.SZ,20241008,3.2,21.5,3.3,3.5,3.7,4.5,5.7,4.11,86.37,4.75,4.83,4.32,4.54,4.39,0.15,3.4169,201605.67,91758.506,1.49
002678.SZ,20241009,3.2,21.5,3.3,3.5,3.7,4.5,5.7,4.12,65.13,4.43,4.46,4.09,4.09,4.54,-0.45,-9.9119,118687.3,50355.78,0.87
002678.SZ,20241010,3.2,21.5,3.3,3.5,3.7,4.5,5.7,4.12,67.98,4.12,4.3,4.03,4.16,4.09,0.07,1.7115,86224.36,36069.503,0.64
002678.SZ,20241011,3.2,21.5,3.3,3.5,3.7,4.5,5.7,4.13,67.15,4.2,4.36,4.13,4.18,4.16,0.02,0.4808,84210.96,35555.671,0.62
002678.SZ,20241014,3.2,21.5,3.3,3.5,3.8,4.5,5.7,4.13,72.17,4.14,4.27,4.06,4.26,4.18,0.08,1.9139,71682.7,29903.146,0.53
002678.SZ,20241015,3.2,21.5,3.3,3.5,3.8,4.5,5.7,4.13,72.05,4.25,4.35,4.17,4.25,4.26,-0.01,-0.2347,51040.5,21815.394,0.38
002678.SZ,20241016,3.2,21.5,3.3,3.5,3.8,4.5,5.7,4.14,82.25,4.21,4.58,4.18,4.43,4.25,0.18,4.2353,100988.3,44664.673,0.74
002678.SZ,20241017,3.2,21.5,3.3,3.5,3.8,4.5,5.7,4.15,75.89,4.45,4.64,4.3,4.33,4.43,-0.1,-2.2573,87780.0,39385.018,0.65
002678.SZ,20241018,3.2,21.5,3.3,3.5,3.8,4.5,5.7,4.16,92.04,4.33,4.76,4.27,4.76,4.33,0.43,9.9307,168089.71,78880.368,1.24
002678.SZ,20241021,3.2,21.5,3.3,3.5,3.9,4.6,5.7,4.19,92.23,4.68,4.76,4.4,4.75,4.76,-0.01,-0.2101,347702.96,156953.763,2.56
002678.SZ,20241022,3.2,21.5,3.3,3.5,3.9,4.6,5.6,4.21,74.2,4.55,4.65,4.43,4.48,4.75,-0.27,-5.6842,234673.52,105724.728,1.73
002678.SZ,20241023,3.2,21.5,3.3,3.5,4.0,4.6,5.6,4.22,66.65,4.44,4.49,4.37,4.4,4.48,-0.08,-1.7857,148907.86,65706.341,1.1
002678.SZ,20241024,3.2,21.5,3.3,3.5,4.0,4.6,5.6,4.22,66.29,4.4,4.44,4.36,4.39,4.4,-0.01,-0.2273,90246.56,39707.497,0.66
002678.SZ,20241025,3.2,21.5,3.3,3.5,4.0,4.6,5.6,4.23,74.37,4.36,4.55,4.36,4.45,4.39,0.06,1.3667,107074.16,47654.074,0.79
002678.SZ,20241028,3.2,21.5,3.3,3.5,4.0,4.6,5.6,4.24,83.09,4.46,4.61,4.45,4.58,4.45,0.13,2.9213,139987.62,63491.804,1.03
002678.SZ,20241029,3.2,21.5,3.3,3.5,4.1,4.6,5.6,4.25,71.49,4.72,4.83,4.46,4.49,4.58,-0.09,-1.9651,131507.7,60684.581,0.97
002678.SZ,20241030,3.2,21.5,3.3,3.5,4.1,4.6,5.6,4.26,71.13,4.45,4.52,4.4,4.45,4.49,-0.04,-0.8909,75499.0,33633.796,0.56
002678.SZ,20241031,3.2,21.5,3.3,3.5,4.1,4.6,5.6,4.26,70.81,4.41,4.52,4.4,4.48,4.45,0.03,0.6742,65041.0,29002.048,0.48
002678.SZ,20241101,3.2,21.5,3.3,3.5,4.1,4.6,5.6,4.27,70.13,4.47,4.74,4.37,4.47,4.48,-0.01,-0.2232,127741.52,57464.348,0.94
002678.SZ,20241104,3.2,21.5,3.3,3.5,4.2,4.6,5.6,4.27,70.14,4.48,4.5,4.4,4.48,4.47,0.01,0.2237,49696.5,22057.563,0.37
002678.SZ,20241105,3.2,21.5,3.3,3.5,4.2,4.6,5.6,4.28,88.81,4.48,4.8,4.47,4.68,4.48,0.2,4.4643,137760.72,64286.605,1.01
002678.SZ,20241106,3.2,21.5,3.3,3.5,4.2,4.6,5.5,4.29,92.08,4.63,4.82,4.59,4.78,4.68,0.1,2.1368,98505.05,46364.706,0.73
002678.SZ,20241107,3.2,21.5,3.4,3.5,4.2,4.6,5.5,4.32,92.41,4.77,5.12,4.72,5.0,4.78,0.22,4.6025,205184.92,102656.168,1.51
