日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2025-12-31,4062.549,4065.203,4026.85,4054.43,26597927000,570888930000.0
2026-01-05,4069.32,4124.112,4063.327,4124.112,30780667000,680697900000.0
2026-01-06,4134.709,4180.534,4132.778,4180.534,34332490000,733378580000.0
2026-01-07,4182.234,4200.733,4164.87,4181.782,35002107000,767354470000.0
2026-01-08,4175.804,4239.73,4174.286,4232.66,35688819000,731774240000.0
2026-01-09,4234.724,4291.933,4234.02,4288.983,40454180000,848647530000.0
2026-01-12,4317.301,4416.336,4307.434,4413.32,46439849000,1023288860000.0
2026-01-13,4420.524,4420.524,4308.305,4320.471,47948307000,996306690000.0
2026-01-14,4323.504,4424.733,4292.016,4351.854,51445666000,1048817200000.0
2026-01-15,4324.158,4352.459,4288.732,4323.852,34137873000,724553300000.0
2026-01-16,4346.959,4380.637,4319.375,4357.365,37426926000,821262770000.0
2026-01-19,4351.515,4402.3,4345.773,4392.57,34516138000,749589680000.0
2026-01-20,4396.249,4409.829,4314.127,4343.93,34537859000,731042790000.0
2026-01-21,4318.373,4394.883,4312.308,4389.784,30529650000,666865030000.0
2026-01-22,4404.059,4419.949,4395.656,4419.93,31983663000,692841380000.0
2026-01-23,4432.516,4496.318,4429.111,4496.318,37587846000,807344160000.0
2026-01-26,4506.801,4512.903,4369.833,4400.506,38835877000,798871550000.0
2026-01-27,4382.878,4418.079,4283.658,4412.039,32561393000,682907560000.0
2026-01-28,4408.447,4419.163,4352.512,4361.011,32557002000,687548180000.0
2026-01-29,4342.704,4386.938,4284.942,4294.246,35922284000,725397250000.0
2026-01-30,4270.588,4305.459,4195.49,4282.188,30846431000,631981560000.0
2026-02-02,4257.386,4290.711,4186.671,4186.671,28733359000,594625000000.0
2026-02-03,4228.289,4295.761,4213.0,4295.761,26803661000,569856670000.0
2026-02-04,4285.86,4303.203,4258.545,4300.649,27220417000,546416700000.0
2026-02-05,4273.535,4282.746,4232.522,4244.477,22933327000,457111420000.0
2026-02-06,4216.974,4300.844,4197.897,4259.066,22076147000,461347040000.0
2026-02-09,4311.35,4339.176,4299.908,4339.176,23997502000,506231280000.0
2026-02-10,4341.794,4358.337,4331.017,4344.128,22945857000,477331350000.0
2026-02-11,4340.1,4359.354,4327.682,4328.079,21460545000,432401920000.0
2026-02-12,4334.765,4372.326,4313.803,4355.238,23572901000,501450990000.0
2026-02-13,4342.123,4380.541,4335.837,4339.035,22133638000,468493420000.0
2026-02-24,4394.32,4399.709,4347.894,4383.466,26024514000,545624760000.0
2026-02-25,4389.436,4423.578,4377.626,4416.476,28492370000,572471390000.0
2026-02-26,4419.342,4449.754,4401.662,4447.751,28069474000,627039410000.0
2026-02-27,4427.875,4464.459,4420.85,4464.342,27381678000,596280510000.0
2026-03-02,4398.924,4431.359,4341.035,4365.764,33274593000,699812090000.0
2026-03-03,4375.003,4382.525,4176.967,4180.567,35655778000,730781500000.0
2026-03-04,4131.923,4222.176,4131.923,4170.031,26840959000,535363560000.0
2026-03-05,4242.525,4269.571,4215.367,4237.463,29149612000,583595340000.0
2026-03-06,4220.055,4296.122,4218.024,4291.007,27920781000,522501770000.0
2026-03-09,4224.122,4267.232,4149.069,4255.143,33242321000,632731120000.0
2026-03-10,4291.669,4352.276,4291.669,4351.888,29158993000,593700900000.0
2026-03-11,4357.434,4377.834,4327.74,4338.713,29247959000,608764080000.0
2026-03-12,4332.477,4337.924,4265.301,4287.372,30782295000,569955560000.0
2026-03-13,4269.375,4300.375,4229.185,4238.542,28997396000,542588560000.0
2026-03-16,4235.546,4247.036,4188.671,4247.036,27608793000,528129470000.0
2026-03-17,4259.243,4261.966,4152.256,4153.197,25671363000,504738370000.0
2026-03-18,4163.718,4216.997,4143.032,4215.506,24026019000,486891080000.0
2026-03-19,4160.778,4164.978,4087.525,4103.167,23718881000,477522490000.0
2026-03-20,4117.947,4132.179,4005.402,4005.402,25632008000,519008720000.0
2026-03-23,3934.384,3968.663,3774.54,3796.973,30759053000,570477920000.0
2026-03-24,3874.059,3917.661,3800.656,3917.661,25307090000,470169210000.0
2026-03-25,3936.839,4008.768,3936.839,3997.987,25312730000,503191170000.0
2026-03-26,3996.032,4015.489,3915.965,3929.237,21706935000,442012130000.0
2026-03-27,3876.882,3983.014,3876.665,3966.189,19342443000,392454230000.0
2026-03-30,3915.845,3972.679,3892.579,3972.679,21004113000,405777600000.0
2026-03-31,3971.082,4012.661,3924.299,3924.418,22005717000,448733270000.0
2026-04-01,3996.854,4002.182,3967.673,3997.566,21044620000,435556610000.0
2026-04-02,3984.879,3994.539,3895.426,3918.004,19980356000,396469500000.0
2026-04-03,3930.175,3934.913,3847.814,3853.718,17887534000,357389220000.0
2026-04-07,3861.958,3905.978,3860.705,3886.121,16532157000,339403880000.0
2026-04-08,3970.588,4080.039,3970.588,4080.039,26064700000,564563850000.0
2026-04-09,4044.738,4064.54,4028.72,4042.525,22381940000,515138590000.0
2026-04-10,4071.505,4125.513,4071.505,4086.761,23249209000,583316350000.0
2026-04-13,4063.278,4098.775,4061.004,4095.666,20480012000,510807950000.0
2026-04-14,4126.613,4148.718,4105.072,4148.706,22555160000,582467180000.0
2026-04-15,4166.863,4178.739,4118.583,4128.015,22964974000,570735370000.0
