date,open,high,low,close,volume
2025-06-03,3.0500,3.1500,3.0400,3.1100,37536200
2025-06-04,3.1100,3.1300,3.0900,3.1200,31150528
2025-06-05,3.1300,3.1600,3.0900,3.1000,41048010
2025-06-06,3.1000,3.1500,3.0800,3.1200,32485700
2025-06-09,3.1200,3.1600,3.1000,3.1500,39065000
2025-06-10,3.1500,3.1700,3.1000,3.1400,47065900
2025-06-11,3.1300,3.1600,3.1100,3.1500,28758800
2025-06-12,3.1400,3.1500,3.0900,3.1100,30972800
2025-06-13,3.1100,3.1400,3.0700,3.0700,29651400
2025-06-16,3.0700,3.0900,3.0500,3.0800,19088700
2025-06-17,3.0800,3.1000,3.0500,3.0900,27488820
2025-06-18,3.0800,3.0900,3.0300,3.0500,22307300
2025-06-19,3.0300,3.0400,2.9300,2.9500,40046100
2025-06-20,2.9400,2.9600,2.8800,2.8900,27551000
2025-06-23,2.8600,2.9100,2.8500,2.9000,29524500
2025-06-24,2.9000,2.9500,2.8800,2.9400,27310100
2025-06-25,2.9400,2.9700,2.9200,2.9600,26377900
2025-06-26,2.9500,3.0000,2.9300,2.9500,27793900
2025-06-27,2.9400,3.0000,2.9400,2.9600,22681700
2025-06-30,2.9500,3.0000,2.9400,2.9500,24552700
2025-07-01,2.9500,3.2500,2.9400,3.2500,108466966
2025-07-02,3.3200,3.5200,3.2700,3.4300,218778045
2025-07-03,3.3500,3.7600,3.2800,3.5500,212077165
2025-07-04,3.4300,3.7500,3.4100,3.5000,194559823
2025-07-07,3.7000,3.8500,3.6800,3.8500,199744029
2025-07-08,3.8500,4.0500,3.6800,3.7800,245107635
2025-07-09,3.6900,4.1200,3.6900,3.9500,209426463
2025-07-10,3.8600,3.8800,3.6200,3.6300,170914335
2025-07-11,3.6300,3.7300,3.5100,3.6300,111209570
2025-07-14,3.5900,3.9900,3.5900,3.9900,77135203
2025-07-15,4.0800,4.1000,3.7700,3.8900,187152600
2025-07-16,3.8600,3.9300,3.7300,3.7600,115192666
2025-07-17,3.8000,3.8200,3.6900,3.7000,85327861
2025-07-18,3.6800,3.7000,3.6200,3.6800,77711661
2025-07-21,3.6900,3.7000,3.6400,3.6700,65179440
2025-07-22,3.6700,3.7500,3.5800,3.6400,77166400
2025-07-23,3.6100,3.6500,3.5800,3.5800,52566629
2025-07-24,3.5500,3.5800,3.4700,3.5700,53770100
2025-07-25,3.5800,3.5900,3.5100,3.5300,37605800
2025-07-28,3.5200,3.5300,3.4700,3.5100,35635800
2025-07-29,3.5100,3.5200,3.4100,3.4600,44225500
2025-07-30,3.4500,3.4800,3.4300,3.4600,37363820
2025-07-31,3.4500,3.4500,3.3800,3.4000,36902620
2025-08-01,3.3800,3.4000,3.3600,3.3900,25545900
2025-08-04,3.3600,3.3900,3.3400,3.3800,23068000
2025-08-05,3.3700,3.4000,3.3600,3.3800,29463900
2025-08-06,3.3800,3.4000,3.3400,3.4000,30254802
2025-08-07,3.4000,3.4200,3.3400,3.3400,39284300
2025-08-08,3.3300,3.5400,3.3200,3.4700,110920900
2025-08-11,3.4200,3.4400,3.2700,3.3900,67253602
2025-08-12,3.3700,3.3900,3.3400,3.3600,40757000
2025-08-13,3.3600,3.3700,3.3200,3.3400,28468300
2025-08-14,3.3300,3.3300,3.2600,3.2600,36986400
2025-08-15,3.2500,3.2900,3.2500,3.2800,21445100
2025-08-18,3.2800,3.3400,3.2800,3.3400,33328900
2025-08-19,3.3400,3.4600,3.3400,3.4300,65646801
2025-08-20,3.4400,3.4800,3.4000,3.4500,38947100
2025-08-21,3.4300,3.5900,3.4300,3.5700,86200402
2025-08-22,3.5800,3.6000,3.4800,3.5200,52191504
2025-08-25,3.5000,3.5200,3.4500,3.4900,46379600
2025-08-26,3.5000,3.5100,3.4500,3.4700,29342500
2025-08-27,3.4500,3.5800,3.4400,3.4700,62512864
2025-08-28,3.4200,3.4200,3.2500,3.3500,72041200
2025-08-29,3.3300,3.3400,3.2800,3.2800,26769200
2025-09-01,3.2700,3.3400,3.2500,3.3400,25009000
2025-09-02,3.3400,3.3500,3.2800,3.3100,21188502
2025-09-03,3.3000,3.3100,3.2100,3.2200,19817500
2025-09-04,3.2000,3.2600,3.2000,3.2300,17025300
2025-09-05,3.2300,3.2600,3.1700,3.2500,21166402
2025-09-08,3.2700,3.3200,3.2600,3.2900,16438202
2025-09-09,3.2800,3.3000,3.2400,3.2500,15007500
2025-09-10,3.2400,3.2700,3.2300,3.2600,11144202
2025-09-11,3.2600,3.2900,3.2200,3.2900,17400200
2025-09-12,3.2800,3.3200,3.2600,3.3000,21666780
2025-09-15,3.2800,3.3200,3.2500,3.2900,16728200
2025-09-16,3.2800,3.3400,3.2700,3.3300,26406100
