date,open,high,low,close,volume
2025-06-03,15.1100,15.8000,15.1100,15.2100,49172714
2025-06-04,15.1400,15.3000,14.8500,15.0000,45781890
2025-06-05,15.0700,15.6000,14.7200,15.3000,56573312
2025-06-06,15.3100,15.3100,14.6600,14.7100,45261505
2025-06-09,14.5600,15.3600,14.5600,15.0000,45056410
2025-06-10,15.1500,15.8800,14.4300,15.4000,70343658
2025-06-11,15.2200,16.9400,15.1600,16.7400,127502653
2025-06-12,16.1000,16.4800,15.7200,15.8300,88655481
2025-06-13,15.5100,16.8000,15.5100,16.0700,84164917
2025-06-16,15.6500,16.9500,15.3200,16.4600,72372725
2025-06-17,16.3000,17.5800,16.2100,17.2000,99838969
2025-06-18,17.0000,17.3900,16.5500,16.8100,70077823
2025-06-19,16.6500,17.3600,16.0100,16.4100,64574997
2025-06-20,16.0000,16.3400,15.0000,15.3500,65384486
2025-06-23,14.8800,15.7200,14.8200,15.5200,40697466
2025-06-24,15.5700,16.4100,15.5700,15.9700,61757609
2025-06-25,15.2000,15.9300,15.2000,15.5200,66075163
2025-06-26,15.5000,15.9200,15.2300,15.2700,54219703
2025-06-27,15.2700,15.4000,14.8500,15.0800,38762600
2025-06-30,15.0900,15.4500,14.9700,15.3200,34583113
2025-07-01,15.2900,15.6700,15.2000,15.4100,33610942
2025-07-02,15.3900,15.3900,15.0500,15.1100,27302899
2025-07-03,15.0200,15.2200,14.9700,15.1700,19571900
2025-07-04,15.1000,15.1500,14.9000,14.9100,21701642
2025-07-07,14.8500,15.1000,14.6100,15.0500,22583381
2025-07-08,15.0300,15.7500,14.9000,15.4000,46823098
2025-07-09,15.3600,16.1200,15.2000,15.3700,51631332
2025-07-10,15.0200,15.5600,14.9100,15.1800,29487100
2025-07-11,15.0400,15.3600,14.9000,15.2000,27712023
2025-07-14,15.2000,16.7200,15.1300,16.7200,127155422
2025-07-15,16.8300,17.3800,16.4300,16.5500,132580838
2025-07-16,16.4800,17.2100,16.0800,17.0600,103363562
2025-07-17,16.8800,17.5000,16.4700,16.9900,91121006
2025-07-18,17.0100,17.0900,16.5900,16.6100,58823001
2025-07-21,16.8100,17.9800,16.6000,17.4500,104726185
2025-07-22,17.1200,17.8200,16.8900,16.9300,80622801
2025-07-23,16.7700,16.7700,16.0500,16.1500,58770146
2025-07-24,16.0700,16.3500,16.0100,16.2200,29556372
2025-07-25,16.1200,16.3800,16.0600,16.2800,30849800
2025-07-28,16.2900,16.6100,16.2000,16.3200,32219811
2025-07-29,16.3300,16.3300,16.0100,16.1100,26135895
2025-07-30,16.0700,16.0700,15.6000,15.6000,31805546
2025-07-31,15.5000,15.7000,15.4200,15.5400,18690884
2025-08-01,15.5800,15.8300,15.3000,15.7200,25584829
2025-08-04,15.5500,16.4300,15.4200,16.3500,42570777
2025-08-05,16.3800,16.4500,16.1200,16.1900,32798485
2025-08-06,16.2000,17.5000,16.0900,16.7500,74821530
2025-08-07,16.4600,16.6800,16.3000,16.4100,43065322
2025-08-08,16.2800,16.7000,16.1000,16.1800,33922604
2025-08-11,16.0200,16.2500,15.9700,16.1300,26283603
2025-08-12,16.1200,16.2400,15.9200,16.1200,25326557
2025-08-13,16.1300,16.3800,15.9700,16.2700,36213815
2025-08-14,16.1600,16.1700,15.7000,15.8300,35982701
2025-08-15,15.8300,15.9800,15.7700,15.9300,21447300
2025-08-18,15.9300,16.3400,15.9000,16.2000,36487657
2025-08-19,16.2100,16.7900,15.9100,16.4600,60257733
2025-08-20,16.3000,16.9500,16.1800,16.6800,55864164
2025-08-21,16.7000,16.7000,16.1300,16.2100,41123280
2025-08-22,16.1600,16.3000,15.9800,16.2600,29513483
2025-08-25,16.2700,16.7100,16.1600,16.3500,36103764
2025-08-26,16.3600,16.3600,16.0200,16.2000,24267564
2025-08-27,16.1900,16.2200,15.5500,15.5500,41546134
2025-08-28,15.5500,15.7000,15.0000,15.4800,30498251
2025-08-29,15.4800,15.5300,15.2600,15.3000,17528182
2025-09-01,15.3000,15.4000,15.1400,15.3900,15343200
2025-09-02,15.4000,16.2500,14.9800,15.9500,50515354
2025-09-03,15.9500,15.9600,15.1000,15.1400,26454876
2025-09-04,15.0600,15.2900,14.7000,14.9800,17925828
2025-09-05,15.0300,15.2900,14.8000,15.2100,15107050
2025-09-08,15.1000,15.4300,15.0000,15.3200,15959979
2025-09-09,15.2300,15.2700,15.0600,15.0900,13369300
2025-09-10,15.0900,15.1500,14.9500,14.9900,10319183
2025-09-11,14.9100,15.0800,14.8000,15.0800,14916490
2025-09-12,15.1100,15.1500,14.9800,14.9900,14120262
2025-09-15,14.9100,15.2500,14.8800,15.0300,12915250
2025-09-16,15.1000,15.5800,14.9800,15.3800,29212122
2025-09-17,15.2500,15.3600,15.1200,15.1700,19838430
2025-09-18,15.1600,15.5500,15.0000,15.0600,23977954
2025-09-19,14.9000,14.9100,14.5200,14.5600,21402400
2025-09-22,14.5300,14.7500,14.4800,14.5000,10710276
2025-09-23,14.5000,14.5700,13.5700,13.8700,17770258
2025-09-24,13.8400,13.9300,13.5500,13.8900,13678892
2025-09-25,13.8000,14.0900,13.7100,13.7600,11189331
2025-09-26,13.6600,13.8800,13.5600,13.6500,10269324
2025-09-29,13.5000,13.6500,13.2500,13.3500,15191202
2025-09-30,13.3500,13.5000,13.3500,13.3900,9577490
2025-10-09,13.4500,13.7400,13.3700,13.7100,15407142
2025-10-10,13.7200,13.8400,13.5800,13.5900,11695200
2025-10-13,13.0000,13.5000,12.7000,13.4500,13018020
2025-10-14,13.4600,13.7700,13.3000,13.3500,11833247
2025-10-15,13.3500,13.6500,13.1900,13.6500,13264823
2025-10-16,13.5200,13.6200,13.3000,13.3200,10138554
2025-10-17,13.3800,13.4300,13.0400,13.0600,9066100
2025-10-20,13.1500,13.4500,13.1500,13.3700,10030712
2025-10-21,13.3500,13.5800,13.2400,13.5400,11267901
2025-10-22,13.5100,13.9300,13.4500,13.7100,14414824
2025-10-23,13.5700,13.6200,13.2600,13.4300,11020600
2025-10-24,13.4500,13.5300,13.3500,13.3700,7317993
2025-10-27,13.3800,13.4800,13.3300,13.3800,7719979
2025-10-28,13.3800,13.6200,13.2700,13.4400,12007715
2025-10-29,13.4400,13.4400,13.2600,13.3900,8847520
2025-10-30,13.4000,13.4800,13.2300,13.2300,9322901
2025-10-31,13.1600,13.4400,13.1300,13.3800,10972214
2025-11-03,13.3900,13.8800,13.3500,13.7100,20697709
2025-11-04,13.7000,13.8400,13.4300,13.6000,17497697
2025-11-05,13.4700,14.2000,13.4600,13.7100,24825041
2025-11-06,13.7500,14.6400,13.5400,14.2200,46412363
2025-11-07,14.0000,14.1200,13.6000,13.6100,29414278
2025-11-10,13.5900,13.5900,13.3100,13.3600,14429189
2025-11-11,13.3600,13.4000,13.2000,13.2300,10352211
2025-11-12,13.1500,13.2200,13.0000,13.0400,9610740
2025-11-13,13.0300,13.1100,12.8500,13.0800,7173382
2025-11-14,13.0000,13.0700,12.9000,12.9000,7420338
2025-11-17,12.8800,13.0000,12.7900,12.9000,6463138
2025-11-18,12.8700,12.8700,12.7000,12.7100,7079510
2025-11-19,12.7100,12.7900,12.4100,12.4600,8819910
2025-11-20,12.4400,12.5000,12.0300,12.0800,11193812
2025-11-21,11.9600,13.2900,11.6000,12.9500,46485134
2025-11-24,12.7500,12.7600,12.2500,12.6100,32188914
2025-11-25,12.6600,13.8700,12.5000,13.8700,72853002
2025-11-26,13.6500,14.5000,13.4000,13.7400,77794841
2025-11-27,13.7100,13.8300,13.3500,13.4200,39245317
2025-11-28,13.2400,14.7600,13.0400,14.7600,64801341
2025-12-01,14.8100,15.4200,14.6600,14.6600,98985319
2025-12-02,14.4500,14.8500,14.2300,14.3200,51905766
2025-12-03,14.3600,15.7500,14.0500,15.2200,121409250
2025-12-04,16.2800,16.7400,15.0000,15.0000,124021576
2025-12-05,14.4000,14.9900,13.6000,14.5900,85329362
2025-12-08,14.9000,15.2500,14.2900,14.9800,72832702
2025-12-09,14.6300,14.7900,14.1000,14.1000,56722416
2025-12-10,14.0700,15.5100,14.0000,15.5100,70619912
2025-12-11,15.0200,15.5400,14.8400,15.1000,80344079
2025-12-12,15.1000,15.4800,14.7000,15.2500,64561363
2025-12-15,14.9700,15.8500,14.9700,15.3900,70807965
2025-12-16,15.3900,15.8500,14.8000,14.9200,65275862
2025-12-17,14.3900,15.0900,14.0000,14.5400,49310156
2025-12-18,14.2000,14.6500,13.9000,13.9600,39299442
2025-12-19,14.0400,15.3000,14.0400,14.5100,57563368
2025-12-22,14.5800,15.2200,14.3800,14.8500,56322881
2025-12-23,14.6000,14.6900,14.1300,14.2300,40289854
2025-12-24,14.1000,14.2900,13.9600,14.2500,24176774
2025-12-25,14.2600,14.8700,14.2600,14.7800,48909041
2025-12-26,14.6000,14.7900,14.2200,14.4700,37537938
