date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover,ma5,ma10,ma20,ma60,price_vs_ma5,price_vs_ma20,rsi,rsi_overbought,rsi_oversold,macd,macd_signal,macd_hist,boll_upper,boll_middle,boll_lower,boll_width,volume_ma5,volume_ma10,volume_ratio,volume_relative,boll_position,boll_break_upper,boll_break_lower,kdj_k,kdj_d,kdj_j,obv,cci
2025-08-01,002115,8.45,8.32,8.48,8.29,338686,282287700.38,2.24,-2.0,-0.17,4.5,,,,,,,,70,30,,,,,,,,,,,,,0,0,,,,338686.0,
2025-08-04,002115,8.26,8.37,8.42,8.16,294217,243563631.07,3.13,0.6,0.05,3.91,,,,,,,,70,30,,,,,,,,,,,,,0,0,,,,632903.0,
2025-08-05,002115,8.35,8.53,8.59,8.32,469060,398609289.13,3.23,1.91,0.16,6.24,,,,,,,,70,30,,,,,,,,,,,,,0,0,,,,1101963.0,
2025-08-06,002115,8.54,8.56,8.58,8.47,405607,346491623.16,1.29,0.35,0.03,5.39,,,,,,,,70,30,,,,,,,,,,,,,0,0,,,,1507570.0,
2025-08-07,002115,8.55,8.58,8.64,8.5,409984,351245337.64,1.64,0.23,0.02,5.45,8.472,,,,1.2747875354107712,,,70,30,,,,,,,,383510.8,,1.069028564515002,1.069028564515002,,0,0,,,,1917554.0,
2025-08-08,002115,8.57,8.65,8.75,8.51,633827,548732439.89,2.8,0.82,0.07,8.43,8.538,,,,1.3117826188803008,,,70,30,,,,,,,,442539.0,,1.4322511688235386,1.4322511688235386,,0,0,,,,2551381.0,
2025-08-11,002115,8.6,8.74,8.8,8.6,622908,544317466.15,2.31,1.04,0.09,8.28,8.612,,,,1.486298188574084,,,70,30,,,,,,,,508277.2,,1.2255281173343995,1.2255281173343995,,0,0,,,,3174289.0,
2025-08-12,002115,8.74,8.59,8.74,8.53,456715,393660794.37,2.4,-1.72,-0.15,6.07,8.624,,,,-0.3942486085343309,,,70,30,,,,,,,,505808.2,,0.9029410752929667,0.9029410752929667,,0,0,,,,2717574.0,
2025-08-13,002115,8.6,8.58,8.64,8.53,383106,328335532.96,1.28,-0.12,-0.01,5.09,8.628,,,,-0.5563282336578587,,,70,30,,,,,,,,501308.0,,0.7642128192648032,0.7642128192648032,,0,0,50.176767676767554,68.38840381213254,13.753495406037587,2334468.0,
2025-08-14,002115,8.57,8.35,8.59,8.3,507203,426929653.44,3.38,-2.68,-0.23,6.74,8.582,8.527,,,-2.7033325565136455,,,70,30,,,,,,,,520751.8,452131.3,0.9739822310743813,0.9739822310743813,,0,0,24.34343434343418,47.83056554242982,-22.6308280545571,1827265.0,
2025-08-15,002115,8.36,8.39,8.48,8.34,316707,266316016.5,1.68,0.48,0.04,4.21,8.530000000000001,8.533999999999999,,,-1.6412661195779665,,,70,30,,,,,,,,457327.8,449933.4,0.6925163963354076,0.6925163963354076,,0,0,18.22222222222213,30.914141414141284,-7.16161616161618,2143972.0,
2025-08-18,002115,8.4,8.63,8.63,8.38,613285,524307450.88,2.98,2.86,0.24,8.15,8.508000000000001,8.559999999999999,,,1.433944522802067,,,70,30,,,,,,,,455403.2,481840.2,1.3466857501220897,1.3466857501220897,,0,0,34.333333333333286,25.632996632996527,51.734006734006805,2757257.0,
2025-08-19,002115,8.63,8.63,8.68,8.52,496119,427435324.03,1.85,0.0,0.0,6.6,8.516000000000002,8.569999999999997,,,1.3386566463128107,,,70,30,,,,,,,,463284.0,484546.1,1.070874452819437,1.070874452819437,,0,0,59.94736842105274,37.50097465886938,104.84015594541944,2757257.0,
2025-08-20,002115,8.62,8.71,8.71,8.56,480383,416635557.43,1.74,0.93,0.08,6.39,8.542000000000002,8.584999999999997,,,1.9667525169749382,,,70,30,,,,,,,,482739.4,492023.7,0.9951186913684692,0.9951186913684692,,0,0,87.28070175438609,60.520467836257374,140.8011695906435,3237640.0,86.59960689097164
2025-08-21,002115,8.74,8.61,8.75,8.53,441157,380707212.85,2.53,-1.15,-0.1,5.86,8.594000000000001,8.587999999999997,,,0.18617640214100808,,61.4173228346456,70,30,,,,,,,,469530.2,495141.0,0.9395710861622958,0.9395710861622958,,0,0,84.23192126658112,77.15333048067332,98.38910283839672,2796483.0,59.60144927536345
2025-08-22,002115,8.58,8.67,8.69,8.54,443298,382151576.9,1.74,0.7,0.06,5.89,8.650000000000002,8.589999999999996,,,0.2312138728323444,,63.2853025936599,70,30,,,,,,,,494848.4,476088.1,0.8958258731360957,0.8958258731360957,,0,0,81.41067897165452,84.3077673308739,75.61650225321574,3239781.0,55.96389426176729
2025-08-25,002115,8.67,8.98,9.03,8.61,1391326,1228642365.06,4.84,3.58,0.31,18.5,8.720000000000002,8.613999999999997,,,2.981651376146765,,71.07680486186297,70,30,,,,,,,,650456.6,552929.9,2.1389989739515287,2.1389989739515287,,0,0,78.14270511544544,81.26176845122701,71.90457844388229,4631107.0,226.7577569029322
2025-08-26,002115,8.95,9.03,9.24,8.88,1109079,1004041105.45,4.01,0.56,0.05,14.74,8.8,8.657999999999998,,,2.613636363636348,,72.10505722644147,70,30,,,,,,,,773048.6,618166.3,1.4346821144233364,1.4346821144233364,,0,0,79.6656640070062,79.73968269803537,79.51762662494787,5740186.0,258.99249732047207
2025-08-27,002115,8.98,8.65,9.06,8.64,905823,804569610.29,4.65,-4.21,-0.38,12.04,8.788,8.664999999999997,,,-1.5703231679563028,,55.85329314274766,70,30,,,,,,,,858136.6,670438.0,1.0555697076665884,1.0555697076665884,,0,0,59.17334069778155,72.32723660674439,32.86554887985585,4834363.0,74.50749779476638
2025-08-28,002115,9.0,9.52,9.52,9.0,970856,917467201.58,6.01,10.06,0.87,12.91,8.970000000000002,8.781999999999998,8.6545,,6.131549609810446,10.000577734126743,71.62295291582825,70,30,,,,9.184612252263573,8.6545,8.124387747736428,1.0602245045271452,964076.4,716803.3,1.0070322227574495,1.0070322227574495,1.3163365365583657,1,0,62.44131455399063,67.09343975292612,53.13706415611966,5805219.0,241.02171136653973
2025-08-29,002115,10.12,10.47,10.47,9.95,3421414,3529232754.82,5.46,9.98,0.95,45.49,9.330000000000002,8.989999999999998,8.762,,12.218649517684872,19.493266377539374,80.01703177235348,70,30,,,,9.695608054806694,8.762,7.828391945193306,1.8672161096133886,1559699.6,1027274.0,2.1936365182115836,2.1936365182115836,1.4147307540923295,1,0,72.30046948356812,64.63837491178009,87.62465862714419,9226633.0,300.67081604426136
2025-09-01,002115,10.79,11.52,11.52,10.4,4109769,4482199499.55,10.7,10.03,1.05,54.64,9.838,9.278999999999998,8.919500000000001,,17.096970929050627,29.155221705252515,85.22070431294576,70,30,,,,10.423820112210118,8.919500000000001,7.4151798877898845,3.0086402244202333,2103388.2,1376922.4,1.9538804106631384,1.9538804106631384,1.3643439580753183,1,0,100.0,78.2472613458529,143.5054773082942,13336402.0,260.6296938186022
2025-09-02,002115,11.53,11.0,12.5,10.8,3959046,4653602709.81,14.76,-4.51,-0.52,52.63,10.232,9.515999999999998,9.043000000000001,,7.505863956215801,21.641048324671004,74.82833081126897,70,30,,,,10.78579201283455,9.043000000000001,7.300207987165452,3.485584025669098,2673381.6,1723215.1,1.4809131625653442,1.4809131625653442,1.0614554076412863,1,0,87.04663212435234,86.4490338693068,88.24182863444341,9377356.0,192.27996131187925
2025-09-03,002115,11.17,11.45,11.96,10.6,3247275,3714781811.85,12.36,4.09,0.45,43.17,10.791999999999998,9.79,9.1875,,6.097108969607129,24.625850340136047,77.39711360447572,70,30,,,,11.203901497718137,9.1875,7.171098502281863,4.032802995436274,3141672.0,1999904.3,1.0336136299397263,1.0336136299397263,1.0610241815829735,1,0,77.04663212435233,88.03108808290153,55.07772020725392,12624631.0,136.79035609025462
2025-09-04,002115,11.0,12.0,12.49,10.31,4029772,4589046488.95,19.04,4.8,0.55,53.57,11.288,10.129,9.3585,,6.307583274273562,28.225677191857677,80.07367623166705,70,30,,,,11.69455029911601,9.3585,7.022449700883989,4.672100598232021,3753455.2,2358765.8,1.0736166505996927,1.0736166505996927,1.0653773810006524,1,0,70.51068441193404,78.20131622021289,55.12942079537632,16654403.0,120.12334875192738
2025-09-05,002115,11.33,11.05,11.65,10.8,3103950,3443793987.2,7.08,-7.92,-0.95,41.27,11.404,10.366999999999999,9.4785,,-3.104173974044188,16.579627578203304,65.61953605893348,70,30,,,,11.901591207528094,9.4785,7.055408792471907,4.846182415056187,3689962.4,2624831.0,0.8411874332378021,0.8411874332378021,0.824275866116315,0,0,61.39403706688156,69.65045120105596,44.881208798532754,13550453.0,77.97166824944603
2025-09-08,002115,11.01,12.16,12.16,11.01,3002916,3483829400.24,10.41,10.05,1.11,39.92,11.532,10.684999999999999,9.6495,,5.445716267776623,26.01689206694648,71.98317425879904,70,30,,,,12.310969331027504,9.6495,6.988030668972495,5.322938662055009,3468591.8,2785990.0,0.8657449977250135,0.8657449977250135,0.9716379728168387,0,0,66.21899901513119,66.04124016464891,66.57451671609573,16553369.0,95.90782677791019
2025-09-09,002115,13.01,12.55,13.38,12.28,4079569,5311012798.52,9.05,3.21,0.39,54.24,11.841999999999999,11.036999999999997,9.8475,,5.97871981084278,27.443513582127448,73.81692660300037,70,30,,,,12.743130328615855,9.8475,6.951869671384146,5.791260657231709,3492696.4,3083039.0,1.1680285180240688,1.1680285180240688,0.9666514183963232,0,0,63.743003187918646,63.78534642331044,63.65831671713505,20632938.0,127.02685624012639
2025-09-10,002115,12.29,13.81,13.81,11.97,3765986,4968028664.9,14.66,10.04,1.26,50.07,12.313999999999998,11.552999999999997,10.108999999999998,,12.148773753451376,36.610940745870046,78.6735182628484,70,30,,,,13.4150725944843,10.108999999999998,6.802927405515696,6.612145188968604,3596438.6,3369055.3,1.0471431376584601,1.0471431376584601,1.0597275761842886,1,0,85.81301840861879,71.92500687055617,113.589041484744,24398924.0,130.51368539404805
