日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-08-12,0.8797873439407801,9.13,8.27,9.73,0.08141573117517624,8.64,9.36,0.04001790176406969
2025-08-13,0.891338846286931,9.13,8.27,9.71,0.08014639976098004,8.64,9.38,0.04134078212290501
2025-08-14,0.5532827370670879,9.16,8.29,9.71,0.07865587588110244,8.64,9.38,0.04134078212290501
2025-08-15,0.8955999822599009,9.16,8.29,9.71,0.07865587588110244,8.66,9.38,0.03990776211552044
2025-08-18,0.9145563895707022,9.16,8.29,9.68,0.07738273080370475,8.66,9.41,0.04122715792601394
2025-08-19,0.9722719891114987,9.18,8.31,10.0,0.09218143181651647,8.69,9.63,0.0515131530739357
2025-08-20,0.9274749686410712,9.21,8.31,10.03,0.09341041308404383,8.71,9.88,0.06277751705714599
2025-08-21,0.880994054811669,9.21,8.34,10.05,0.09315818281335521,8.74,9.93,0.06385732777218467
2025-08-22,0.8055647639515995,9.23,8.34,10.05,0.09315818281335521,8.74,9.95,0.06510108082875503
2025-08-25,0.9111504171802811,9.23,8.36,10.05,0.09168427957145982,8.76,9.98,0.06492855352218606
2025-08-26,0.9715447440866497,9.26,8.39,10.05,0.0902143455002001,8.76,9.98,0.06492855352218606
2025-08-27,0.7128043324658409,9.28,8.41,10.1,0.09119246103660748,8.79,10.0,0.06475693824338317
2025-08-28,0.7679064481649289,9.31,8.44,10.1,0.0897310601947371,8.81,10.0,0.06335164443176143
2025-08-29,0.9445629112917757,9.33,8.46,10.1,0.08827356853672642,8.84,10.0,0.06195005521712793
2025-09-01,0.9474708062060343,9.36,8.49,10.15,0.0892529252925293,8.84,10.03,0.06318485840330154
2025-09-02,0.9933888274331318,9.38,8.51,10.18,0.08901576358217526,8.89,10.05,0.061625146178106986
2025-09-03,0.9390593217376579,9.43,8.54,10.2,0.08877985889768297,8.91,10.08,0.06146396635210126
2025-09-04,0.8051614912067917,9.51,8.54,10.23,0.08998569384835481,8.96,10.1,0.05992113786790591
2025-09-05,1.0,9.8,8.57,10.3,0.09130230638988088,9.02,10.17,0.05983886308957653
2025-09-08,0.9980866586279303,9.87,8.58,10.44,0.09778122685103535,9.05,10.24,0.06163430082828706
2025-09-09,0.9112488701608963,9.9,8.6,10.54,0.10110626062869268,9.08,10.3,0.0629264069264069
2025-09-10,0.8032802539366573,9.93,8.6,10.54,0.10110626062869268,9.08,10.35,0.06548318021689573
2025-09-11,0.8219412212097413,9.95,8.6,10.54,0.10110626062869268,9.08,10.33,0.06420653997129465
2025-09-12,0.6790602912633846,9.95,8.6,10.54,0.10110626062869268,9.08,10.33,0.06420653997129465
2025-09-15,0.4061586483678023,9.95,8.63,10.54,0.09958331874365353,9.11,10.33,0.06275471437452508
2025-09-16,0.49007907852550314,9.95,8.63,10.54,0.09958331874365353,9.11,10.3,0.06147434678102679
2025-09-17,0.8482673408419215,9.98,8.63,10.51,0.0983362260909202,9.11,10.33,0.06275471437452508
2025-09-18,0.95461567991987,10.04,8.66,10.83,0.11122204816580884,9.15,10.53,0.06983645138734926
2025-09-19,0.8544603196102757,10.1,8.69,10.83,0.1094840328623973,9.15,10.62,0.07414700390426071
2025-09-22,0.8206180640322861,10.13,8.72,10.8,0.10635591763775733,9.18,10.65,0.07391863534827056
2025-09-23,0.5277591909573653,10.13,8.72,10.8,0.10635591763775733,9.18,10.62,0.07249029677463098
2025-09-24,0.9959722348031774,10.16,8.75,10.83,0.10602426153108083,9.21,10.65,0.0722673740770154
2025-09-25,0.881053640459146,10.22,8.79,11.35,0.12698439139777784,9.26,10.82,0.07776644995236741
2025-09-26,0.7710370961401811,10.26,8.83,11.35,0.1251288874106104,9.26,10.89,0.08080824907131315
2025-09-29,0.7233640568097841,10.29,8.86,11.35,0.12327948330538446,9.29,10.85,0.07750995319085137
2025-09-30,0.8163714260513562,10.35,8.89,11.32,0.11999203041724078,9.32,10.95,0.0802786833700167
2025-10-09,0.841671920892674,10.42,8.93,11.32,0.11815409096936744,9.36,10.95,0.0785117139741599
2025-10-10,0.8868254144932984,10.52,8.99,11.28,0.11304549290879903,9.39,10.99,0.0782557143798169
2025-10-13,0.7721456241205993,10.52,9.03,11.28,0.11122492813005977,9.46,10.95,0.07324531838284859
2025-10-14,0.38785623364211014,10.55,9.06,11.28,0.10941030927835052,9.62,10.95,0.06458136273198738
2025-10-15,0.43132726056051185,10.52,9.06,11.25,0.10795360671446987,9.76,10.95,0.05775026736234892
2025-10-16,0.29477298344341263,10.49,9.06,11.25,0.10795360671446987,9.79,10.95,0.05605616941420088
2025-10-17,0.14883290471168312,10.49,9.09,11.25,0.10614432989690731,9.82,10.92,0.052852959733389396
2025-10-20,0.16558968293041895,10.45,9.09,11.25,0.10614432989690731,9.82,10.92,0.052852959733389396
2025-10-21,0.8149910823703186,10.45,9.09,11.22,0.10468228529887987,9.86,10.92,0.051169401731489796
2025-10-22,0.48345708062304854,10.49,9.13,11.19,0.10141096388328978,9.89,10.89,0.04797131412327177
2025-10-23,0.42864414088221775,10.49,9.13,11.19,0.10141096388328978,9.89,10.89,0.04797131412327177
2025-10-24,0.71002833361188,10.52,9.13,11.15,0.0999387690932861,9.92,10.89,0.046298237409491835
2025-10-27,0.886720922097679,10.55,9.16,11.12,0.09666208813940787,9.92,10.89,0.046298237409491835
2025-10-28,0.8844047309628235,10.59,9.16,11.12,0.09666208813940787,9.96,10.89,0.044630494284334264
2025-10-29,0.8072300379466043,10.59,9.16,11.12,0.09666208813940787,9.96,10.89,0.044630494284334264
2025-10-30,0.5682968691811735,10.59,9.16,11.09,0.0951796843919904,9.96,10.89,0.044630494284334264
2025-10-31,0.5906891496541862,10.62,9.19,11.09,0.09338540718552964,9.99,10.89,0.0429680592840264
2025-11-03,0.4557065768526669,10.62,9.19,11.09,0.09338540718552964,9.99,10.89,0.0429680592840264
2025-11-04,0.35500257726078266,10.62,9.19,11.09,0.09338540718552964,9.99,10.89,0.0429680592840264
2025-11-05,0.5440182391665326,10.59,9.19,11.05,0.09189762630950798,10.02,10.89,0.041310907106631586
2025-11-06,0.6230229031608119,10.59,9.19,11.05,0.09189762630950798,10.02,10.89,0.041310907106631586
2025-11-07,0.6208213247975415,10.62,9.23,11.05,0.09010872623165142,10.02,10.89,0.041310907106631586
2025-11-10,0.9092482959170181,10.62,9.23,11.05,0.09010872623165142,10.06,10.89,0.03965901261076479
2025-11-11,0.7731066722673344,10.65,9.23,11.05,0.09010872623165142,10.06,10.89,0.03965901261076479
2025-11-12,0.713334329559921,10.65,9.26,11.02,0.08683204527777316,10.09,10.89,0.03801235081432184
2025-11-13,0.9660973398245725,10.69,9.29,11.05,0.08654845360824732,10.12,10.92,0.0378923194692523
2025-11-14,0.7078555079792044,10.69,9.29,11.09,0.08803767867729394,10.12,10.92,0.0378923194692523
2025-11-17,0.6518477643139751,10.69,9.32,11.09,0.08626670831757723,10.16,10.92,0.03625622979793956
2025-11-18,0.36001376419366116,10.69,9.32,11.09,0.08626670831757723,10.16,10.92,0.03625622979793956
2025-11-19,0.17739757308052814,10.69,9.36,11.09,0.08450149371327274,10.16,10.92,0.03625622979793956
2025-11-20,0.16106238265390607,10.69,9.36,11.09,0.08450149371327274,10.19,10.92,0.03462529013385895
2025-11-21,0.05634183256230541,10.65,9.39,11.05,0.08125143626276217,10.09,10.92,0.03953358357958627
2025-11-24,0.10045601705521176,10.65,9.39,11.05,0.08125143626276217,9.99,10.92,0.04448866919175701
2025-11-25,0.1711505385093322,10.65,9.42,11.05,0.07949722226774379,9.99,10.92,0.04448866919175701
2025-11-26,0.2549493063816838,10.62,9.49,11.05,0.0760058151880952,9.99,10.89,0.0429680592840264
