kelly_weight	gain_loss_r	mean_slip_accurance	gain_loss_p	S_paths[0]	assets
0.0	0.0	1.0	0.0	9.73	9.73
1.0	-0.004111	0.98796	0.0	9.69	9.69
1.0	-0.007224	0.973085	0.002064	9.62	9.62
1.0	0.015593	0.968057	0.006237	9.77	9.77
0.0	0.007165	0.951415	-0.00641	9.84	9.77
0.0	-0.028455	0.925817	-0.006932	9.56	9.77
1.0	-0.004184	0.916807	0.014487	9.52	9.729121
1.0	-0.027311	0.870791	0.011675	9.26	9.46341
1.0	0.0	0.865632	0.02478	9.26	9.46341
1.0	-0.008639	0.8721	0.012941	9.18	9.381653
1.0	0.055556	0.83485	0.011476	9.69	9.902856
0.0	0.004128	0.841519	-0.030146	9.73	9.902856
0.0	0.101747	0.699793	-0.020397	10.72	9.902856
0.0	0.101679	0.511872	-0.070595	11.81	9.902856
0.0	0.101609	0.345525	-0.096057	13.01	9.902856
0.0	-0.026134	0.363667	-0.1	12.67	9.902856
0.0	-0.101026	0.436766	-0.037329	11.39	9.902856
0.0	-0.100966	0.335168	0.060391	10.24	9.902856
0.0	-0.038086	0.338936	0.1	9.85	9.902856
0.0	-0.06802	0.247329	0.091807	9.18	9.902856
0.0	-0.023965	0.231021	0.09503	8.96	9.902856
0.0	0.033482	0.464992	0.062619	9.26	9.902856
1.0	-0.008639	0.647098	0.005099	9.18	9.817302
1.0	0.015251	0.812449	0.003579	9.32	9.967021
0.0	0.01073	0.908782	-0.009368	9.42	9.967021
0.0	-0.016985	0.941808	-0.012501	9.26	9.967021
1.0	0.071274	0.854564	0.004945	9.92	10.677413
0.0	0.043347	0.756769	-0.04095	10.35	10.677413
0.0	-0.010628	0.76341	-0.049705	10.24	10.677413
0.0	-0.03418	0.780053	-0.018801	9.89	10.677413
1.0	0.063701	0.781882	0.016337	10.52	11.357572
0.0	0.008555	0.823027	-0.029421	10.61	11.357572
0.0	-0.02639	0.885468	-0.022487	10.33	11.357572
1.0	0.010649	0.905733	0.006562	10.44	11.478514
0.0	0.061303	0.849455	-0.001665	11.08	11.478514
0.0	-0.049639	0.898834	-0.039348	10.53	11.478514
1.0	0.016144	0.915383	0.011669	10.7	11.663828
0.0	0.025234	0.878079	-0.001866	10.97	11.663828
0.0	-0.007293	0.933915	-0.017396	10.89	11.663828
0.0	0.011019	0.928807	-0.004946	11.01	11.663828
0.0	0.034514	0.869973	-0.009041	11.39	11.663828
0.0	0.001756	0.871898	-0.026583	11.41	11.663828
0.0	-0.03681	0.867939	-0.015451	10.99	11.663828
1.0	-0.019108	0.835261	0.018238	10.78	11.440952
1.0	0.016698	0.887974	0.024813	10.96	11.631988
1.0	-0.019161	0.892062	0.001976	10.75	11.409113
1.0	0.043721	0.87456	0.012441	11.22	11.90793
0.0	0.005348	0.885677	-0.021842	11.28	11.90793
0.0	0.001773	0.882849	-0.016445	11.3	11.90793
0.0	-0.004425	0.911613	-0.009339	11.25	11.90793
0.0	-0.007111	0.937788	-0.000978	11.17	11.90793
1.0	0.053715	0.888416	0.0051	11.77	12.547568
0.0	0.005098	0.868207	-0.03109	11.83	12.547568
0.0	0.030431	0.815433	-0.020942	12.19	12.547568
0.0	0.051682	0.720464	-0.029493	12.82	12.547568
0.0	-0.021841	0.772813	-0.046907	12.54	12.547568
0.0	0.055821	0.731931	-0.009939	13.24	12.547568
0.0	-0.001511	0.756248	-0.037506	13.22	12.547568
0.0	-0.061271	0.787599	-0.018663	12.41	12.547568
1.0	0.0	0.783915	0.034866	12.41	12.547568
1.0	-0.008864	0.821728	0.021296	12.3	12.436348
1.0	-0.004878	0.844288	0.016401	12.24	12.375683
1.0	-0.037582	0.820297	0.010638	11.78	11.910584
1.0	0.014431	0.857289	0.030819	11.95	12.082468
1.0	0.01841	0.887986	0.006576	12.17	12.304907
0.0	0.008217	0.887048	-0.010317	12.27	12.304907
0.0	0.025265	0.885627	-0.012008	12.58	12.304907
0.0	-0.00318	0.890506	-0.022574	12.54	12.304907
0.0	0.101276	0.744606	-0.009693	13.81	12.304907
0.0	0.014482	0.681277	-0.064913	14.01	12.304907
0.0	-0.051392	0.769178	-0.044467	13.29	12.304907
1.0	0.010534	0.806062	0.013876	13.43	12.43453
1.0	0.072226	0.799743	0.004485	14.4	13.332631
