kelly_weight	gain_loss_r	mean_slip_accurance	gain_loss_p	S_paths[0]	assets
---       ---       ---       ---       9.73000   9.73000   
0.27293   -0.00411  0.45293   -0.00206  9.69000   9.73000   
0.00000   -0.00722  0.97936   -0.00309  9.62000   9.73000   
0.00000   0.01559   0.96629   0.00283   9.77000   9.73000   
1.00000   0.00716   0.96217   0.00664   9.84000   9.73000   
1.00000   -0.02846  0.94323   -0.00750  9.56000   9.79971   
0.00000   -0.00418  0.91855   -0.00694  9.52000   9.52086   
0.00000   -0.02731  0.91133   -0.01471  9.26000   9.52086   
0.00000   0.00000   0.87327   -0.01155  9.26000   9.52086   
0.00000   -0.00864  0.86510   -0.01007  9.18000   9.52086   
0.00000   0.05556   0.87063   0.01212   9.69000   9.52086   
1.00000   0.00413   0.84575   0.01422   9.73000   9.52086   
1.00000   0.10175   0.83568   0.04529   10.72000  9.56016   
0.89438   0.10168   0.70253   0.07149   11.81000  10.53288  
0.03431   0.10161   0.51227   0.08858   13.01000  11.49074  
0.00000   -0.02613  0.32958   0.04951   12.67000  11.53080  
0.00000   -0.10103  0.36968   -0.00974  11.39000  11.53080  
0.68340   -0.10097  0.46671   -0.05250  10.24000  11.53080  
0.48460   -0.03809  0.37279   -0.06022  9.85000   10.73518  
0.67446   -0.06802  0.29691   -0.06526  9.18000   10.53705  
0.84982   -0.02397  0.22270   -0.05285  8.96000   10.05364  
0.91030   0.03348   0.25945   -0.02247  9.26000   9.84889   
0.29981   -0.00864  0.46631   -0.01015  9.18000   10.14907  
0.00000   0.01525   0.66905   0.00214   9.32000   10.12278  
1.00000   0.01073   0.81261   0.00753   9.42000   10.12278  
1.00000   -0.01699  0.87792   0.00038   9.26000   10.23140  
1.00000   0.07127   0.92575   0.02235   9.92000   10.05761  
1.00000   0.04335   0.85649   0.03382   10.35000  10.77446  
1.00000   -0.01063  0.75502   0.02155   10.24000  11.24150  
1.00000   -0.03418  0.74500   0.00041   9.89000   11.12203  
1.00000   0.06370   0.79777   0.01581   10.52000  10.74188  
1.00000   0.00856   0.80433   0.01576   10.61000  11.42614  
1.00000   -0.02639  0.81170   0.00254   10.33000  11.52390  
1.00000   0.01065   0.86852   0.00239   10.44000  11.21978  
1.00000   0.06130   0.91735   0.02124   11.08000  11.33925  
1.00000   -0.04964  0.85899   0.00083   10.53000  12.03438  
1.00000   0.01614   0.87655   0.00255   10.70000  11.43701  
1.00000   0.02523   0.91021   0.00928   10.97000  11.62165  
1.00000   -0.00729  0.90465   0.00529   10.89000  11.91491  
1.00000   0.01102   0.92020   0.00686   11.01000  11.82801  
1.00000   0.03451   0.92285   0.01620   11.39000  11.95835  
1.00000   0.00176   0.87929   0.01321   11.41000  12.37108  
1.00000   -0.03681  0.86315   -0.00385  10.99000  12.39280  
0.00000   -0.01911  0.86620   -0.01277  10.78000  11.93663  
0.00000   0.01670   0.84796   -0.00596  10.96000  11.93663  
0.00000   -0.01916  0.88229   -0.00892  10.75000  11.93663  
0.00000   0.04372   0.89225   0.00838   11.22000  11.93663  
1.00000   0.00535   0.88199   0.01089   11.28000  11.93663  
1.00000   0.00177   0.87418   0.00901   11.30000  12.00046  
1.00000   -0.00442  0.88311   0.00398   11.25000  12.02174  
1.00000   -0.00711  0.91543   -0.00107  11.17000  11.96854  
0.00000   0.05372   0.94102   0.01577   11.77000  11.88343  
1.00000   0.00510   0.89064   0.01563   11.83000  11.88343  
1.00000   0.03043   0.85677   0.02143   12.19000  11.94401  
1.00000   0.05168   0.81127   0.03281   12.82000  12.30748  
1.00000   -0.02184  0.73492   0.01610   12.54000  12.94355  
1.00000   0.05582   0.76325   0.02642   13.24000  12.66086  
1.00000   -0.00151  0.74223   0.01804   13.22000  13.36760  
1.00000   -0.06127  0.76622   -0.01006  12.41000  13.34741  
0.00000   0.00000   0.77308   -0.01311  12.41000  12.52960  
0.00000   -0.00886  0.79292   -0.01361  12.30000  12.52960  
0.00000   -0.00488  0.81551   -0.01052  12.24000  12.52960  
0.00000   -0.03758  0.84684   -0.01836  11.78000  12.52960  
0.00000   0.01443   0.82163   -0.00943  11.95000  12.52960  
0.00000   0.01841   0.84965   0.00132   12.17000  12.52960  
1.00000   0.00822   0.88456   0.00649   12.27000  12.52960  
1.00000   0.02526   0.90127   0.01430   12.58000  12.63256  
1.00000   -0.00318  0.87862   0.00996   12.54000  12.95172  
1.00000   0.10128   0.88168   0.03987   13.81000  12.91054  
1.00000   0.01448   0.75233   0.03666   14.01000  14.21806  
0.96630   -0.05139  0.67713   0.00653   13.29000  14.42397  
1.00000   0.01053   0.75091   0.00117   13.43000  13.70768  
1.00000   0.07223   0.84296   0.02209   14.40000  13.85208  
1.00000   -0.06042  0.81555   -0.00194  13.53000  14.85257  
0.00000   0.10126   0.84280   0.02810   14.90000  13.95522  
1.00000   -0.01611  0.76998   0.01755   14.66000  13.95522  
1.00000   -0.02592  0.77351   0.00199   14.28000  13.73044  
1.00000   -0.10084  0.83310   -0.03576  12.84000  13.37454  
0.00000   -0.10125  0.69701   -0.06513  11.54000  12.02584  
0.21562   -0.07539  0.42979   -0.07670  10.67000  12.02584  
0.80563   0.05904   0.19105   -0.03994  11.30000  11.83036  
