日期,获利比例,平均成本,90成本-低,90成本-高,90集中度,70成本-低,70成本-高,70集中度
2025-07-23,0.33296003900063276,5.72,5.05,6.12,0.09540869690667113,5.5,5.91,0.036153511197938124
2025-07-24,0.559290511195237,5.7,5.07,6.12,0.09372561729506519,5.51,5.89,0.033140718598109985
2025-07-25,0.5636852641164456,5.72,5.07,6.1,0.09233099700645589,5.53,5.89,0.03158674014970801
2025-07-28,0.8994438718306004,5.72,5.08,6.08,0.08925329710624082,5.55,5.89,0.030037429453107663
2025-07-29,0.9051300405741493,5.74,5.1,6.08,0.08757967517735607,5.55,5.89,0.030037429453107663
2025-07-30,0.7096075934591367,5.74,5.12,6.06,0.08450670411850143,5.57,5.91,0.029947474936537096
2025-07-31,0.9039471655516708,5.77,5.15,6.03,0.07836076200079223,5.58,5.91,0.028407564448493752
2025-08-01,0.8570656138637122,5.79,5.2,6.03,0.07341291178262896,5.6,5.93,0.028322871417424605
2025-08-04,0.9730962862871594,5.82,5.26,6.06,0.07133794215650235,5.62,5.96,0.02968081529489506
2025-08-05,0.8796143722558711,5.86,5.29,6.2,0.07924215346158783,5.63,6.1,0.039540976854341374
2025-08-06,0.9311115234795553,5.87,5.32,6.22,0.07739984882842027,5.63,6.17,0.0451345049195246
2025-08-07,0.7279021782042605,5.89,5.34,6.22,0.07579856716556552,5.65,6.18,0.045003459187261105
2025-08-08,0.6961233120093214,5.91,5.39,6.22,0.07102315419561424,5.67,6.18,0.04348860122991197
2025-08-11,0.6591912683023118,5.93,5.45,6.22,0.0662899494769309,5.67,6.18,0.04348860122991197
2025-08-12,0.55948063000521,5.94,5.5,6.22,0.061598395875107466,5.69,6.18,0.04197812885204748
2025-08-13,0.9324520041335422,6.02,5.54,6.27,0.06177542515024538,5.7,6.2,0.0418726439583757
2025-08-14,0.9807278448422421,6.12,5.56,6.41,0.07142456753999482,5.73,6.28,0.04643703339442976
2025-08-15,0.8971678851275008,6.14,5.58,6.45,0.0726389144613874,5.74,6.38,0.0521443520435846
