ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
002115.SZ,20240924,1.3,20.1,4.0,4.2,4.4,4.6,4.8,4.42,89.13,4.58,4.73,4.52,4.68,4.58,0.1,2.1834,333363.5,154355.753,4.43
002115.SZ,20240925,1.3,20.1,4.0,4.2,4.4,4.7,4.8,4.45,81.63,4.68,4.83,4.65,4.66,4.68,-0.02,-0.4274,347347.28,164110.035,4.62
002115.SZ,20240926,1.3,20.1,4.0,4.2,4.4,4.7,4.8,4.47,91.74,4.66,4.74,4.61,4.74,4.66,0.08,1.7167,273463.1,128043.42,3.64
002115.SZ,20240927,1.3,20.1,4.1,4.2,4.5,4.8,4.9,4.51,96.3,4.82,5.04,4.75,4.97,4.74,0.23,4.8523,363299.3,177643.298,4.83
002115.SZ,20240930,1.3,20.1,4.1,4.3,4.5,5.1,5.3,4.62,98.84,5.2,5.46,5.04,5.43,4.97,0.46,9.2555,578512.58,305315.17,7.69
002115.SZ,20241008,1.3,20.1,4.1,4.3,4.7,5.6,5.8,4.84,96.99,5.97,5.97,5.45,5.82,5.43,0.39,7.1823,745791.18,428203.418,9.91
002115.SZ,20241009,1.3,20.1,4.2,4.3,4.8,5.6,5.8,4.92,63.46,5.65,5.65,5.24,5.24,5.82,-0.58,-9.9656,557075.77,301844.872,7.41
002115.SZ,20241010,1.3,20.1,4.2,4.3,4.9,5.6,5.8,4.95,56.11,5.25,5.4,5.1,5.2,5.24,-0.04,-0.7634,323846.41,170180.503,4.31
002115.SZ,20241011,1.3,20.1,4.2,4.4,5.0,5.5,5.8,4.96,48.49,5.2,5.23,4.89,4.98,5.2,-0.22,-4.2308,304120.9,153740.25,4.04
002115.SZ,20241014,1.3,20.1,4.2,4.4,5.0,5.5,5.8,4.98,67.4,4.99,5.33,4.95,5.22,4.98,0.24,4.8193,305126.08,156654.942,4.06
002115.SZ,20241015,1.3,20.1,4.2,4.4,5.1,5.5,5.7,4.99,56.5,5.19,5.32,5.09,5.14,5.22,-0.08,-1.5326,233946.2,122124.287,3.11
002115.SZ,20241016,1.3,20.1,4.2,4.4,5.1,5.5,5.7,5.0,56.75,5.05,5.22,5.02,5.16,5.14,0.02,0.3891,159444.67,82032.168,2.12
002115.SZ,20241017,1.3,20.1,4.2,4.4,5.1,5.5,5.7,5.01,53.64,5.18,5.32,5.18,5.19,5.16,0.03,0.5814,241326.07,126804.259,3.21
002115.SZ,20241018,1.3,20.1,4.2,4.4,5.1,5.4,5.7,5.03,67.92,5.18,5.38,5.15,5.3,5.19,0.11,2.1195,292675.87,154432.451,3.89
002115.SZ,20241021,1.3,20.1,4.2,4.5,5.2,5.4,5.7,5.07,85.72,5.33,5.48,5.32,5.41,5.3,0.11,2.0755,334294.37,180810.036,4.44
002115.SZ,20241022,1.3,20.1,4.3,4.5,5.2,5.5,5.7,5.1,83.79,5.43,5.55,5.34,5.46,5.41,0.05,0.9242,304859.78,166029.695,4.05
002115.SZ,20241023,1.3,20.1,4.3,4.5,5.2,5.5,5.7,5.13,81.92,5.43,5.56,5.37,5.42,5.46,-0.04,-0.7326,322716.19,176673.521,4.29
002115.SZ,20241024,1.3,20.1,4.3,4.6,5.3,5.5,5.7,5.15,79.14,5.43,5.63,5.33,5.43,5.42,0.01,0.1845,303403.03,165321.232,4.03
002115.SZ,20241025,1.3,20.1,4.3,4.6,5.3,5.5,5.7,5.17,76.8,5.42,5.51,5.42,5.47,5.43,0.04,0.7366,246162.6,134531.624,3.27
002115.SZ,20241028,1.3,20.1,4.3,4.7,5.4,5.5,5.7,5.21,94.92,5.48,5.69,5.43,5.68,5.47,0.21,3.8391,371185.05,207691.868,4.93
002115.SZ,20241029,1.3,20.1,4.3,4.7,5.4,5.5,5.7,5.24,64.43,5.67,5.69,5.43,5.44,5.68,-0.24,-4.2254,338035.86,187287.656,4.49
002115.SZ,20241030,1.3,20.1,4.3,4.8,5.4,5.5,5.6,5.25,86.01,5.41,5.59,5.39,5.51,5.44,0.07,1.2868,267840.63,147086.736,3.56
002115.SZ,20241031,1.3,20.1,4.4,4.9,5.4,5.5,5.6,5.27,64.09,5.4,5.51,5.32,5.47,5.51,-0.04,-0.726,357852.13,194465.825,4.76
002115.SZ,20241101,1.3,20.1,4.4,5.0,5.4,5.5,5.6,5.27,16.36,5.4,5.45,5.04,5.08,5.47,-0.39,-7.1298,437861.9,226029.133,5.82
002115.SZ,20241104,1.3,20.1,4.4,5.0,5.4,5.5,5.6,5.26,26.7,5.08,5.22,5.06,5.19,5.08,0.11,2.1654,214068.1,110149.376,2.85
002115.SZ,20241105,1.3,20.1,4.4,5.1,5.3,5.5,5.6,5.26,51.1,5.18,5.34,5.17,5.32,5.19,0.13,2.5048,248353.0,131130.504,3.3
002115.SZ,20241106,1.3,20.1,4.4,5.1,5.4,5.5,5.6,5.28,71.81,5.31,5.51,5.27,5.45,5.32,0.13,2.4436,435821.45,236533.815,5.79
002115.SZ,20241107,1.3,20.1,4.5,5.1,5.4,5.5,5.6,5.29,90.55,5.43,5.59,5.38,5.59,5.45,0.14,2.5688,371438.72,204794.07,4.94
002115.SZ,20241108,1.3,20.1,4.6,5.1,5.4,5.7,5.8,5.38,89.25,5.67,5.92,5.62,5.75,5.59,0.16,2.8623,687945.71,398438.13,9.15
002115.SZ,20241111,1.3,20.1,4.7,5.2,5.5,5.9,6.0,5.5,92.94,5.81,6.09,5.72,6.0,5.75,0.25,4.3478,847973.32,503411.353,11.27
002115.SZ,20241112,1.3,20.1,5.1,5.3,5.9,6.3,6.4,5.81,88.91,6.0,6.6,5.86,6.32,6.0,0.32,5.3333,1561185.93,987416.807,20.76
002115.SZ,20241113,1.3,20.1,5.2,5.4,6.2,6.4,6.6,6.01,97.73,6.11,6.77,6.07,6.61,6.32,0.29,4.5886,1366720.14,872687.27,18.17
002115.SZ,20241114,1.3,20.1,5.2,5.5,6.2,6.4,6.5,6.07,41.76,6.45,6.5,6.04,6.14,6.61,-0.47,-7.1104,974198.73,608181.197,12.95
002115.SZ,20241115,1.3,20.1,5.3,5.7,6.2,6.4,6.5,6.1,25.33,6.08,6.39,6.02,6.04,6.14,-0.1,-1.6287,785255.32,488053.815,10.44
