ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
000981.SZ,20240924,0.2,7.8,1.0,1.0,1.1,1.2,1.4,1.13,42.73,1.04,1.08,1.03,1.07,1.05,0.02,1.9048,2084725.49,220410.336,3.19
000981.SZ,20240925,0.2,7.8,1.0,1.0,1.1,1.2,1.4,1.13,74.42,1.1,1.17,1.1,1.11,1.07,0.04,3.7383,3052366.72,345314.266,4.68
000981.SZ,20240926,0.2,7.8,1.0,1.0,1.1,1.2,1.3,1.13,91.18,1.1,1.22,1.09,1.22,1.11,0.11,9.9099,4521920.24,529236.146,6.93
000981.SZ,20240927,0.2,7.8,1.0,1.0,1.1,1.2,1.3,1.14,92.31,1.22,1.28,1.19,1.24,1.22,0.02,1.6393,4519931.83,556934.502,6.93
000981.SZ,20240930,0.2,7.8,1.0,1.0,1.1,1.2,1.3,1.16,96.62,1.25,1.35,1.22,1.34,1.24,0.1,8.0645,7281639.48,931670.574,11.16
000981.SZ,20241008,0.2,7.8,1.0,1.0,1.2,1.3,1.4,1.2,94.07,1.46,1.47,1.25,1.35,1.34,0.01,0.7463,8928564.21,1219785.164,13.68
000981.SZ,20241009,0.2,7.8,1.0,1.1,1.2,1.3,1.4,1.21,71.47,1.3,1.3,1.22,1.22,1.35,-0.13,-9.6296,4027696.84,499333.052,6.17
000981.SZ,20241010,0.2,7.8,1.0,1.1,1.2,1.3,1.3,1.2,38.89,1.18,1.21,1.11,1.15,1.22,-0.07,-5.7377,3903231.89,448979.563,5.98
000981.SZ,20241011,0.2,7.8,1.0,1.1,1.2,1.3,1.3,1.2,41.58,1.14,1.18,1.12,1.15,1.15,0.0,0.0,2439126.21,279889.204,3.74
000981.SZ,20241014,0.2,7.8,1.0,1.1,1.2,1.3,1.3,1.19,43.97,1.15,1.16,1.12,1.15,1.15,0.0,0.0,2367482.11,270055.893,3.63
000981.SZ,20241015,0.2,7.8,1.0,1.1,1.2,1.3,1.3,1.19,46.25,1.14,1.15,1.1,1.11,1.15,-0.04,-3.4783,2411591.9,271099.059,3.7
000981.SZ,20241016,0.2,7.8,1.0,1.1,1.2,1.3,1.3,1.18,49.19,1.08,1.13,1.06,1.11,1.11,0.0,0.0,2342195.45,258317.006,3.59
000981.SZ,20241017,0.2,7.8,1.0,1.1,1.1,1.3,1.3,1.18,51.53,1.11,1.18,1.11,1.13,1.11,0.02,1.8018,2991529.77,341756.448,4.58
000981.SZ,20241018,0.2,7.8,1.0,1.1,1.1,1.3,1.3,1.18,54.71,1.11,1.15,1.09,1.13,1.13,0.0,0.0,2909646.94,324714.094,4.46
000981.SZ,20241021,0.2,7.8,1.0,1.1,1.1,1.2,1.3,1.17,56.13,1.12,1.14,1.11,1.11,1.13,-0.02,-1.7699,2306324.67,258178.506,3.53
000981.SZ,20241022,0.2,7.8,1.0,1.1,1.1,1.2,1.3,1.16,87.93,1.1,1.22,1.09,1.22,1.11,0.11,9.9099,5649001.75,658970.927,8.66
000981.SZ,20241023,0.2,7.8,1.0,1.1,1.1,1.2,1.3,1.17,55.37,1.22,1.24,1.18,1.2,1.22,-0.02,-1.6393,5422502.22,656412.249,8.31
000981.SZ,20241024,0.2,7.8,1.0,1.1,1.1,1.2,1.3,1.17,91.13,1.19,1.28,1.18,1.23,1.2,0.03,2.5,4377670.34,539981.179,6.71
000981.SZ,20241025,0.2,7.8,1.0,1.1,1.2,1.2,1.3,1.18,91.92,1.23,1.23,1.2,1.21,1.23,-0.02,-1.626,3109023.21,377263.801,4.76
000981.SZ,20241028,0.2,7.8,1.0,1.1,1.2,1.2,1.3,1.19,98.34,1.22,1.33,1.21,1.33,1.21,0.12,9.9174,5583972.24,719516.031,8.56
000981.SZ,20241029,0.2,7.8,1.1,1.1,1.2,1.3,1.4,1.22,93.24,1.34,1.41,1.31,1.35,1.33,0.02,1.5038,6954176.56,941075.312,10.66
000981.SZ,20241030,0.2,7.8,1.1,1.1,1.2,1.3,1.4,1.24,99.24,1.35,1.49,1.28,1.44,1.35,0.09,6.6667,6994854.73,975414.939,10.72
000981.SZ,20241031,0.2,7.8,1.1,1.1,1.3,1.4,1.4,1.28,96.5,1.41,1.55,1.39,1.43,1.44,-0.01,-0.6944,7215799.11,1065993.68,11.06
000981.SZ,20241101,0.2,7.8,1.1,1.1,1.3,1.4,1.4,1.29,76.36,1.43,1.45,1.3,1.36,1.43,-0.07,-4.8951,5432355.89,749336.987,8.33
000981.SZ,20241104,0.2,7.8,1.1,1.2,1.3,1.4,1.4,1.29,76.17,1.33,1.38,1.33,1.36,1.36,0.0,0.0,3316835.0,449051.0,5.08
000981.SZ,20241105,0.2,7.8,1.1,1.2,1.3,1.4,1.4,1.31,97.6,1.34,1.5,1.34,1.5,1.36,0.14,10.2941,5573194.59,802501.629,8.54
000981.SZ,20241106,0.2,7.8,1.1,1.2,1.3,1.6,1.6,1.39,96.32,1.58,1.65,1.54,1.65,1.5,0.15,10.0,7958658.65,1294250.753,12.2
000981.SZ,20241107,0.2,7.8,1.1,1.2,1.4,1.7,1.7,1.45,99.42,1.82,1.82,1.65,1.82,1.65,0.17,10.303,6113320.49,1095518.424,9.37
000981.SZ,20241108,0.2,7.8,1.1,1.2,1.4,1.7,1.8,1.47,97.17,2.0,2.0,2.0,2.0,1.82,0.18,9.8901,973623.25,194724.65,1.49
000981.SZ,20241111,0.2,7.8,1.2,1.3,2.0,2.2,2.2,1.84,82.94,2.09,2.2,2.0,2.12,2.0,0.12,6.0,19744204.35,4250576.522,30.26
000981.SZ,20241112,0.2,7.8,1.3,1.5,2.0,2.1,2.2,1.89,41.62,2.0,2.1,1.91,1.91,2.12,-0.21,-9.9057,12146977.61,2359900.824,18.62
000981.SZ,20241113,0.2,7.8,1.3,1.7,1.9,2.1,2.2,1.86,20.21,1.81,1.91,1.74,1.79,1.91,-0.12,-6.2827,9502184.26,1710622.092,14.56
000981.SZ,20241114,0.2,7.8,1.3,1.6,1.8,2.1,2.2,1.82,16.48,1.75,1.78,1.64,1.65,1.79,-0.14,-7.8212,7939315.77,1354972.619,12.17
000981.SZ,20241115,0.2,7.8,1.4,1.6,1.7,2.0,2.1,1.78,27.84,1.63,1.74,1.63,1.64,1.65,-0.01,-0.6061,6324800.72,1060158.255,9.69
000981.SZ,20241118,0.2,7.8,1.5,1.6,1.7,2.0,2.1,1.76,62.45,1.65,1.8,1.6,1.8,1.64,0.16,9.7561,7451483.69,1280279.614,11.42
000981.SZ,20241119,0.2,7.8,1.6,1.6,1.8,1.9,2.1,1.77,78.0,1.8,1.96,1.73,1.89,1.8,0.09,5.0,11366829.06,2107681.198,17.42
000981.SZ,20241120,0.2,7.8,1.6,1.7,1.8,1.9,2.0,1.77,83.01,1.83,1.88,1.76,1.84,1.89,-0.05,-2.6455,7423002.08,1351444.129,11.38
000981.SZ,20241121,0.2,7.8,1.6,1.7,1.8,1.8,2.0,1.77,37.79,1.81,1.9,1.78,1.79,1.84,-0.05,-2.7174,5709323.28,1038223.031,8.75
000981.SZ,20241122,0.2,7.8,1.6,1.7,1.8,1.8,2.0,1.76,46.31,1.76,1.84,1.7,1.71,1.79,-0.08,-4.4693,5597047.67,984456.241,8.58
000981.SZ,20241125,0.2,7.8,1.6,1.6,1.7,1.8,2.0,1.74,20.34,1.69,1.75,1.63,1.7,1.71,-0.01,-0.5848,4530228.42,761312.915,6.94
000981.SZ,20241126,0.2,7.8,1.6,1.6,1.7,1.8,2.0,1.73,59.59,1.7,1.79,1.68,1.71,1.7,0.01,0.5882,4103064.55,706794.3,6.29
000981.SZ,20241127,0.2,7.8,1.6,1.6,1.7,1.8,1.9,1.72,26.91,1.7,1.7,1.64,1.7,1.71,-0.01,-0.5848,3597976.67,601215.976,5.51
000981.SZ,20241128,0.2,7.8,1.6,1.6,1.7,1.8,1.9,1.72,69.27,1.69,1.86,1.67,1.77,1.7,0.07,4.1176,7272114.32,1300288.922,11.14
000981.SZ,20241129,0.2,7.8,1.6,1.6,1.7,1.8,1.9,1.71,74.23,1.74,1.77,1.68,1.75,1.77,-0.02,-1.1299,5264979.58,903642.922,8.07
000981.SZ,20241202,0.2,7.8,1.6,1.6,1.7,1.8,1.9,1.73,97.74,1.73,1.93,1.72,1.93,1.75,0.18,10.2857,7523288.47,1392418.785,11.53
000981.SZ,20241203,0.2,7.8,1.6,1.7,1.8,2.0,2.0,1.82,77.19,2.04,2.09,1.91,1.91,1.93,-0.02,-1.0363,12419028.61,2480330.775,19.03
000981.SZ,20241204,0.2,7.8,1.6,1.7,1.9,2.0,2.0,1.87,95.06,1.86,2.1,1.86,2.1,1.91,0.19,9.9476,11538118.91,2370167.233,17.68
000981.SZ,20241205,0.2,7.8,1.6,1.7,2.0,2.2,2.3,1.96,95.98,2.19,2.31,2.13,2.31,2.1,0.21,10.0,6533419.83,1478442.693,10.01
000981.SZ,20241206,0.2,7.8,1.7,1.9,2.5,2.5,2.6,2.24,87.44,2.54,2.54,2.54,2.54,2.31,0.23,9.9567,569544.6,144664.328,0.87
000981.SZ,20241209,0.2,7.8,1.9,2.3,2.5,2.6,2.7,2.47,100.0,2.79,2.79,2.41,2.79,2.54,0.25,9.8425,21837332.45,5757408.513,33.47
000981.SZ,20241210,0.2,7.8,2.5,2.6,2.8,2.9,3.0,2.76,99.98,2.82,3.07,2.71,3.07,2.79,0.28,10.0358,20927427.94,6211383.82,32.07
