ts_code,trade_date,his_low,his_high,cost_5pct,cost_15pct,cost_50pct,cost_85pct,cost_95pct,weight_avg,winner_rate,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
603767.SH,20240924,5.0,22.8,9.7,9.8,10.7,12.6,13.6,11.12,28.0,9.9,10.16,9.8,10.16,9.86,0.3,3.0426,43103.0,43147.23,1.4
603767.SH,20240925,5.0,22.8,9.7,9.8,10.7,12.6,13.6,11.1,27.34,10.2,10.44,10.18,10.23,10.16,0.07,0.689,46757.0,48209.624,1.51
603767.SH,20240926,5.0,22.8,9.7,9.9,10.6,12.6,13.6,11.07,47.11,10.14,10.57,10.12,10.57,10.23,0.34,3.3236,60980.0,63580.853,1.98
603767.SH,20240927,5.0,22.8,9.7,9.9,10.6,12.5,13.5,11.06,58.16,10.68,11.0,10.6,11.0,10.57,0.43,4.0681,60784.4,65837.888,1.97
603767.SH,20240930,5.0,22.8,9.7,9.9,10.8,12.3,13.5,11.09,77.89,11.35,11.98,11.0,11.91,11.0,0.91,8.2727,162206.2,187558.468,5.26
603767.SH,20241008,5.0,22.8,9.7,9.9,11.1,12.5,13.4,11.25,79.98,13.03,13.1,11.7,12.4,11.91,0.49,4.1142,191562.46,238785.891,6.21
603767.SH,20241009,5.0,22.8,9.7,10.0,11.2,12.4,13.3,11.27,45.46,12.22,12.22,11.16,11.16,12.4,-1.24,-10.0,105164.59,121216.944,3.41
603767.SH,20241010,5.0,22.8,9.7,10.0,11.1,12.4,13.2,11.26,45.57,11.06,11.48,10.98,11.18,11.16,0.02,0.1792,74246.6,83288.079,2.41
603767.SH,20241011,5.0,22.8,9.7,10.0,11.2,12.3,13.1,11.29,61.64,11.2,12.3,10.71,11.62,11.18,0.44,3.9356,182363.0,213170.119,5.91
603767.SH,20241014,5.0,22.8,9.8,10.1,11.2,12.2,13.0,11.27,60.8,11.11,11.54,11.05,11.53,11.62,-0.09,-0.7745,130742.7,147527.06,4.24
603767.SH,20241015,5.0,22.8,9.8,10.1,11.2,12.2,13.0,11.28,48.17,11.49,11.49,11.2,11.28,11.53,-0.25,-2.1683,81000.56,91624.148,2.62
603767.SH,20241016,5.0,22.8,9.8,10.1,11.1,12.1,13.0,11.27,34.8,11.12,11.23,11.0,11.07,11.28,-0.21,-1.8617,56699.0,62884.645,1.84
603767.SH,20241017,5.0,22.8,9.8,10.1,11.1,12.1,13.0,11.26,28.04,11.06,11.17,10.9,10.93,11.07,-0.14,-1.2647,48471.4,53606.418,1.57
603767.SH,20241018,5.0,22.8,9.8,10.1,11.1,12.1,13.0,11.25,44.73,10.9,11.28,10.89,11.19,10.93,0.26,2.3788,79973.4,89023.956,2.59
603767.SH,20241021,5.0,22.8,9.8,10.2,11.1,12.0,12.9,11.25,55.99,11.2,11.31,11.12,11.25,11.19,0.06,0.5362,79090.8,88619.127,2.56
603767.SH,20241022,5.0,22.8,9.8,10.2,11.1,12.0,12.9,11.27,73.87,11.25,12.11,11.15,11.72,11.25,0.47,4.1778,157321.19,182495.601,5.1
603767.SH,20241023,5.0,22.8,9.8,10.2,11.2,11.9,12.8,11.28,68.65,11.69,11.76,11.43,11.55,11.72,-0.17,-1.4505,95621.0,110942.295,3.1
603767.SH,20241024,5.0,22.8,9.8,10.3,11.2,11.9,12.8,11.3,53.7,11.45,11.63,11.34,11.35,11.55,-0.2,-1.7316,66573.0,76240.107,2.16
